;"Precision";;;;;"Recall";;;;;"F1";
"Id";"best";"max";"Grobid best";"Grobid";"Diff";"best";"max";"Grobid best";"Grobid";"Diff";"best";"max";"Grobid best";"Grobid";"Diff";;;"Precision";"Recall";"F1";"Summe";
"Marker";"ParsCit";"78,11";"0";"NAN";"#VALUE!";"ParsCit";"78,11";"0";"0";"78,11";"ParsCit";"78,11";"0";"0";"78,11";;"Cermine";"1";"5";"5";"11";
"Title";"Grobid";"94,89";"1";"94,89";"0";"Cermine";"79,14";"0";"70,06";"9,08";"Cermine";"76,91";"0";"69,86";"7,05";;"Grobid";"11";"11";"11";"33";
"Source";"Grobid";"69,30";"1";"69,30";"0";"Grobid";"78,36";"1";"78,36";"0";"Grobid";"68,98";"1";"68,98";"0";;"ParsCit";"4";"2";"2";"8";
"Publisher";"Grobid";"85,64";"1";"85,64";"0";"Grobid";"62,04";"1";"62,04";"0";"Grobid";"59,03";"1";"59,03";"0";;"PDFX";"0";"0";"0";"0";
"Editor";"ParsCit";"0";"0";"NAN";"#VALUE!";"Cermine";"0";"0";"0";"0";"Cermine";"0";"0";"0";"0";
"Authors";"ParsCit";"93,27";"0";"81,73";"11,54";"ParsCit";"92,19";"0";"81,89";"10,30";"ParsCit";"91,24";"0";"80,49";"10,75";
"Edition";"Grobid";"92,86";"1";"92,86";"0";"Grobid";"76,47";"1";"76,47";"0";"Grobid";"72,22";"1";"72,22";"0";
"Location";"Grobid";"80";"1";"80";"0";"Grobid";"28,90";"1";"28,90";"0";"Grobid";"28,36";"1";"28,36";"0";
"Volume";"Grobid";"90,28";"1";"90,28";"0";"Grobid";"95,12";"1";"95,12";"0";"Grobid";"87,03";"1";"87,03";"0";
"Issue";"ParsCit";"97,19";"0";"95,22";"1,97";"Cermine";"87,60";"0";"77,93";"9,67";"Cermine";"80";"0";"76,44";"3,56";
"Chapter";"none";"0";"0";"NAN";"#VALUE!";"Cermine";"0";"0";"0";"0";"Cermine";"0";"0";"0";"0";
"Note";"Grobid";"10,61";"1";"10,61";"0";"Grobid";"16,28";"1";"16,28";"0";"Grobid";"7,61";"1";"7,61";"0";
"Page from";"Grobid";"96,67";"1";"96,67";"0";"Grobid";"92,84";"1";"92,84";"0";"Grobid";"91,23";"1";"91,23";"0";
"Page to";"Cermine";"98,35";"0";"95,41";"2,94";"Grobid";"94,22";"1";"94,22";"0";"Grobid";"92,55";"1";"92,55";"0";
"Date";"Grobid";"94,87";"1";"94,87";"0";"Grobid";"96,13";"1";"96,13";"0";"Grobid";"93,70";"1";"93,70";"0";
"Doi";"none";"0";"0";"NAN";"#VALUE!";"Cermine";"0";"0";"0";"0";"Cermine";"0";"0";"0";"0";
"Url";"Grobid";"74,42";"1";"74,42";"0";"Grobid";"36,78";"1";"36,78";"0";"Grobid";"34,78";"1";"34,78";"0";
;;;;;;;;;;;;;;;;
"Average";"Grobid";"81,68";"1";"81,68";"0";"Grobid";"53,35";"1";"53,35";"0";"Grobid";"50,72";"1";"50,72";"0";
;;;;;;;;;;;;;;;;
"grobid best";;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
