"EvaluationType";"Precision";"Recall";"F1"
"Title";"87,63";"85,00";"85,00"
"Publicationtype";"61,00";"61,00";"61,00"
"Abstract";"69,66";"67,39";"67,39"
"Abstract (german)";"not defined";"0,00";"0,00"
"Keywords";"82,73";"63,94";"61,94"
"Authors";"84,32";"88,40";"83,84"
"Emails";"90,32";"61,96";"63,69"
"Author-Emails";"85,59";"58,33";"60,07"
"Affiliations";"88,16";"79,04";"78,68"
"Author-Affiliations";"65,29";"66,89";"61,55"
"Source";"62,50";"26,32";"25,00"
"Volume";"60,00";"100,00";"60,00"
"Issue";"50,00";"100,00";"50,00"
"Page from";"75,00";"75,00";"60,00"
"Page to";"75,00";"75,00";"60,00"
"Location";"not defined";"0,00";"0,00"
"Year";"83,33";"31,25";"29,41"
"Doi";"100,00";"100,00";"100,00"
"Sections";"83,32";"87,24";"83,60"
"Section-Levels";"95,33";"84,04";"86,88"
"Section-References";"63,03";"48,11";"49,02"
"References";"92,24";"91,57";"89,11"
"Average";"77,72";"65,93";"59,83"
