"EvaluationType";"Precision";"Recall";"F1"
"Title";"67,68";"67,00";"67,00"
"Publicationtype";"not defined";"0,00";"0,00"
"Abstract";"not defined";"0,00";"0,00"
"Keywords";"not defined";"0,00";"0,00"
"Authors";"27,73";"46,53";"32,43"
"Emails";"not defined";"0,00";"0,00"
"Author-Emails";"not defined";"0,00";"0,00"
"Affiliations";"not defined";"0,00";"0,00"
"Author-Affiliations";"not defined";"0,00";"0,00"
"Source";"not defined";"0,00";"0,00"
"Volume";"not defined";"0,00";"0,00"
"Issue";"not defined";"0,00";"0,00"
"Page from";"not defined";"0,00";"0,00"
"Page to";"not defined";"0,00";"0,00"
"Location";"not defined";"0,00";"0,00"
"Date";"not defined";"0,00";"0,00"
"Doi";"not defined";"0,00";"0,00"
"Sections";"56,62";"55,79";"52,48"
"Section-Levels";"not defined";"0,00";"0,00"
"Section-References";"not defined";"0,00";"0,00"
"References";"98,25";"90,42";"93,33"
"Average";"62,57";"12,37";"11,68"
