"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"0,00";"0,00";"0,00"
"TUW-137078-ref2";"0,00";"0,00";"0,00"
"TUW-137078-ref3";"0,00";"0,00";"0,00"
"TUW-137078-ref4";"0,00";"0,00";"0,00"
"TUW-137078-ref5";"0,00";"0,00";"0,00"
"TUW-137078-ref6";"0,00";"0,00";"0,00"
"TUW-138011-ref1";"0,00";"0,00";"0,00"
"TUW-138011-ref2";"0,00";"0,00";"0,00"
"TUW-138011-ref3";"0,00";"0,00";"0,00"
"TUW-138011-ref4";"0,00";"0,00";"0,00"
"TUW-138011-ref5";"0,00";"0,00";"0,00"
"TUW-138011-ref6";"0,00";"0,00";"0,00"
"TUW-138011-ref7";"0,00";"0,00";"0,00"
"TUW-138011-ref8";"0,00";"0,00";"0,00"
"TUW-138011-ref9";"0,00";"0,00";"0,00"
"TUW-138011-ref10";"0,00";"0,00";"0,00"
"TUW-138447-ref1";"0,00";"0,00";"0,00"
"TUW-138447-ref2";"0,00";"0,00";"0,00"
"TUW-138447-ref3";"0,00";"0,00";"0,00"
"TUW-138447-ref5";"0,00";"0,00";"0,00"
"TUW-138447-ref6";"0,00";"0,00";"0,00"
"TUW-138447-ref7";"0,00";"0,00";"0,00"
"TUW-138447-ref9";"0,00";"0,00";"0,00"
"TUW-138447-ref10";"0,00";"0,00";"0,00"
"TUW-138447-ref11";"0,00";"0,00";"0,00"
"TUW-138447-ref13";"0,00";"0,00";"0,00"
"TUW-138447-ref14";"0,00";"0,00";"0,00"
"TUW-138447-ref15";"0,00";"0,00";"0,00"
"TUW-138447-ref16";"0,00";"0,00";"0,00"
"TUW-138447-ref17";"0,00";"0,00";"0,00"
"TUW-138447-ref18";"0,00";"0,00";"0,00"
"TUW-138447-ref19";"0,00";"0,00";"0,00"
"TUW-138544-ref1";"0,00";"0,00";"0,00"
"TUW-138544-ref2";"0,00";"0,00";"0,00"
"TUW-138544-ref3";"0,00";"0,00";"0,00"
"TUW-138544-ref4";"0,00";"0,00";"0,00"
"TUW-138547-ref1";"0,00";"0,00";"0,00"
"TUW-138547-ref2";"0,00";"0,00";"0,00"
"TUW-138547-ref4";"0,00";"0,00";"0,00"
"TUW-138547-ref5";"0,00";"0,00";"0,00"
"TUW-138547-ref6";"0,00";"0,00";"0,00"
"TUW-138547-ref7";"0,00";"0,00";"0,00"
"TUW-139299-ref1";"0,00";"0,00";"0,00"
"TUW-139299-ref3";"0,00";"0,00";"0,00"
"TUW-139299-ref4";"0,00";"0,00";"0,00"
"TUW-139299-ref5";"0,00";"0,00";"0,00"
"TUW-139299-ref6";"0,00";"0,00";"0,00"
"TUW-139299-ref7";"0,00";"0,00";"0,00"
"TUW-139299-ref8";"0,00";"0,00";"0,00"
"TUW-139299-ref9";"0,00";"0,00";"0,00"
"TUW-139299-ref10";"0,00";"0,00";"0,00"
"TUW-139761-ref1";"0,00";"0,00";"0,00"
"TUW-139761-ref2";"0,00";"0,00";"0,00"
"TUW-139761-ref3";"0,00";"0,00";"0,00"
"TUW-139761-ref4";"0,00";"0,00";"0,00"
"TUW-139761-ref5";"0,00";"0,00";"0,00"
"TUW-139761-ref6";"0,00";"0,00";"0,00"
"TUW-139761-ref7";"0,00";"0,00";"0,00"
"TUW-139761-ref8";"0,00";"0,00";"0,00"
"TUW-139761-ref9";"0,00";"0,00";"0,00"
"TUW-139761-ref10";"0,00";"0,00";"0,00"
"TUW-139761-ref11";"0,00";"0,00";"0,00"
"TUW-139761-ref12";"0,00";"0,00";"0,00"
"TUW-139761-ref14";"0,00";"0,00";"0,00"
"TUW-139761-ref15";"0,00";"0,00";"0,00"
"TUW-139761-ref16";"0,00";"0,00";"0,00"
"TUW-139761-ref17";"0,00";"0,00";"0,00"
"TUW-139761-ref18";"0,00";"0,00";"0,00"
"TUW-139761-ref19";"0,00";"0,00";"0,00"
"TUW-139761-ref20";"0,00";"0,00";"0,00"
"TUW-139761-ref21";"0,00";"0,00";"0,00"
"TUW-139761-ref22";"0,00";"0,00";"0,00"
"TUW-139761-ref23";"0,00";"0,00";"0,00"
"TUW-139761-ref24";"0,00";"0,00";"0,00"
