"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";"";
"Id";"Precision";"Recall";"Difference";"Precision";"Recall";"Difference";"Precision";"Recall";"Difference";"Precision";"Recall";"Difference";
"Title";"94,79";"91";"3,79";"87,63";"85";"2,63";"67,68";"67";"0,68";"91,92";"91";"0,92";
"Abstract";"73,56";"69,57";"3,99";"69,66";"67,39";"2,27";"NAN";"0";"0";"83,10";"64,13";"18,97";
"Abstract (german)";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";
"Keywords";"84,67";"67,96";"16,71";"82,73";"63,94";"18,79";"NAN";"0";"0";"NAN";"0";"0";
"Authors";"70,50";"59,33";"11,17";"85,58";"89,35";"-3,77";"27,73";"46,53";"-18,80";"NAN";"0";"0";
"Emails";"67,29";"70,65";"-3,36";"90,32";"61,96";"28,36";"NAN";"0";"0";"NAN";"0";"0";
"Author-Emails";"61,62";"66,67";"-5,05";"85,59";"58,33";"27,26";"NAN";"0";"0";"NAN";"0";"0";
"Affiliations";"64,76";"59,95";"4,81";"89,29";"82,68";"6,61";"NAN";"0";"0";"NAN";"0";"0";
"Author-Affiliations";"56,79";"43,20";"13,59";"65,89";"69,60";"-3,71";"NAN";"0";"0";"NAN";"0";"0";
"Source";"11,76";"10,53";"1,23";"66,67";"21,05";"45,62";"NAN";"0";"0";"NAN";"0";"0";
"Volume";"10,53";"66,67";"-56,14";"100";"100";"0";"NAN";"0";"0";"NAN";"0";"0";
"Issue";"0";"0";"0";"100";"100";"0";"NAN";"0";"0";"NAN";"0";"0";
"Page from";"12,90";"100";"-87,10";"100";"50";"50";"NAN";"0";"0";"NAN";"0";"0";
"Page to";"12,90";"100";"-87,10";"100";"50";"50";"NAN";"0";"0";"NAN";"0";"0";
"Year";"48,84";"65,63";"-16,79";"NAN";"0";"0";"NAN";"0";"0";"NAN";"0";"0";
"Doi";"NAN";"0";"0";"100";"100";"0";"NAN";"0";"0";"NAN";"0";"0";
"Sections";"70,07";"54,96";"15,11";"83,45";"83,95";"-0,50";"59,69";"56,97";"2,72";"76,78";"55,98";"20,80";
"Section-Levels";"93,28";"21,87";"71,41";"95,45";"84,14";"11,31";"NAN";"0";"0";"NAN";"0";"0";
"Section-References";"60,01";"34,01";"26";"62,71";"47,77";"14,94";"NAN";"0";"0";"0";"0";"0";
"References";"84,29";"70,51";"13,78";"91,18";"90,93";"0,25";"97,25";"89,60";"7,65";"90,43";"62,36";"28,07";
"Average";"54,36";"52,63";"1,73";"86,45";"65,30";"21,15";"63,09";"13,01";"50,08";"68,45";"13,67";"54,78";
