"EvaluationType";"Precision";"Recall";"F1"
"Title";"87,63";"85,00";"85,00"
"Publicationtype";"61,00";"61,00";"61,00"
"Abstract";"68,89";"67,39";"67,39"
"Keywords";"81,34";"62,87";"60,90"
"Authors";"83,90";"87,15";"82,59"
"Emails";"90,32";"61,96";"63,69"
"Author-Emails";"85,59";"58,33";"60,07"
"Affiliations";"86,49";"77,73";"76,82"
"Author-Affiliations";"64,23";"64,64";"59,85"
"Source";"57,14";"21,05";"20,00"
"Volume";"75,00";"100,00";"75,00"
"Issue";"100,00";"100,00";"100,00"
"Page from";"100,00";"75,00";"75,00"
"Page to";"100,00";"75,00";"75,00"
"Location";"not defined";"0,00";"0,00"
"Date";"25,00";"18,75";"12,50"
"Doi";"100,00";"100,00";"100,00"
"Sections";"80,18";"84,52";"80,20"
"Section-Levels";"95,25";"81,28";"84,93"
"Section-References";"54,22";"32,21";"35,36"
"References";"92,23";"92,76";"90,17"
"Average";"79,42";"66,98";"65,02"
