"EvaluationType";"Precision";"Recall";"F1"
"Id";"71,41";"71,41";"71,41"
"Marker";"not defined";"0,00";"0,00"
"Title";"94,82";"69,33";"69,14"
"Source";"69,38";"78,43";"69,06"
"Publisher";"85,39";"61,19";"58,05"
"Editor";"not defined";"0,00";"0,00"
"Authors";"89,43";"89,01";"87,93"
"Edition";"93,33";"77,78";"73,68"
"Volume";"89,68";"94,70";"86,24"
"Issue";"94,93";"77,20";"75,54"
"Chapter";"not defined";"0,00";"0,00"
"Note";"9,57";"15,27";"6,99"
"Page from";"97,37";"92,59";"91,59"
"Page to";"96,11";"93,95";"92,91"
"Location";"77,78";"28,41";"27,80"
"Date";"94,17";"95,94";"92,64"
"Doi";"not defined";"0,00";"0,00"
"Url";"75,00";"35,71";"33,71"
"Average";"81,31";"54,50";"52,04"
