"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"87,50";"91,67"
"TUW-138011";"80,91";"80,00";"80,34"
"TUW-138447";"83,07";"64,39";"65,90"
"TUW-138544";"84,57";"67,86";"69,03"
"TUW-138547";"89,29";"88,05";"88,64"
"TUW-139299";"63,80";"69,70";"62,79"
"TUW-139761";"56,74";"64,79";"52,85"
"TUW-139769";"56,23";"50,47";"52,82"
"TUW-139781";"98,41";"70,54";"71,98"
"TUW-139785";"45,26";"46,83";"45,77"
"TUW-140047";"92,12";"91,57";"91,65"
"TUW-140048";"97,21";"81,03";"83,60"
"TUW-140229";"72,82";"61,11";"64,85"
"TUW-140253";"98,29";"93,96";"95,29"
"TUW-140308";"85,83";"67,86";"68,11"
"TUW-140533";"40,30";"29,48";"29,84"
"TUW-140867";"91,67";"73,63";"71,79"
"TUW-140895";"57,57";"44,96";"46,06"
"TUW-140983";"81,67";"64,44";"64,59"
"TUW-141024";"90,67";"94,00";"92,00"
"TUW-141065";"91,67";"90,28";"90,87"
"TUW-141121";"100,00";"100,00";"100,00"
"TUW-141140";"86,47";"90,00";"87,86"
"TUW-141336";"74,90";"66,67";"65,57"
"TUW-141618";"68,48";"75,00";"68,90"
"TUW-141758";"67,15";"70,81";"63,03"
"TUW-168222";"77,78";"58,33";"58,33"
"TUW-168482";"30,21";"30,18";"25,69"
"TUW-169511";"94,70";"85,61";"88,64"
"TUW-172697";"66,67";"51,92";"48,26"
"TUW-174216";"85,56";"82,91";"83,79"
"TUW-175428";"62,38";"18,94";"21,32"
"TUW-176087";"87,12";"69,36";"70,89"
"TUW-177140";"87,50";"80,00";"82,54"
"TUW-179146";"96,67";"90,00";"92,42"
"TUW-180162";"95,15";"69,51";"74,17"
"TUW-181199";"91,67";"95,14";"91,74"
"TUW-182414";"70,91";"54,08";"56,75"
"TUW-182899";"76,15";"61,74";"66,83"
"TUW-185321";"68,33";"66,67";"63,21"
"TUW-185441";"71,43";"64,29";"64,29"
"TUW-186227";"75,40";"67,86";"67,86"
"TUW-189842";"55,56";"37,95";"36,09"
"TUW-191715";"79,21";"81,30";"80,18"
"TUW-191977";"91,67";"91,67";"91,67"
"TUW-192724";"96,92";"89,74";"91,41"
"TUW-194085";"38,99";"46,33";"38,44"
"TUW-194561";"71,50";"68,57";"62,48"
"TUW-194660";"70,00";"74,00";"71,33"
"TUW-197422";"81,82";"78,60";"73,43"
"TUW-197852";"65,28";"69,23";"58,33"
"TUW-198400";"93,89";"87,55";"89,81"
"TUW-198401";"92,31";"85,90";"88,53"
"TUW-198405";"96,43";"63,89";"63,99"
"TUW-198408";"82,47";"75,88";"75,72"
"TUW-200745";"41,96";"35,57";"30,00"
"TUW-200748";"58,28";"60,67";"54,86"
"TUW-200948";"88,61";"90,00";"89,24"
"TUW-200950";"81,82";"77,78";"73,08"
"TUW-200959";"71,35";"74,81";"72,44"
"TUW-201066";"81,25";"77,78";"74,07"
"TUW-201160";"83,33";"82,22";"80,42"
"TUW-201167";"72,73";"81,48";"69,09"
"TUW-201821";"87,95";"96,67";"88,53"
"TUW-202034";"35,56";"32,02";"28,63"
"TUW-202824";"83,33";"92,59";"83,33"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"91,94";"91,94";"91,94"
"TUW-204724";"68,45";"65,38";"63,00"
"TUW-205557";"52,38";"57,14";"42,22"
"TUW-205933";"60,00";"48,15";"49,67"
"TUW-213513";"90,91";"95,45";"90,91"
"TUW-216744";"61,36";"50,00";"46,60"
"TUW-217690";"100,00";"60,61";"63,64"
"TUW-217971";"68,76";"79,44";"71,25"
"TUW-221215";"50,95";"52,10";"45,56"
"TUW-223906";"81,94";"62,37";"65,47"
"TUW-223973";"84,24";"80,58";"81,67"
"TUW-225252";"81,25";"70,37";"69,63"
"TUW-226000";"89,39";"88,64";"88,96"
"TUW-226016";"35,54";"52,41";"32,33"
"TUW-228620";"68,50";"43,87";"45,89"
"TUW-231707";"72,73";"56,67";"57,39"
"TUW-233317";"87,18";"87,18";"87,18"
"TUW-233657";"92,59";"64,10";"64,10"
"TUW-236063";"75,00";"60,00";"61,90"
"TUW-236120";"90,44";"82,78";"82,96"
"TUW-237297";"75,84";"66,36";"63,77"
"TUW-240858";"93,45";"90,97";"91,76"
"TUW-245336";"72,92";"66,12";"68,47"
"TUW-245799";"77,31";"49,23";"48,11"
"TUW-247301";"93,18";"95,45";"93,07"
"TUW-247741";"80,81";"68,08";"70,31"
"TUW-247743";"59,07";"52,58";"44,34"
"TUW-251544";"81,88";"49,83";"50,09"
"TUW-252847";"76,04";"64,29";"64,29"
"TUW-255712";"85,12";"74,00";"74,23"
"TUW-256654";"60,94";"39,58";"40,07"
"TUW-257397";"84,86";"58,33";"57,41"
"TUW-257870";"75,83";"67,86";"66,07"
"Average";"77,16";"69,76";"68,22"
