;"Precision";;;;;"Recall";;;;;"F1";
"Id";"best";"max";"Grobid best";"Grobid";"Diff";"best";"max";"Grobid best";"Grobid";"Diff";"best";"max";"Grobid best";"Grobid";"Diff";"best ident";;;"Precision";"Recall";"F1";"Summe";
"Title";"Cermine";"94,79";"0";"87,63";"7,16";"Cermine";"91";"0";"85";"6";"Cermine";"91";"0";"85";"6";"1";;"Cermine";"3";"9";"4";"16";
"Abstract";"PDFX";"83,10";"0";"69,66";"13,44";"Cermine";"69,57";"0";"67,39";"2,18";"Grobid";"67,39";"1";"67,39";"0";"0";;"Grobid";"14";"11";"15";"40";
"Abstract (german)";"none";"0";"0";"NAN";"#VALUE!";"Cermine";"0";"0";"0";"0";"Cermine";"0";"0";"0";"0";"0";;"ParsCit";"1";"0";"1";"2";
"Keywords";"Cermine";"84,67";"0";"82,73";"1,94";"Cermine";"67,96";"0";"63,94";"4,02";"Cermine";"63,97";"0";"61,94";"2,03";"1";;"PDFX";"1";"0";"0";"1";
"Authors";"Grobid";"85,58";"1";"84,32";"1,26";"Grobid";"89,35";"1";"88,40";"0,95";"Grobid";"84,87";"1";"83,84";"1,03";"1";
"Emails";"Grobid";"90,32";"1";"90,32";"0";"Cermine";"70,65";"0";"61,96";"8,69";"Grobid";"63,69";"1";"63,69";"0";"0";
"Author-Emails";"Grobid";"85,59";"1";"85,59";"0";"Cermine";"66,67";"0";"58,33";"8,34";"Grobid";"60,07";"1";"60,07";"0";"0";
"Affiliations";"Grobid";"89,29";"1";"88,16";"1,13";"Grobid";"82,68";"1";"79,04";"3,64";"Grobid";"82,40";"1";"78,68";"3,72";"1";
"Author-Affiliations";"Grobid";"65,89";"1";"65,29";"0,60";"Grobid";"69,60";"1";"66,89";"2,71";"Grobid";"64,02";"1";"61,56";"2,46";"1";
"Source";"Grobid";"66,67";"1";"62,50";"4,17";"Grobid";"21,05";"1";"26,32";"-5,27";"Grobid";"20";"1";"25";"-5";"1";
"Volume";"Grobid";"100";"1";"60";"40";"Grobid";"100";"1";"100";"0";"Grobid";"100";"1";"60";"40";"1";
"Issue";"Grobid";"100";"1";"50";"50";"Grobid";"100";"1";"100";"0";"Grobid";"100";"1";"50";"50";"1";
"Page from";"Grobid";"100";"1";"75";"25";"Cermine";"100";"0";"75";"25";"Grobid";"50";"1";"60";"-10";"0";
"Page to";"Grobid";"100";"1";"75";"25";"Cermine";"100";"0";"75";"25";"Grobid";"50";"1";"60";"-10";"0";
"Year";"Cermine";"48,84";"0";"83,33";"-34,49";"Cermine";"65,63";"0";"31,25";"34,38";"Cermine";"46,67";"0";"29,41";"17,26";"1";
"Doi";"Grobid";"100";"1";"100";"0";"Grobid";"100";"1";"100";"0";"Grobid";"100";"1";"100";"0";"1";
"Sections";"Grobid";"83,45";"1";"83,45";"0";"Grobid";"83,95";"1";"83,95";"0";"Grobid";"81,75";"1";"81,75";"0";"1";
"Section-Levels";"Grobid";"95,45";"1";"95,45";"0";"Grobid";"84,14";"1";"84,14";"0";"Grobid";"86,99";"1";"86,99";"0";"1";
"Section-References";"Grobid";"62,71";"1";"63,03";"-0,32";"Grobid";"47,77";"1";"48,11";"-0,34";"Grobid";"48,73";"1";"49,02";"-0,29";"1";
"References";"ParsCit";"97,25";"0";"92,24";"5,01";"Grobid";"90,93";"1";"91,57";"-0,64";"ParsCit";"92,44";"0";"89,11";"3,33";"0";
;;;;;;;;;;;;;;;;;
"Average";"Grobid";"86,45";"1";"0";"86,45";"Grobid";"65,30";"1";"0";"65,30";"Grobid";"64,76";"1";"0";"64,76";"1";

"grobid best";
