"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"Title";"94,79";"91,00";"91,00";"87,63";"85,00";"85,00";"67,68";"67,00";"67,00";"91,92";"91,00";"91,00"
"Abstract";"73,56";"69,57";"66,67";"69,66";"67,39";"67,39";"NAN";"0,00";"0,00";"83,10";"64,13";"64,13"
"Abstract (german)";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Keywords";"84,67";"67,96";"63,97";"82,73";"63,94";"61,94";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Authors";"70,50";"59,33";"58,06";"84,32";"88,40";"83,84";"27,73";"46,53";"32,43";"NAN";"0,00";"0,00"
"Emails";"67,29";"70,65";"55,12";"90,32";"61,96";"63,69";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Author-Emails";"61,62";"66,67";"51,43";"85,59";"58,33";"60,07";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Affiliations";"64,76";"59,95";"58,67";"88,16";"79,04";"78,68";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Author-Affiliations";"56,79";"43,20";"42,17";"65,29";"66,89";"61,56";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Source";"11,76";"10,53";"6,90";"62,50";"26,32";"25,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Volume";"10,53";"66,67";"10,53";"60,00";"100,00";"60,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Issue";"0,00";"0,00";"0,00";"50,00";"100,00";"50,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Page from";"12,90";"100,00";"12,90";"75,00";"75,00";"60,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Page to";"12,90";"100,00";"12,90";"75,00";"75,00";"60,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Year";"48,84";"65,63";"46,67";"83,33";"31,25";"29,41";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Doi";"NAN";"0,00";"0,00";"100,00";"100,00";"100,00";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Sections";"70,07";"54,96";"58,51";"83,45";"83,95";"81,75";"59,69";"56,97";"54,66";"76,78";"55,98";"59,33"
"Section-Levels";"93,28";"21,87";"25,58";"95,45";"84,14";"86,99";"NAN";"0,00";"0,00";"NAN";"0,00";"0,00"
"Section-References";"60,01";"34,01";"37,17";"63,03";"48,11";"49,02";"NAN";"0,00";"0,00";"0,00";"0,00";"0,00"
"References";"84,27";"70,15";"71,42";"92,24";"91,57";"89,11";"98,25";"90,42";"93,33";"91,54";"63,14";"63,93"
"Average";"54,36";"52,61";"38,48";"78,62";"69,31";"62,67";"63,34";"13,05";"12,37";"68,67";"13,71";"13,92"
