type;Precision;Recall;F1;Precision;Recall;F1;Precision;Recall;F1;Precision;Recall;F1
TITLE;92,71;89;89;89,69;87;87;66,67;66;66;89,9;89;89
ABSTRACT;70,11;66,3;63,54;74,16;71,74;71,74;?;0;0;80,28;61,96;61,96
ABSTRACTGERMAN;?;0;0;?;0;0;?;0;0;?;0;0
KEYWORDS;?;0;0;?;0;0;?;0;0;?;0;0
AUTHORS;0;0;0;83,13;89,69;83,5;0,52;0,17;0,25;?;0;0
EMAILS;63,75;69,57;53,04;90,32;64,49;65,46;?;0;0;?;0;0
AUTHOR_EMAILS;0;0;0;74,48;79,56;74,59;1,04;0,17;0,29;?;0;0
AFFILIATIONS;1,14;100;1,14;1,1;100;1,1;?;0;0;?;0;0
AUTHOR_AFFILIATIONS;?;0;0;69,28;73,15;67,31;?;0;0;?;0;0
SOURCE;?;0;0;?;0;0;?;0;0;?;0;0
VOLUME;?;0;0;?;0;0;?;0;0;?;0;0
ISSUE;?;0;0;?;0;0;?;0;0;?;0;0
PAGE_FROM;?;0;0;?;0;0;?;0;0;?;0;0
PAGE_TO;?;0;0;?;0;0;?;0;0;?;0;0
YEAR;?;0;0;?;0;0;?;0;0;?;0;0
DOI;?;?;?;?;?;?;?;?;?;?;?;?
SECTIONS;69,9;54,89;58,4;83,45;83,91;81,73;59,59;56,39;54,47;74,1;55,33;58,95
REFERENCES;84,29;70,51;71,69;91,18;90,93;88,31;88,37;81,45;84,02;0;0;0
;47,74;26,49;19,81;72,98;43,56;36,51;43,24;12,01;12,06;61,07;12,13;12,35
