"EvaluationType";"Precision";"Recall";"F1"
"Title";"94,79";"91,00";"91,00";"100"
"Publicationtype";"not defined";"0,00";"0,00";"100"
"Abstract";"73,56";"69,57";"66,67";"92"
"Keywords";"84,67";"67,96";"63,97";"31"
"Authors";"70,50";"59,33";"58,06";"100"
"Emails";"67,29";"70,65";"55,12";"46"
"Author-Emails";"61,62";"66,67";"51,43";"46"
"Affiliations";"64,76";"59,95";"58,67";"96"
"Author-Affiliations";"56,79";"43,20";"42,17";"96"
"Source";"11,76";"10,53";"6,90";"19"
"Volume";"10,53";"66,67";"10,53";"3"
"Issue";"0,00";"0,00";"0,00";"1"
"Page from";"12,90";"100,00";"12,90";"4"
"Page to";"12,90";"100,00";"12,90";"4"
"Date";"20,93";"28,13";"20,00";"32"
"Doi";"not defined";"0,00";"0,00";"2"
"Sections";"70,24";"55,05";"58,62";"98"
"Section-Levels";"93,28";"21,87";"25,58";"89"
"Section-References";"60,01";"34,01";"37,17";"97"
"References";"84,27";"70,15";"71,42";"99"
"Average";"52,82";"50,74";"37,16"
