"EvaluationType";"Precision";"Recall";"F1"
"Id";"77,90";"77,90";"77,90";"973"
"Marker";"not defined";"0,00";"0,00";"973"
"Title";"82,98";"79,14";"76,91";"930"
"Source";"55,71";"52,27";"50,11";"859"
"Publisher";"not defined";"0,00";"0,00";"348"
"Editor";"not defined";"0,00";"0,00";"53"
"Authors";"73,85";"72,05";"69,57";"929"
"Edition";"not defined";"0,00";"0,00";"11"
"Volume";"83,17";"83,17";"75,06";"398"
"Issue";"89,08";"87,60";"80,00";"242"
"Chapter";"not defined";"0,00";"0,00";"6"
"Note";"not defined";"0,00";"0,00";"87"
"Page from";"86,54";"86,83";"84,30";"600"
"Page to";"98,35";"90,99";"90,37";"588"
"Location";"not defined";"0,00";"0,00";"182"
"Date";"not defined";"0,00";"0,00";"898"
"Doi";"not defined";"0,00";"0,00";"3"
"Url";"not defined";"0,00";"0,00";"50"
"Average";"80,95";"35,00";"33,57"
