"File";"Precision";"Recall";"F1"
"TUW-137078";"88,64";"63,33";"69,44";"12"
"TUW-138011";"86,67";"83,33";"75,00";"12"
"TUW-138447";"33,33";"34,79";"22,99";"11"
"TUW-138544";"80,68";"42,86";"44,00";"12"
"TUW-138547";"91,43";"76,19";"76,19";"12"
"TUW-139299";"45,76";"50,84";"38,13";"9"
"TUW-139761";"16,67";"20,00";"13,89";"10"
"TUW-139769";"16,67";"10,95";"7,34";"10"
"TUW-139781";"51,85";"42,42";"33,33";"11"
"TUW-139785";"30,39";"13,11";"12,10";"10"
"TUW-140047";"66,57";"48,98";"48,94";"10"
"TUW-140048";"97,33";"69,31";"70,75";"12"
"TUW-140229";"88,64";"76,94";"78,71";"12"
"TUW-140253";"75,00";"62,64";"64,87";"13"
"TUW-140308";"98,21";"78,25";"80,33";"16"
"TUW-140533";"31,75";"10,21";"9,47";"11"
"TUW-140867";"66,67";"42,31";"43,59";"13"
"TUW-140895";"28,41";"15,61";"15,88";"11"
"TUW-140983";"60,33";"44,05";"40,33";"14"
"TUW-141024";"97,96";"61,00";"64,07";"10"
"TUW-141065";"99,35";"79,96";"83,91";"12"
"TUW-141121";"84,38";"57,74";"54,55";"12"
"TUW-141140";"79,44";"67,14";"62,27";"10"
"TUW-141336";"70,59";"53,52";"53,93";"17"
"TUW-141618";"63,33";"33,03";"35,14";"10"
"TUW-141758";"24,75";"24,12";"18,11";"11"
"TUW-168222";"70,83";"35,42";"35,42";"12"
"TUW-168482";"10,00";"9,09";"7,14";"11"
"TUW-169511";"87,50";"83,79";"80,96";"11"
"TUW-172697";"60,00";"50,00";"42,86";"12"
"TUW-174216";"59,52";"46,64";"43,52";"17"
"TUW-175428";"7,80";"3,90";"3,46";"11"
"TUW-176087";"96,67";"65,00";"68,61";"13"
"TUW-177140";"64,33";"59,44";"55,00";"12"
"TUW-179146";"37,00";"46,10";"29,26";"11"
"TUW-180162";"92,88";"65,34";"67,86";"12"
"TUW-181199";"52,00";"53,19";"43,31";"12"
"TUW-182414";"59,62";"51,96";"50,42";"12"
"TUW-182899";"88,31";"45,00";"52,41";"13"
"TUW-185321";"100,00";"66,67";"66,67";"9"
"TUW-185441";"61,00";"24,79";"26,79";"10"
"TUW-186227";"100,00";"50,00";"53,33";"10"
"TUW-189842";"28,83";"30,65";"26,64";"14"
"TUW-191715";"48,93";"51,02";"34,86";"11"
"TUW-191977";"94,17";"78,47";"78,47";"12"
"TUW-192724";"91,15";"70,03";"75,23";"13"
"TUW-194085";"25,00";"10,61";"9,89";"11"
"TUW-194561";"72,14";"76,95";"60,75";"15"
"TUW-194660";"50,00";"24,00";"21,43";"10"
"TUW-197422";"99,57";"65,59";"68,73";"12"
"TUW-197852";"46,67";"21,68";"22,77";"14"
"TUW-198400";"74,15";"61,62";"61,68";"12"
"TUW-198401";"50,00";"35,90";"27,45";"13"
"TUW-198405";"80,00";"23,61";"26,39";"12"
"TUW-198408";"46,67";"21,43";"22,22";"12"
"TUW-200745";"15,00";"10,23";"9,23";"11"
"TUW-200748";"15,93";"10,68";"8,12";"11"
"TUW-200948";"77,65";"70,26";"65,82";"12"
"TUW-200950";"76,19";"66,67";"60,00";"12"
"TUW-200959";"76,32";"31,77";"32,93";"11"
"TUW-201066";"67,59";"67,59";"55,30";"9"
"TUW-201160";"58,57";"58,41";"45,80";"9"
"TUW-201167";"66,67";"66,67";"54,55";"9"
"TUW-201821";"81,94";"76,92";"66,06";"13"
"TUW-202034";"16,16";"12,12";"11,28";"11"
"TUW-202824";"38,89";"66,67";"35,71";"9"
"TUW-203409";"80,00";"81,48";"68,18";"9"
"TUW-203924";"89,70";"59,67";"66,13";"11"
"TUW-204724";"62,24";"45,51";"47,79";"13"
"TUW-205557";"88,89";"76,19";"76,19";"7"
"TUW-205933";"81,29";"58,15";"53,28";"9"
"TUW-213513";"80,00";"74,24";"65,00";"11"
"TUW-216744";"55,77";"55,00";"51,39";"13"
"TUW-217690";"96,88";"55,76";"59,09";"11"
"TUW-217971";"60,00";"60,00";"50,00";"10"
"TUW-221215";"18,65";"11,20";"9,92";"11"
"TUW-223906";"76,92";"71,43";"62,50";"14"
"TUW-223973";"77,78";"63,64";"63,64";"11"
"TUW-225252";"56,25";"62,96";"44,86";"9"
"TUW-226000";"82,74";"87,99";"75,27";"11"
"TUW-226016";"20,00";"18,18";"14,29";"11"
"TUW-228620";"75,90";"59,19";"57,58";"14"
"TUW-231707";"75,00";"46,67";"46,83";"10"
"TUW-233317";"79,06";"73,08";"69,20";"13"
"TUW-233657";"72,47";"66,67";"61,02";"13"
"TUW-236063";"75,00";"46,67";"45,71";"10"
"TUW-236120";"88,64";"64,68";"66,52";"13"
"TUW-237297";"59,55";"58,02";"43,95";"9"
"TUW-240858";"93,33";"73,61";"75,13";"12"
"TUW-245336";"100,00";"75,00";"75,00";"8"
"TUW-245799";"57,54";"70,41";"52,93";"14"
"TUW-247301";"100,00";"81,82";"81,82";"11"
"TUW-247741";"72,22";"54,45";"49,18";"13"
"TUW-247743";"15,00";"18,18";"12,82";"11"
"TUW-251544";"75,00";"41,35";"39,61";"13"
"TUW-252847";"74,60";"68,48";"60,59";"14"
"TUW-255712";"71,88";"64,89";"64,36";"9"
"TUW-256654";"10,00";"8,33";"5,13";"12"
"TUW-257397";"99,06";"80,04";"83,91";"12"
"TUW-257870";"49,45";"57,14";"43,75";"14"
"Average";"64,91";"51,19";"47,68"
