"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"71,43";"44,44";"41,41";"9"
"TUW-137078-ref2";"70,00";"40,00";"36,67";"10"
"TUW-137078-ref3";"50,00";"28,57";"20,83";"7"
"TUW-137078-ref4";"100,00";"55,56";"55,56";"9"
"TUW-137078-ref5";"100,00";"85,71";"85,71";"7"
"TUW-137078-ref6";"83,33";"71,43";"62,50";"7"
"TUW-138011-ref1";"100,00";"66,67";"66,67";"9"
"TUW-138011-ref2";"66,67";"28,57";"25,00";"7"
"TUW-138011-ref3";"97,62";"75,93";"75,93";"9"
"TUW-138011-ref4";"100,00";"80,00";"80,00";"10"
"TUW-138011-ref5";"50,00";"40,00";"33,33";"5"
"TUW-138011-ref6";"66,67";"41,67";"42,86";"6"
"TUW-138011-ref7";"87,50";"70,00";"70,00";"10"
"TUW-138011-ref8";"100,00";"71,59";"72,12";"11"
"TUW-138011-ref9";"100,00";"77,78";"77,78";"9"
"TUW-138011-ref10";"75,00";"37,50";"37,50";"8"
"TUW-138544-ref1";"100,00";"80,00";"80,00";"10"
"TUW-138544-ref2";"100,00";"77,78";"77,78";"9"
"TUW-138544-ref3";"85,71";"66,67";"66,67";"9"
"TUW-138544-ref4";"100,00";"80,00";"80,00";"10"
"TUW-138544-ref5";"66,67";"40,00";"33,33";"5"
"TUW-138547-ref1";"100,00";"66,67";"66,67";"9"
"TUW-138547-ref2";"100,00";"72,73";"72,73";"11"
"TUW-138547-ref4";"94,44";"60,00";"58,00";"10"
"TUW-138547-ref5";"100,00";"60,00";"60,00";"10"
"TUW-138547-ref6";"94,44";"60,00";"58,00";"10"
"TUW-138547-ref7";"82,14";"54,55";"53,25";"11"
"TUW-139299-ref1";"75,00";"50,00";"50,00";"6"
"TUW-139299-ref3";"50,00";"30,00";"27,27";"10"
"TUW-139299-ref4";"62,50";"50,00";"45,45";"10"
"TUW-139299-ref5";"50,00";"28,57";"28,57";"7"
"TUW-139299-ref6";"88,39";"70,67";"70,69";"10"
"TUW-139299-ref7";"66,67";"50,00";"50,00";"8"
"TUW-139299-ref8";"50,00";"25,00";"25,00";"8"
"TUW-139299-ref9";"100,00";"70,00";"70,00";"10"
"TUW-139299-ref10";"97,62";"70,00";"69,09";"10"
"TUW-139299-ref11";"66,67";"33,33";"28,57";"6"
"TUW-139769-ref31";"87,50";"70,00";"70,00";"10"
"TUW-139769-ref32";"75,00";"42,86";"42,86";"7"
"TUW-139769-ref33";"83,33";"62,50";"62,50";"8"
"TUW-139769-ref34";"83,33";"62,50";"62,50";"8"
"TUW-139781-ref1";"83,33";"55,56";"55,56";"9"
"TUW-139781-ref2";"60,00";"33,33";"33,33";"9"
"TUW-139781-ref3";"50,00";"30,00";"30,00";"10"
"TUW-139781-ref4";"100,00";"33,33";"33,33";"6"
"TUW-139781-ref5";"50,00";"33,33";"30,00";"9"
"TUW-139781-ref6";"100,00";"75,00";"75,00";"8"
"TUW-139781-ref7";"60,00";"37,50";"37,50";"8"
"TUW-139781-ref8";"83,33";"55,56";"55,56";"9"
"TUW-139785-ref12";"79,17";"65,00";"64,00";"10"
"TUW-139785-ref13";"66,67";"40,00";"40,00";"5"
"TUW-139785-ref14";"50,00";"21,43";"21,43";"7"
"TUW-139785-ref15";"85,71";"66,67";"66,67";"9"
"TUW-139785-ref16";"87,50";"70,00";"70,00";"10"
"TUW-139785-ref17";"75,00";"50,00";"46,67";"10"
"TUW-139785-ref27";"66,67";"40,00";"40,00";"5"
"TUW-139785-ref28";"57,14";"40,00";"40,00";"10"
"TUW-139785-ref31";"87,50";"70,00";"70,00";"10"
"TUW-139785-ref32";"83,33";"66,67";"66,67";"10"
"TUW-139785-ref41";"57,14";"44,44";"44,44";"9"
"TUW-139785-ref42";"50,00";"25,00";"25,00";"8"
"TUW-139785-ref43";"45,00";"23,33";"22,86";"10"
"TUW-139785-ref45";"40,00";"25,00";"19,78";"12"
"TUW-140047-ref1";"71,43";"55,56";"50,00";"9"
"TUW-140047-ref2";"71,43";"55,56";"50,00";"9"
"TUW-140047-ref3";"33,33";"16,67";"14,29";"6"
"TUW-140047-ref4";"100,00";"50,00";"50,00";"6"
"TUW-140048-ref1";"33,33";"16,67";"12,50";"6"
"TUW-140048-ref2";"85,71";"50,00";"51,52";"11"
"TUW-140048-ref3";"66,67";"44,44";"44,44";"9"
"TUW-140048-ref4";"100,00";"63,64";"63,64";"11"
"TUW-140048-ref5";"75,00";"50,00";"50,00";"6"
"TUW-140048-ref6";"0,00";"0,00";"0,00";"6"
"TUW-140048-ref7";"0,00";"0,00";"0,00";"6"
"TUW-140048-ref8";"0,00";"0,00";"0,00";"6"
"TUW-140048-ref9";"0,00";"0,00";"0,00";"6"
"TUW-140048-ref12";"0,00";"0,00";"0,00";"6"
"TUW-140048-ref13";"0,00";"0,00";"0,00";"6"
"TUW-140229-ref1";"100,00";"75,00";"75,00";"8"
"TUW-140229-ref2";"91,67";"61,11";"61,11";"6"
"TUW-140229-ref3";"100,00";"80,00";"80,00";"10"
"TUW-140229-ref4";"66,67";"28,57";"28,57";"7"
"TUW-140229-ref6";"77,14";"34,09";"34,55";"11"
"TUW-140229-ref7";"100,00";"80,00";"80,00";"10"
"TUW-140229-ref8";"100,00";"80,00";"80,00";"10"
"TUW-140229-ref9";"100,00";"80,00";"80,00";"10"
"TUW-140229-ref10";"66,67";"33,33";"33,33";"6"
"TUW-140253-ref1";"83,33";"55,56";"55,56";"9"
"TUW-140253-ref2";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref3";"75,00";"50,00";"50,00";"6"
"TUW-140253-ref4";"75,00";"42,86";"42,86";"7"
"TUW-140253-ref5";"50,00";"25,00";"25,00";"8"
"TUW-140253-ref6";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref7";"66,67";"40,00";"40,00";"10"
"TUW-140253-ref8";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref9";"85,71";"66,67";"66,67";"9"
"TUW-140253-ref10";"41,67";"25,71";"24,68";"7"
"TUW-140253-ref11";"37,50";"25,00";"20,83";"8"
"TUW-140253-ref12";"40,00";"25,00";"21,88";"8"
"TUW-140253-ref13";"66,67";"44,44";"44,44";"9"
"TUW-140253-ref14";"66,67";"44,44";"44,44";"9"
"TUW-140253-ref15";"62,50";"50,00";"50,00";"10"
"TUW-140253-ref16";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref17";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref18";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref19";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref20";"50,00";"33,33";"33,33";"9"
"TUW-140253-ref21";"58,33";"36,36";"33,33";"11"
"TUW-140253-ref22";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref23";"33,33";"14,29";"12,50";"7"
"TUW-140253-ref24";"62,50";"50,00";"50,00";"10"
"TUW-140253-ref25";"50,00";"28,57";"23,81";"7"
"TUW-140253-ref26";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref27";"66,67";"44,44";"44,44";"9"
"TUW-140253-ref28";"62,50";"50,00";"50,00";"10"
"TUW-140253-ref29";"25,00";"14,29";"14,29";"7"
"TUW-140253-ref30";"55,56";"28,57";"25,71";"7"
"TUW-140253-ref31";"50,00";"28,57";"28,57";"7"
"TUW-140253-ref32";"66,67";"44,44";"44,44";"9"
"TUW-140253-ref33";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref34";"87,50";"70,00";"70,00";"10"
"TUW-140253-ref35";"33,33";"14,29";"12,50";"7"
"TUW-140308-ref2";"100,00";"55,56";"56,67";"12"
"TUW-140308-ref3";"50,00";"29,17";"26,67";"8"
"TUW-140308-ref4";"75,00";"56,25";"56,25";"8"
"TUW-140533-ref36";"33,33";"12,50";"12,50";"8"
"TUW-140533-ref37";"0,00";"0,00";"0,00";"6"
"TUW-140533-ref38";"33,33";"22,22";"20,00";"9"
"TUW-140867-ref1";"100,00";"72,73";"74,29";"10"
"TUW-140867-ref2";"50,00";"16,67";"16,67";"6"
"TUW-140867-ref3";"100,00";"66,67";"66,67";"6"
"TUW-140867-ref4";"50,00";"33,33";"28,57";"6"
"TUW-140867-ref5";"75,00";"42,86";"42,86";"7"
"TUW-140867-ref6";"100,00";"50,00";"50,00";"6"
"TUW-140867-ref7";"66,67";"33,33";"33,33";"6"
"TUW-140867-ref8";"94,44";"47,22";"47,22";"12"
"TUW-140867-ref9";"60,00";"33,33";"30,00";"9"
"TUW-140895-ref31";"75,00";"30,00";"30,00";"10"
"TUW-140895-ref32";"87,50";"70,00";"70,00";"10"
"TUW-140895-ref33";"58,33";"38,89";"38,89";"9"
"TUW-140983-ref1";"66,67";"33,33";"33,33";"6"
"TUW-140983-ref2";"93,33";"55,56";"53,33";"9"
"TUW-140983-ref3";"100,00";"80,00";"80,00";"10"
"TUW-140983-ref4";"50,00";"20,00";"16,67";"5"
"TUW-141024-ref1";"89,06";"70,71";"70,91";"10"
"TUW-141024-ref2";"87,50";"70,00";"70,00";"10"
"TUW-141024-ref3";"66,67";"28,57";"28,57";"7"
"TUW-141024-ref4";"100,00";"74,07";"75,56";"9"
"TUW-141024-ref5";"91,67";"75,00";"74,00";"10"
"TUW-141024-ref6";"95,24";"70,37";"71,60";"9"
"TUW-141024-ref7";"100,00";"36,11";"37,78";"9"
"TUW-141024-ref8";"50,00";"16,67";"18,75";"8"
"TUW-141024-ref9";"100,00";"74,07";"75,56";"9"
"TUW-141024-ref10";"87,50";"70,00";"70,00";"10"
"TUW-141024-ref11";"87,50";"70,00";"70,00";"10"
"TUW-141065-ref1";"75,00";"55,56";"51,85";"9"
"TUW-141065-ref3";"100,00";"72,22";"74,07";"9"
"TUW-141065-ref4";"100,00";"55,00";"56,67";"10"
"TUW-141065-ref5";"100,00";"77,78";"77,78";"9"
"TUW-141065-ref6";"100,00";"66,67";"66,67";"9"
"TUW-141065-ref7";"66,67";"28,57";"25,00";"7"
"TUW-141065-ref8";"100,00";"66,67";"66,67";"9"
"TUW-141065-ref9";"87,50";"55,56";"56,67";"6"
"TUW-141065-ref10";"50,00";"33,33";"28,57";"6"
"TUW-141065-ref11";"50,00";"20,00";"16,67";"5"
"TUW-141065-ref12";"100,00";"77,78";"77,78";"9"
"TUW-141065-ref13";"71,43";"55,56";"55,56";"9"
"TUW-141065-ref14";"100,00";"77,78";"77,78";"9"
"TUW-141121-ref1";"100,00";"80,00";"80,00";"10"
"TUW-141121-ref2";"71,43";"55,56";"50,00";"9"
"TUW-141121-ref3";"45,83";"42,86";"31,75";"7"
"TUW-141121-ref4";"75,00";"42,00";"42,86";"10"
"TUW-141121-ref5";"71,43";"58,33";"53,33";"8"
"TUW-141121-ref6";"100,00";"75,00";"75,00";"8"
"TUW-141140-ref1";"100,00";"43,33";"45,00";"10"
"TUW-141140-ref2";"70,00";"43,75";"38,89";"8"
"TUW-141140-ref3";"80,00";"36,11";"34,00";"9"
"TUW-141140-ref4";"100,00";"50,00";"50,00";"6"
"TUW-141140-ref5";"33,33";"20,00";"16,67";"5"
"TUW-141140-ref6";"75,00";"40,00";"36,73";"6"
"TUW-141140-ref7";"55,56";"17,50";"18,75";"8"
"TUW-141140-ref8";"50,00";"18,75";"18,75";"8"
"TUW-141336-ref1";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref2";"100,00";"77,78";"77,78";"9"
"TUW-141336-ref3";"87,50";"65,00";"66,67";"10"
"TUW-141336-ref4";"91,67";"73,33";"73,33";"10"
"TUW-141336-ref5";"100,00";"50,00";"50,00";"8"
"TUW-141336-ref6";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref7";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref8";"50,00";"33,33";"30,00";"9"
"TUW-141336-ref9";"71,43";"55,56";"55,56";"9"
"TUW-141336-ref10";"100,00";"77,78";"77,78";"9"
"TUW-141336-ref11";"83,33";"62,50";"62,50";"8"
"TUW-141336-ref12";"75,00";"75,00";"60,00";"8"
"TUW-141336-ref13";"66,67";"33,33";"28,57";"6"
"TUW-141336-ref14";"85,71";"66,67";"66,67";"9"
"TUW-141618-ref1";"75,00";"42,86";"42,86";"7"
"TUW-141618-ref2";"87,50";"45,83";"44,64";"8"
"TUW-141618-ref3";"87,50";"70,00";"70,00";"10"
"TUW-141618-ref4";"58,33";"38,89";"38,89";"6"
"TUW-141618-ref7";"39,58";"43,75";"32,50";"8"
"TUW-141618-ref16";"78,57";"55,00";"55,00";"10"
"TUW-141618-ref17";"70,00";"38,89";"38,89";"9"
"TUW-141618-ref18";"40,00";"22,22";"22,22";"9"
"TUW-141618-ref19";"37,50";"25,00";"25,00";"6"
"TUW-141618-ref20";"62,50";"31,25";"31,25";"8"
"TUW-141618-ref21";"75,00";"50,00";"50,00";"6"
"TUW-141618-ref22";"75,00";"50,00";"50,00";"6"
"TUW-141618-ref23";"81,25";"66,67";"65,71";"10"
"TUW-141618-ref24";"8,33";"5,56";"4,76";"6"
"TUW-141618-ref25";"28,57";"20,83";"19,70";"6"
"TUW-141618-ref26";"79,17";"65,00";"64,00";"10"
