"EvaluationType";"Precision";"Recall";"F1"
"Id";"71,79";"71,79";"71,79";"1535"
"Marker";"not defined";"0,00";"0,00";"1535"
"Title";"94,76";"68,95";"68,76";"1443"
"Source";"69,11";"78,37";"68,79";"1336"
"Publisher";"86,00";"61,65";"58,50";"558"
"Editor";"not defined";"0,00";"0,00";"87"
"Authors";"89,40";"89,18";"88,00";"1471"
"Edition";"92,86";"76,47";"72,22";"17"
"Volume";"89,60";"94,88";"86,32";"645"
"Issue";"94,63";"76,84";"75,20";"367"
"Chapter";"not defined";"0,00";"0,00";"11"
"Note";"9,39";"15,38";"6,92";"130"
"Page from";"97,39";"92,85";"91,76";"923"
"Page to";"96,14";"94,21";"93,07";"898"
"Location";"76,19";"28,67";"28,07";"279"
"Date";"93,41";"95,89";"92,04";"1435"
"Doi";"not defined";"0,00";"0,00";"8"
"Url";"73,17";"34,48";"32,26";"87"
"Average";"80,99";"54,42";"51,87"
