"EvaluationType";"Precision";"Recall";"F1"
"Title";"67,68";"67,00";"67,00";"100"
"Publicationtype";"not defined";"0,00";"0,00";"100"
"Abstract";"not defined";"0,00";"0,00";"92"
"Keywords";"not defined";"0,00";"0,00";"31"
"Authors";"27,73";"46,53";"32,43";"100"
"Emails";"not defined";"0,00";"0,00";"46"
"Author-Emails";"not defined";"0,00";"0,00";"46"
"Affiliations";"not defined";"0,00";"0,00";"96"
"Author-Affiliations";"not defined";"0,00";"0,00";"96"
"Source";"not defined";"0,00";"0,00";"19"
"Volume";"not defined";"0,00";"0,00";"3"
"Issue";"not defined";"0,00";"0,00";"1"
"Page from";"not defined";"0,00";"0,00";"4"
"Page to";"not defined";"0,00";"0,00";"4"
"Date";"not defined";"0,00";"0,00";"32"
"Doi";"not defined";"0,00";"0,00";"2"
"Sections";"59,82";"57,07";"54,76";"98"
"Section-Levels";"not defined";"0,00";"0,00";"89"
"Section-References";"not defined";"0,00";"0,00";"97"
"References";"98,25";"90,42";"93,33";"99"
"Average";"63,37";"13,05";"12,38"
