"EvaluationType";"Precision";"Recall";"F1"
"Id";"66,85";"66,85";"66,85";"1439"
"Marker";"78,11";"78,11";"78,11";"1439"
"Title";"76,72";"79,05";"74,74";"1351"
"Source";"40,15";"16,26";"16,05";"1279"
"Publisher";"10,15";"6,31";"6,19";"523"
"Editor";"0,00";"0,00";"0,00";"80"
"Authors";"93,27";"92,19";"91,24";"1395"
"Edition";"not defined";"0,00";"0,00";"18"
"Volume";"87,89";"88,03";"79,67";"610"
"Issue";"97,19";"67,04";"66,48";"361"
"Chapter";"not defined";"0,00";"0,00";"10"
"Note";"4,65";"3,51";"2,35";"114"
"Page from";"not defined";"0,00";"0,00";"889"
"Page to";"not defined";"0,00";"0,00";"865"
"Location";"7,35";"8,27";"6,99";"278"
"Date";"not defined";"0,00";"0,00";"1369"
"Doi";"not defined";"0,00";"0,00";"8"
"Url";"not defined";"0,00";"0,00";"67"
"Average";"51,12";"28,09";"27,15"
