"File";"Precision";"Recall";"F1"
"TUW-137078";"67,86";"22,22";"21,94";"12"
"TUW-138011";"70,83";"25,00";"24,24";"12"
"TUW-138447";"77,78";"19,90";"19,64";"11"
"TUW-138544";"78,13";"24,40";"23,74";"12"
"TUW-138547";"77,08";"26,19";"24,84";"12"
"TUW-139299";"68,75";"32,32";"31,22";"9"
"TUW-139761";"39,42";"20,14";"15,46";"10"
"TUW-139769";"33,84";"19,37";"14,65";"10"
"TUW-139781";"71,88";"27,27";"26,67";"11"
"TUW-139785";"61,39";"19,84";"20,10";"10"
"TUW-140047";"68,75";"23,53";"24,80";"10"
"TUW-140048";"44,51";"11,03";"12,24";"12"
"TUW-140229";"79,17";"25,56";"25,95";"12"
"TUW-140253";"84,38";"30,77";"27,69";"13"
"TUW-140308";"83,93";"20,07";"19,52";"16"
"TUW-140533";"40,38";"9,03";"9,54";"11"
"TUW-140867";"62,50";"17,83";"18,48";"13"
"TUW-140895";"76,77";"21,23";"21,03";"11"
"TUW-140983";"64,29";"19,64";"18,46";"14"
"TUW-141024";"66,67";"26,59";"26,58";"10"
"TUW-141065";"71,88";"20,93";"22,19";"12"
"TUW-141121";"78,33";"25,60";"25,56";"12"
"TUW-141140";"70,83";"23,30";"25,22";"10"
"TUW-141336";"63,21";"14,29";"14,55";"17"
"TUW-141618";"67,86";"29,73";"28,20";"10"
"TUW-141758";"39,38";"8,54";"10,12";"11"
"TUW-168222";"72,50";"29,17";"25,93";"12"
"TUW-168482";"36,26";"14,07";"12,15";"11"
"TUW-169511";"70,00";"25,45";"25,45";"11"
"TUW-172697";"46,25";"16,67";"15,66";"12"
"TUW-174216";"52,08";"9,58";"10,65";"17"
"TUW-175428";"35,83";"19,87";"13,68";"11"
"TUW-176087";"71,43";"20,64";"21,27";"13"
"TUW-177140";"41,67";"15,00";"14,39";"12"
"TUW-179146";"74,11";"26,19";"26,49";"11"
"TUW-180162";"70,00";"19,07";"20,77";"12"
"TUW-181199";"45,00";"13,89";"14,39";"12"
"TUW-182414";"84,52";"27,36";"27,23";"12"
"TUW-182899";"65,00";"17,19";"18,08";"13"
"TUW-185321";"85,42";"41,67";"39,44";"9"
"TUW-185441";"75,00";"32,86";"31,08";"10"
"TUW-186227";"66,67";"33,75";"27,14";"10"
"TUW-189842";"80,95";"17,86";"17,16";"14"
"TUW-191715";"92,89";"28,49";"30,15";"11"
"TUW-191977";"70,00";"23,61";"23,32";"12"
"TUW-192724";"45,00";"12,34";"13,04";"13"
"TUW-194085";"42,03";"19,41";"15,41";"11"
"TUW-194561";"69,16";"19,39";"18,88";"15"
"TUW-194660";"71,67";"30,00";"28,89";"10"
"TUW-197422";"68,75";"27,27";"22,94";"12"
"TUW-197852";"72,50";"25,00";"21,94";"14"
"TUW-198400";"68,75";"20,54";"21,52";"12"
"TUW-198401";"76,25";"28,21";"25,01";"13"
"TUW-198405";"68,75";"20,83";"21,67";"12"
"TUW-198408";"79,17";"29,45";"27,19";"12"
"TUW-200745";"33,85";"18,69";"12,86";"11"
"TUW-200748";"35,80";"17,87";"12,96";"11"
"TUW-200948";"66,29";"22,63";"22,32";"12"
"TUW-200950";"40,00";"11,11";"11,90";"12"
"TUW-200959";"57,29";"22,73";"21,41";"11"
"TUW-201066";"88,75";"44,44";"41,62";"9"
"TUW-201160";"84,52";"44,44";"40,37";"9"
"TUW-201167";"62,50";"33,33";"30,16";"9"
"TUW-201821";"55,36";"23,08";"19,23";"13"
"TUW-202034";"38,10";"19,41";"13,18";"11"
"TUW-202824";"62,50";"30,56";"26,07";"9"
"TUW-203409";"58,33";"22,22";"20,63";"9"
"TUW-203924";"65,00";"19,01";"20,80";"11"
"TUW-204724";"70,23";"24,87";"22,59";"13"
"TUW-205557";"50,00";"28,57";"25,00";"7"
"TUW-205933";"44,44";"12,04";"13,23";"9"
"TUW-213513";"56,25";"27,27";"22,94";"11"
"TUW-216744";"62,50";"20,30";"19,55";"13"
"TUW-217690";"40,00";"18,18";"15,91";"11"
"TUW-217971";"69,44";"27,00";"27,37";"10"
"TUW-221215";"26,80";"9,13";"9,42";"11"
"TUW-223906";"81,25";"26,79";"24,40";"14"
"TUW-223973";"59,52";"22,84";"21,84";"11"
"TUW-225252";"86,67";"40,74";"39,51";"9"
"TUW-226000";"67,92";"23,51";"24,06";"11"
"TUW-226016";"18,18";"3,21";"3,90";"11"
"TUW-228620";"25,00";"6,98";"7,06";"14"
"TUW-231707";"80,36";"34,17";"31,93";"10"
"TUW-233317";"65,00";"20,00";"20,00";"13"
"TUW-233657";"80,36";"22,32";"23,40";"13"
"TUW-236063";"68,75";"30,00";"28,57";"10"
"TUW-236120";"70,00";"14,71";"16,95";"13"
"TUW-237297";"55,21";"30,86";"25,82";"9"
"TUW-240858";"64,74";"21,58";"21,58";"12"
"TUW-245336";"75,00";"49,46";"41,39";"8"
"TUW-245799";"83,33";"14,69";"15,78";"14"
"TUW-247301";"68,75";"27,27";"25,97";"11"
"TUW-247741";"52,08";"14,45";"15,11";"13"
"TUW-247743";"37,50";"17,32";"14,70";"11"
"TUW-251544";"68,75";"14,07";"16,35";"13"
"TUW-252847";"82,29";"27,38";"24,92";"14"
"TUW-255712";"70,83";"44,44";"35,19";"9"
"TUW-256654";"67,86";"21,88";"22,22";"12"
"TUW-257397";"79,17";"29,47";"27,20";"12"
"TUW-257870";"69,05";"22,14";"20,71";"14"
"Average";"63,53";"23,06";"21,82"
