"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"60,00";"33,33";"33,33";"9"
"TUW-137078-ref2";"50,00";"30,00";"30,00";"10"
"TUW-137078-ref3";"33,33";"28,57";"22,22";"7"
"TUW-137078-ref4";"28,57";"22,22";"20,00";"9"
"TUW-138011-ref1";"40,00";"22,22";"20,00";"9"
"TUW-138011-ref2";"40,00";"28,57";"25,00";"7"
"TUW-138011-ref3";"80,00";"44,44";"44,44";"9"
"TUW-138011-ref4";"83,33";"50,00";"50,00";"10"
"TUW-138011-ref5";"40,00";"40,00";"28,57";"5"
"TUW-138011-ref6";"60,00";"50,00";"50,00";"6"
"TUW-138011-ref7";"83,33";"50,00";"50,00";"10"
"TUW-138011-ref8";"57,14";"36,36";"36,36";"11"
"TUW-138011-ref9";"80,00";"44,44";"44,44";"9"
"TUW-138011-ref10";"40,00";"25,00";"25,00";"8"
"TUW-138447-ref1";"40,00";"40,00";"33,33";"5"
"TUW-138447-ref2";"61,11";"40,74";"40,74";"9"
"TUW-138447-ref3";"44,44";"38,10";"38,10";"7"
"TUW-138447-ref4";"16,67";"16,67";"12,50";"6"
"TUW-138447-ref5";"50,00";"23,33";"24,00";"10"
"TUW-138447-ref6";"50,00";"25,00";"25,00";"10"
"TUW-138447-ref7";"37,50";"25,00";"25,00";"6"
"TUW-138447-ref8";"40,00";"33,33";"33,33";"6"
"TUW-138447-ref9";"61,11";"36,67";"36,67";"10"
"TUW-138447-ref11";"60,00";"33,33";"33,33";"9"
"TUW-138447-ref14";"33,33";"20,00";"20,00";"10"
"TUW-138447-ref16";"30,00";"16,67";"16,67";"9"
"TUW-138447-ref17";"15,00";"12,50";"12,50";"6"
"TUW-138447-ref18";"20,00";"14,29";"14,29";"7"
"TUW-138447-ref19";"60,00";"33,33";"33,33";"9"
"TUW-138447-ref20";"60,00";"50,00";"50,00";"6"
"TUW-138544-ref1";"100,00";"60,00";"60,00";"10"
"TUW-138544-ref2";"100,00";"55,56";"55,56";"9"
"TUW-138544-ref3";"66,67";"44,44";"44,44";"9"
"TUW-138544-ref4";"100,00";"60,00";"60,00";"10"
"TUW-138547-ref1";"83,33";"55,56";"55,56";"9"
"TUW-138547-ref2";"83,33";"45,45";"45,45";"11"
"TUW-138547-ref4";"57,14";"40,00";"40,00";"10"
"TUW-138547-ref5";"50,00";"30,00";"30,00";"10"
"TUW-138547-ref6";"57,14";"40,00";"40,00";"10"
"TUW-139299-ref1";"100,00";"66,67";"66,67";"6"
"TUW-139299-ref2";"80,00";"66,67";"57,14";"6"
"TUW-139299-ref3";"75,00";"30,00";"27,27";"10"
"TUW-139299-ref4";"83,33";"50,00";"45,45";"10"
"TUW-139299-ref5";"83,33";"71,43";"71,43";"7"
"TUW-139299-ref6";"100,00";"60,00";"60,00";"10"
"TUW-139299-ref7";"80,00";"50,00";"50,00";"8"
"TUW-139299-ref8";"66,67";"50,00";"50,00";"8"
"TUW-139299-ref9";"100,00";"50,00";"50,00";"10"
"TUW-139299-ref10";"100,00";"40,00";"40,00";"10"
"TUW-139761-ref1";"100,00";"50,00";"50,00";"8"
"TUW-139761-ref2";"100,00";"55,56";"55,56";"9"
"TUW-139761-ref3";"50,00";"42,86";"37,50";"7"
