"EvaluationType";"Precision";"Recall";"F1"
"Title";"91,92";"91,00";"91,00";"100"
"Publicationtype";"not defined";"0,00";"0,00";"100"
"Abstract";"83,10";"64,13";"64,13";"92"
"Keywords";"not defined";"0,00";"0,00";"31"
"Authors";"not defined";"0,00";"0,00";"100"
"Emails";"not defined";"0,00";"0,00";"46"
"Author-Emails";"not defined";"0,00";"0,00";"46"
"Affiliations";"not defined";"0,00";"0,00";"96"
"Author-Affiliations";"not defined";"0,00";"0,00";"96"
"Source";"not defined";"0,00";"0,00";"19"
"Volume";"not defined";"0,00";"0,00";"3"
"Issue";"not defined";"0,00";"0,00";"1"
"Page from";"not defined";"0,00";"0,00";"4"
"Page to";"not defined";"0,00";"0,00";"4"
"Date";"not defined";"0,00";"0,00";"32"
"Doi";"not defined";"0,00";"0,00";"2"
"Sections";"76,96";"56,07";"59,45";"98"
"Section-Levels";"not defined";"0,00";"0,00";"89"
"Section-References";"0,00";"0,00";"0,00";"97"
"References";"91,54";"63,14";"63,93";"99"
"Average";"68,70";"13,72";"13,93"
