"EvaluationType";"Precision";"Recall";"F1"
"Id";"0,00";"0,00";"0,00";"1003"
"Marker";"not defined";"0,00";"0,00";"1003"
"Title";"not defined";"0,00";"0,00";"939"
"Source";"not defined";"0,00";"0,00";"885"
"Publisher";"not defined";"0,00";"0,00";"372"
"Editor";"not defined";"0,00";"0,00";"57"
"Authors";"not defined";"0,00";"0,00";"971"
"Edition";"not defined";"0,00";"0,00";"17"
"Volume";"not defined";"0,00";"0,00";"423"
"Issue";"not defined";"0,00";"0,00";"219"
"Chapter";"not defined";"0,00";"0,00";"5"
"Note";"not defined";"0,00";"0,00";"97"
"Page from";"not defined";"0,00";"0,00";"615"
"Page to";"not defined";"0,00";"0,00";"599"
"Location";"not defined";"0,00";"0,00";"170"
"Date";"not defined";"0,00";"0,00";"931"
"Doi";"not defined";"0,00";"0,00";"1"
"Url";"not defined";"0,00";"0,00";"9"
"Average";"0,00";"0,00";"0,00"
