"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"31,67";"32,41";"12"
"TUW-138011";"80,00";"33,33";"33,33";"12"
"TUW-138447";"36,24";"10,30";"10,55";"11"
"TUW-138544";"66,43";"25,00";"25,97";"12"
"TUW-138547";"77,14";"27,98";"29,37";"12"
"TUW-139299";"76,36";"38,72";"40,20";"9"
"TUW-139761";"60,13";"21,16";"21,88";"10"
"TUW-139769";"57,26";"21,34";"21,92";"10"
"TUW-139781";"75,00";"27,27";"27,27";"11"
"TUW-139785";"85,71";"13,57";"14,76";"10"
"TUW-140047";"83,75";"29,53";"30,80";"10"
"TUW-140048";"80,00";"28,89";"30,30";"12"
"TUW-140229";"95,00";"28,89";"30,00";"12"
"TUW-140253";"77,14";"28,35";"28,94";"13"
"TUW-140308";"80,00";"20,07";"21,80";"16"
"TUW-140533";"64,18";"16,58";"17,10";"11"
"TUW-140867";"80,00";"28,57";"29,49";"13"
"TUW-140895";"36,36";"3,83";"4,85";"11"
"TUW-140983";"68,75";"17,86";"18,62";"14"
"TUW-141024";"80,00";"37,50";"38,57";"10"
"TUW-141065";"75,71";"27,38";"28,77";"12"
"TUW-141121";"80,00";"29,76";"31,06";"12"
"TUW-141140";"70,48";"40,00";"36,87";"10"
"TUW-141336";"76,67";"20,10";"20,91";"17"
"TUW-141618";"78,42";"39,46";"39,33";"10"
"TUW-141758";"60,49";"12,37";"13,64";"11"
"TUW-168222";"50,00";"8,33";"8,33";"12"
"TUW-168482";"64,86";"11,22";"11,47";"11"
"TUW-169511";"75,00";"25,45";"26,26";"11"
"TUW-172697";"77,78";"20,83";"20,00";"12"
"TUW-174216";"75,00";"19,12";"20,10";"17"
"TUW-175428";"0,00";"0,00";"0,00";"11"
"TUW-176087";"73,33";"20,64";"21,47";"13"
"TUW-177140";"76,00";"31,67";"31,67";"12"
"TUW-179146";"80,00";"33,77";"34,85";"11"
"TUW-180162";"71,12";"28,28";"28,86";"12"
"TUW-181199";"80,00";"30,03";"31,40";"12"
"TUW-182414";"100,00";"8,33";"8,33";"12"
"TUW-182899";"78,42";"24,48";"25,65";"13"
"TUW-185321";"100,00";"22,22";"22,22";"9"
"TUW-185441";"100,00";"20,00";"20,00";"10"
"TUW-186227";"66,67";"20,00";"20,00";"10"
"TUW-189842";"66,67";"21,43";"20,00";"14"
"TUW-191715";"58,33";"11,69";"12,85";"11"
"TUW-191977";"80,00";"31,94";"32,58";"12"
"TUW-192724";"80,00";"30,77";"30,77";"13"
"TUW-194085";"69,05";"10,32";"10,91";"11"
"TUW-194561";"80,00";"26,67";"26,67";"15"
"TUW-194660";"66,67";"20,00";"20,00";"10"
"TUW-197422";"71,15";"23,72";"23,72";"12"
"TUW-197852";"40,63";"11,61";"11,61";"14"
"TUW-198400";"75,00";"26,19";"27,99";"12"
"TUW-198401";"95,00";"28,21";"28,67";"13"
"TUW-198405";"100,00";"29,17";"30,56";"12"
"TUW-198408";"100,00";"16,67";"16,67";"12"
"TUW-200745";"50,00";"9,09";"9,09";"11"
"TUW-200748";"67,86";"20,80";"21,92";"11"
"TUW-200948";"77,65";"30,96";"31,60";"12"
"TUW-200950";"75,00";"19,44";"20,83";"12"
"TUW-200959";"59,26";"22,39";"23,91";"11"
"TUW-201066";"75,00";"33,33";"33,33";"9"
"TUW-201160";"75,00";"33,33";"33,33";"9"
"TUW-201167";"75,00";"33,33";"33,33";"9"
"TUW-201821";"76,67";"30,77";"30,07";"13"
"TUW-202034";"69,99";"22,55";"23,69";"11"
"TUW-202824";"33,33";"11,11";"10,00";"9"
"TUW-203409";"100,00";"33,33";"33,33";"9"
"TUW-203924";"100,00";"28,10";"31,00";"11"
"TUW-204724";"60,42";"23,08";"19,91";"13"
"TUW-205557";"100,00";"14,29";"14,29";"7"
"TUW-205933";"77,14";"41,67";"42,00";"9"
"TUW-213513";"100,00";"22,73";"24,24";"11"
"TUW-216744";"60,00";"23,08";"23,08";"13"
"TUW-217690";"50,00";"9,09";"9,09";"11"
"TUW-217971";"100,00";"10,00";"10,00";"10"
"TUW-221215";"92,50";"14,61";"15,53";"11"
"TUW-223906";"80,00";"26,79";"27,55";"14"
"TUW-223973";"79,09";"31,53";"33,16";"11"
"TUW-225252";"100,00";"33,33";"33,33";"9"
"TUW-226000";"77,33";"35,71";"35,42";"11"
"TUW-226016";"58,86";"20,72";"21,03";"11"
"TUW-228620";"51,59";"17,38";"17,82";"14"
"TUW-231707";"33,33";"10,00";"10,00";"10"
"TUW-233317";"50,00";"7,69";"7,69";"13"
"TUW-233657";"66,67";"15,38";"15,38";"13"
"TUW-236063";"66,67";"20,00";"20,00";"10"
"TUW-236120";"70,77";"25,91";"26,44";"13"
"TUW-237297";"56,81";"41,98";"34,87";"9"
"TUW-240858";"78,33";"26,50";"28,17";"12"
"TUW-245336";"78,26";"48,91";"48,91";"8"
"TUW-245799";"80,00";"23,27";"24,96";"14"
"TUW-247301";"75,00";"27,27";"27,27";"11"
"TUW-247741";"79,00";"26,89";"28,12";"13"
"TUW-247743";"not defined";"0,00";"0,00";"11"
"TUW-251544";"50,00";"7,69";"7,69";"13"
"TUW-252847";"97,22";"27,78";"27,78";"14"
"TUW-255712";"84,50";"43,11";"39,41";"9"
"TUW-256654";"75,00";"21,88";"23,08";"12"
"TUW-257397";"83,33";"20,83";"20,83";"12"
"TUW-257870";"76,67";"23,81";"24,35";"14"
"Average";"73,49";"23,44";"23,79"
