"EvaluationType";"Precision";"Recall";"F1"
"Title";"87,63";"85,00";"85,00"
"Abstract";"67,78";"66,30";"66,30"
"Abstract (german)";"NAN";"0,00";"0,00"
"Keywords";"82,73";"63,94";"61,94"
"Authors";"83,98";"88,15";"83,47"
"Emails";"90,32";"61,96";"63,69"
"Author-Emails";"85,59";"58,33";"60,07"
"Affiliations";"88,30";"80,08";"79,72"
"Author-Affiliations";"65,59";"67,93";"62,48"
"Source";"66,67";"21,05";"20,00"
"Volume";"100,00";"100,00";"100,00"
"Issue";"100,00";"100,00";"100,00"
"Page from";"100,00";"50,00";"50,00"
"Page to";"100,00";"50,00";"50,00"
"Year";"90,91";"31,25";"30,30"
"Doi";"100,00";"100,00";"100,00"
"Sections";"73,02";"79,78";"74,06"
"Section-Levels";"91,70";"75,07";"79,27"
"Section-References";"53,73";"12,43";"12,84"
"References";"89,73";"35,43";"35,00"
"Average";"85,14";"61,34";"60,71"
