"EvaluationType";"Precision";"Recall";"F1"
"Id";"64,71";"64,71";"64,71"
"Marker";"NAN";"0,00";"0,00"
"Title";"95,09";"67,29";"67,10"
"Source";"67,44";"76,11";"66,98"
"Publisher";"84,95";"60,54";"57,25"
"Editor";"NAN";"0,00";"0,00"
"Authors";"72,71";"71,71";"70,71"
"Edition";"90,00";"81,82";"75,00"
"Location";"77,42";"35,82";"34,53"
"Volume";"90,21";"94,20";"86,55"
"Issue";"92,17";"72,86";"70,83"
"Chapter";"NAN";"0,00";"0,00"
"Note";"9,68";"14,29";"6,57"
"Page from";"96,69";"89,11";"87,77"
"Page to";"94,56";"89,89";"88,50"
"Date";"94,63";"96,76";"93,34"
"Doi";"NAN";"0,00";"0,00"
"Url";"71,43";"26,32";"23,81"
"Average";"78,69";"52,30";"49,65"
