"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"90,91";"93,94"
"TUW-138011";"73,33";"56,36";"57,98"
"TUW-138447";"95,07";"76,03";"75,83"
"TUW-138544";"98,98";"62,34";"62,65"
"TUW-138547";"99,15";"79,82";"80,44"
"TUW-139299";"88,54";"89,49";"88,99"
"TUW-139761";"65,44";"66,18";"53,19"
"TUW-139769";"61,99";"53,81";"54,67"
"TUW-139781";"92,36";"74,64";"74,14"
"TUW-139785";"59,89";"54,42";"54,00"
"TUW-140047";"94,62";"73,12";"73,32"
"TUW-140048";"94,78";"77,45";"79,93"
"TUW-140229";"78,97";"54,55";"57,09"
"TUW-140253";"84,97";"79,52";"81,47"
"TUW-140308";"99,15";"58,97";"59,22"
"TUW-140533";"60,34";"39,17";"41,06"
"TUW-140867";"95,24";"55,06";"55,06"
"TUW-140895";"39,12";"32,77";"32,23"
"TUW-140983";"78,84";"52,56";"52,84"
"TUW-141024";"100,00";"95,00";"97,28"
"TUW-141065";"91,67";"74,24";"74,60"
"TUW-141121";"100,00";"81,82";"81,82"
"TUW-141140";"94,04";"92,89";"92,69"
"TUW-141336";"84,07";"61,36";"64,29"
"TUW-141618";"78,10";"81,67";"77,64"
"TUW-141758";"85,80";"77,11";"77,20"
"TUW-168222";"80,00";"59,09";"58,59"
"TUW-168482";"34,02";"32,21";"27,56"
"TUW-169511";"92,71";"59,17";"64,64"
"TUW-172697";"48,96";"43,18";"33,63"
"TUW-174216";"95,63";"82,64";"82,88"
"TUW-175428";"80,91";"58,66";"58,68"
"TUW-176087";"94,58";"75,14";"76,24"
"TUW-177140";"81,67";"65,45";"66,06"
"TUW-179146";"87,50";"55,95";"57,69"
"TUW-180162";"81,77";"40,64";"45,50"
"TUW-181199";"86,67";"75,76";"71,46"
"TUW-182414";"78,89";"66,45";"67,23"
"TUW-182899";"74,33";"53,99";"60,95"
"TUW-185321";"57,78";"50,00";"46,11"
"TUW-185441";"73,81";"49,21";"49,21"
"TUW-186227";"72,22";"47,62";"47,86"
"TUW-189842";"46,04";"33,17";"28,82"
"TUW-191715";"95,83";"74,19";"75,17"
"TUW-191977";"83,89";"70,45";"69,44"
"TUW-192724";"94,33";"72,22";"73,55"
"TUW-194085";"47,16";"59,33";"46,62"
"TUW-194561";"87,14";"61,58";"61,82"
"TUW-194660";"75,00";"57,78";"58,02"
"TUW-197422";"89,57";"74,97";"77,68"
"TUW-197852";"77,08";"67,31";"61,35"
"TUW-198400";"92,41";"70,94";"72,48"
"TUW-198401";"96,67";"77,78";"78,89"
"TUW-198405";"100,00";"56,06";"58,95"
"TUW-198408";"84,57";"78,88";"77,67"
"TUW-200745";"48,01";"45,01";"39,54"
"TUW-200748";"65,64";"66,04";"60,35"
"TUW-200948";"95,56";"78,18";"78,18"
"TUW-200950";"86,00";"71,21";"67,84"
"TUW-200959";"89,68";"83,71";"81,91"
"TUW-201066";"75,00";"56,25";"54,76"
"TUW-201160";"75,00";"57,50";"55,56"
"TUW-201167";"70,83";"66,67";"54,67"
"TUW-201821";"96,00";"80,00";"80,00"
"TUW-202034";"42,49";"39,37";"34,78"
"TUW-202824";"91,67";"91,67";"91,67"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"98,21";"80,00";"79,23"
"TUW-204724";"79,80";"58,33";"57,78"
"TUW-205557";"41,67";"50,00";"33,33"
"TUW-205933";"66,67";"51,04";"49,78"
"TUW-213513";"83,33";"73,33";"68,00"
"TUW-216744";"55,21";"36,81";"36,81"
"TUW-217690";"88,10";"53,33";"52,00"
"TUW-217971";"64,60";"64,20";"54,42"
"TUW-221215";"59,18";"58,25";"51,57"
"TUW-223906";"86,27";"53,85";"55,96"
"TUW-223973";"92,69";"75,78";"74,68"
"TUW-225252";"75,00";"45,83";"45,83"
"TUW-226000";"81,85";"67,50";"66,19"
"TUW-226016";"48,93";"49,20";"36,42"
"TUW-228620";"79,76";"39,42";"40,93"
"TUW-231707";"100,00";"87,04";"87,92"
"TUW-233317";"81,33";"66,11";"66,85"
"TUW-233657";"92,36";"45,14";"45,63"
"TUW-236063";"77,78";"50,00";"49,63"
"TUW-236120";"94,92";"70,83";"70,92"
"TUW-237297";"60,71";"42,71";"39,38"
"TUW-240858";"98,15";"80,30";"80,30"
"TUW-245336";"90,00";"57,14";"59,52"
"TUW-245799";"86,35";"48,46";"47,12"
"TUW-247301";"89,58";"73,33";"71,81"
"TUW-247741";"88,54";"51,41";"54,29"
"TUW-247743";"67,04";"55,02";"46,83"
"TUW-251544";"96,10";"51,89";"53,68"
"TUW-252847";"72,49";"47,80";"48,64"
"TUW-255712";"66,67";"57,14";"50,00"
"TUW-256654";"55,10";"31,82";"33,25"
"TUW-257397";"100,00";"44,05";"44,72"
"TUW-257870";"67,14";"53,85";"48,81"
"Average";"80,07";"62,68";"61,50"
