"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"70,83";"66,67";"58,00"
"TUW-137078-ref2";"100,00";"80,00";"80,00"
"TUW-137078-ref3";"83,33";"71,43";"71,43"
"TUW-137078-ref4";"100,00";"88,89";"88,89"
"TUW-137078-ref5";"100,00";"85,71";"85,71"
"TUW-137078-ref6";"70,00";"57,14";"52,38"
"TUW-138447-ref1";"50,00";"60,00";"37,50"
"TUW-138447-ref2";"100,00";"77,78";"77,78"
"TUW-138447-ref3";"80,00";"57,14";"57,14"
"TUW-138447-ref4";"100,00";"83,33";"83,33"
"TUW-138447-ref5";"85,71";"60,00";"60,00"
"TUW-138447-ref6";"100,00";"80,00";"80,00"
"TUW-138447-ref7";"80,00";"66,67";"57,14"
"TUW-138447-ref8";"60,00";"50,00";"42,86"
"TUW-138447-ref9";"100,00";"90,00";"90,00"
"TUW-138447-ref10";"100,00";"88,89";"88,89"
"TUW-138447-ref11";"100,00";"88,89";"88,89"
"TUW-138447-ref12";"75,00";"60,00";"50,00"
"TUW-138447-ref13";"50,00";"40,00";"28,57"
"TUW-138447-ref14";"100,00";"90,00";"90,00"
"TUW-138447-ref15";"75,00";"42,86";"37,50"
"TUW-138447-ref16";"100,00";"88,89";"88,89"
"TUW-138447-ref17";"60,00";"50,00";"37,50"
"TUW-138447-ref18";"60,00";"42,86";"37,50"
"TUW-138447-ref19";"100,00";"88,89";"88,89"
"TUW-139299-ref1";"40,00";"33,33";"28,57"
"TUW-139299-ref3";"68,75";"60,00";"51,52"
"TUW-139299-ref4";"60,00";"60,00";"50,00"
"TUW-139299-ref5";"100,00";"57,14";"57,14"
"TUW-139299-ref6";"85,71";"60,00";"60,00"
"TUW-139299-ref7";"71,43";"62,50";"62,50"
"TUW-139299-ref8";"33,33";"25,00";"22,22"
"TUW-139299-ref9";"66,67";"60,00";"54,55"
"TUW-139299-ref10";"44,44";"40,00";"36,36"
"TUW-139299-ref11";"33,33";"16,67";"14,29"
"TUW-139761-ref1";"100,00";"87,50";"87,50"
"TUW-139761-ref2";"100,00";"88,89";"88,89"
"TUW-139761-ref3";"100,00";"85,71";"85,71"
"TUW-139761-ref4";"100,00";"85,71";"85,71"
"TUW-139761-ref5";"75,00";"85,71";"66,67"
"TUW-139761-ref6";"100,00";"88,89";"88,89"
"TUW-139761-ref7";"66,67";"50,00";"44,44"
"TUW-139761-ref8";"42,86";"42,86";"30,00"
"TUW-139761-ref9";"100,00";"88,89";"88,89"
"TUW-139761-ref10";"100,00";"90,00";"90,00"
"TUW-139761-ref11";"100,00";"66,67";"66,67"
"TUW-139761-ref12";"60,00";"42,86";"37,50"
"TUW-139761-ref13";"66,67";"43,75";"40,74"
"TUW-139761-ref14";"88,89";"80,00";"80,00"
"TUW-139761-ref15";"100,00";"90,00";"90,00"
"TUW-139761-ref16";"75,00";"50,00";"50,00"
"TUW-139761-ref17";"100,00";"83,33";"83,33"
"TUW-139761-ref18";"100,00";"87,50";"87,50"
"TUW-139761-ref19";"100,00";"75,00";"77,78"
"TUW-139761-ref20";"93,33";"82,14";"80,95"
"TUW-139761-ref21";"100,00";"90,00";"90,00"
"TUW-139761-ref22";"100,00";"85,71";"85,71"
"TUW-139761-ref23";"85,71";"85,71";"75,00"
"TUW-139761-ref24";"83,33";"71,43";"62,50"
"TUW-139761-ref25";"85,71";"75,00";"75,00"
"TUW-139761-ref26";"100,00";"70,00";"70,00"
"TUW-139761-ref27";"66,67";"40,00";"40,00"
"TUW-139761-ref28";"75,00";"66,67";"60,00"
"TUW-139761-ref29";"100,00";"85,71";"85,71"
"TUW-139761-ref30";"50,00";"28,57";"28,57"
"TUW-139761-ref31";"85,71";"85,71";"75,00"
"TUW-139761-ref32";"100,00";"87,50";"87,50"
"TUW-139761-ref33";"60,00";"37,50";"33,33"
"TUW-139761-ref34";"100,00";"75,00";"75,00"
"TUW-139769-ref1";"100,00";"88,89";"88,89"
"TUW-139769-ref2";"66,67";"40,00";"33,33"
"TUW-139769-ref3";"100,00";"90,00";"90,00"
"TUW-139769-ref4";"100,00";"88,89";"88,89"
"TUW-139769-ref5";"100,00";"80,00";"80,00"
"TUW-139769-ref6";"100,00";"90,00";"90,00"
"TUW-139769-ref7";"87,50";"77,78";"77,78"
"TUW-139769-ref8";"100,00";"83,33";"83,33"
"TUW-139769-ref9";"100,00";"87,50";"87,50"
"TUW-139769-ref10";"100,00";"88,89";"88,89"
"TUW-139769-ref11";"60,00";"50,00";"42,86"
"TUW-139769-ref12";"100,00";"83,33";"83,33"
"TUW-139769-ref13";"80,00";"44,44";"44,44"
"TUW-139769-ref14";"50,00";"40,00";"27,78"
"TUW-139769-ref15";"87,50";"77,78";"70,00"
"TUW-139769-ref16";"100,00";"87,50";"87,50"
"TUW-139769-ref17";"100,00";"83,33";"83,33"
"TUW-139769-ref18";"100,00";"87,50";"87,50"
"TUW-139769-ref19";"100,00";"90,00";"90,00"
"TUW-139769-ref20";"100,00";"88,89";"88,89"
"TUW-139769-ref21";"80,00";"66,67";"57,14"
"TUW-139769-ref22";"100,00";"88,89";"88,89"
"TUW-139769-ref23";"100,00";"88,89";"88,89"
"TUW-139769-ref24";"88,89";"88,89";"80,00"
"TUW-139769-ref25";"100,00";"88,89";"88,89"
"TUW-139769-ref26";"100,00";"90,00";"90,00"
"TUW-139769-ref27";"100,00";"90,00";"90,00"
"TUW-139769-ref28";"100,00";"88,89";"88,89"
"TUW-139769-ref29";"100,00";"90,00";"90,00"
"TUW-139769-ref30";"100,00";"70,00";"70,00"
"TUW-139769-ref31";"100,00";"90,00";"90,00"
"TUW-139769-ref32";"60,00";"42,86";"37,50"
"TUW-139769-ref33";"85,71";"75,00";"75,00"
"TUW-139769-ref34";"85,71";"75,00";"75,00"
"TUW-139769-ref35";"80,00";"66,67";"66,67"
"TUW-139769-ref36";"75,00";"50,00";"42,86"
"TUW-139769-ref37";"100,00";"88,89";"88,89"
"TUW-139769-ref38";"100,00";"88,89";"88,89"
"TUW-139769-ref39";"71,43";"62,50";"55,56"
"TUW-139769-ref40";"100,00";"88,89";"88,89"
"TUW-139769-ref41";"100,00";"83,33";"83,33"
"TUW-139769-ref42";"80,00";"66,67";"57,14"
"TUW-139781-ref1";"100,00";"88,89";"88,89"
"TUW-139781-ref2";"85,71";"66,67";"66,67"
"TUW-139781-ref3";"100,00";"90,00";"90,00"
"TUW-139781-ref4";"80,00";"66,67";"57,14"
"TUW-139781-ref5";"100,00";"88,89";"88,89"
"TUW-139781-ref6";"100,00";"87,50";"87,50"
"TUW-139781-ref7";"100,00";"87,50";"87,50"
"TUW-139781-ref8";"100,00";"88,89";"88,89"
"TUW-139785-ref1";"100,00";"80,00";"80,00"
"TUW-139785-ref2";"100,00";"90,00";"90,00"
"TUW-139785-ref3";"100,00";"80,00";"80,00"
"TUW-139785-ref4";"91,67";"75,00";"74,00"
"TUW-139785-ref5";"100,00";"88,89";"88,89"
"TUW-139785-ref6";"80,00";"66,67";"66,67"
"TUW-139785-ref7";"84,38";"70,00";"68,57"
"TUW-139785-ref8";"93,75";"80,00";"76,67"
"TUW-139785-ref9";"72,22";"75,00";"62,86"
"TUW-139785-ref10";"100,00";"87,50";"87,50"
"TUW-139785-ref11";"100,00";"66,67";"66,67"
"TUW-139785-ref12";"94,44";"85,00";"85,00"
"TUW-139785-ref13";"75,00";"60,00";"50,00"
"TUW-139785-ref14";"55,56";"50,00";"42,50"
"TUW-139785-ref15";"100,00";"88,89";"88,89"
"TUW-139785-ref16";"100,00";"90,00";"90,00"
"TUW-139785-ref17";"85,71";"60,00";"60,00"
"TUW-139785-ref18";"100,00";"80,00";"80,00"
"TUW-139785-ref19";"71,43";"55,56";"55,56"
"TUW-139785-ref20";"59,26";"61,11";"54,00"
"TUW-139785-ref21";"70,00";"58,33";"50,00"
"TUW-139785-ref22";"100,00";"80,00";"80,00"
"TUW-139785-ref23";"100,00";"90,00";"90,00"
"TUW-139785-ref24";"100,00";"88,89";"88,89"
"TUW-139785-ref25";"100,00";"88,89";"88,89"
"TUW-139785-ref26";"94,44";"78,79";"77,92"
"TUW-139785-ref27";"75,00";"60,00";"50,00"
"TUW-139785-ref28";"100,00";"80,00";"80,00"
"TUW-139785-ref29";"70,00";"58,33";"50,00"
"TUW-139785-ref30";"70,37";"58,33";"50,00"
"TUW-139785-ref31";"100,00";"90,00";"90,00"
"TUW-139785-ref32";"94,44";"86,67";"85,71"
"TUW-139785-ref33";"46,67";"27,78";"26,67"
"TUW-139785-ref34";"100,00";"80,00";"80,00"
"TUW-139785-ref35";"75,00";"50,00";"50,00"
"TUW-139785-ref36";"75,00";"60,00";"50,00"
"TUW-139785-ref37";"60,00";"50,00";"42,86"
"TUW-139785-ref38";"60,00";"42,86";"37,50"
"TUW-139785-ref39";"92,59";"85,00";"84,00"
"TUW-139785-ref40";"60,00";"30,00";"30,00"
"TUW-139785-ref41";"75,00";"66,67";"66,67"
"TUW-139785-ref42";"66,67";"50,00";"44,44"
"TUW-139785-ref43";"100,00";"80,00";"80,00"
"TUW-139785-ref45";"65,00";"54,17";"46,43"
"TUW-140048-ref1";"40,00";"33,33";"25,00"
"TUW-140048-ref2";"100,00";"81,82";"81,82"
"TUW-140048-ref3";"71,43";"55,56";"50,00"
"TUW-140048-ref4";"100,00";"81,82";"81,82"
"TUW-140048-ref5";"75,00";"50,00";"50,00"
"TUW-140048-ref6";"50,00";"33,33";"28,57"
"TUW-140048-ref7";"40,00";"33,33";"22,22"
"TUW-140048-ref8";"50,00";"33,33";"25,00"
"TUW-140048-ref9";"50,00";"33,33";"25,00"
"TUW-140048-ref10";"40,00";"33,33";"25,00"
"TUW-140048-ref11";"50,00";"28,57";"25,00"
"TUW-140048-ref12";"50,00";"33,33";"28,57"
"TUW-140048-ref13";"50,00";"33,33";"28,57"
"TUW-140253-ref6";"33,33";"10,00";"10,00"
"TUW-140253-ref32";"33,33";"11,11";"11,11"
"TUW-140253-ref33";"33,33";"10,00";"10,00"
"TUW-140253-ref35";"83,33";"71,43";"71,43"
"TUW-140533-ref2";"75,00";"42,86";"42,86"
"TUW-140533-ref3";"100,00";"83,33";"83,33"
"TUW-140533-ref4";"100,00";"88,89";"88,89"
"TUW-140533-ref5";"100,00";"75,00";"75,00"
"TUW-140533-ref6";"75,00";"50,00";"42,86"
"TUW-140533-ref7";"100,00";"88,89";"88,89"
"TUW-140533-ref8";"50,00";"40,00";"40,00"
"TUW-140533-ref9";"80,00";"66,67";"57,14"
"TUW-140533-ref10";"100,00";"83,33";"83,33"
"TUW-140533-ref11";"80,00";"66,67";"57,14"
"TUW-140533-ref12";"100,00";"66,67";"66,67"
"TUW-140533-ref13";"100,00";"83,33";"83,33"
"TUW-140533-ref14";"57,14";"57,14";"44,44"
"TUW-140533-ref15";"75,00";"60,00";"60,00"
"TUW-140533-ref16";"100,00";"71,43";"71,43"
"TUW-140533-ref17";"100,00";"83,33";"83,33"
"TUW-140533-ref18";"80,00";"57,14";"57,14"
"TUW-140533-ref19";"100,00";"83,33";"83,33"
"TUW-140533-ref20";"100,00";"70,83";"72,22"
"TUW-140533-ref21";"90,00";"75,00";"69,23"
"TUW-140533-ref22";"90,00";"75,00";"69,23"
"TUW-140533-ref23";"100,00";"75,00";"75,00"
"TUW-140533-ref24";"100,00";"80,00";"80,00"
