"EvaluationType";"Precision";"Recall";"F1"
"Title";"66,07";"37,00";"37,00"
"Abstract";"66,28";"61,96";"61,96"
"Abstract (german)";"NAN";"0,00";"0,00"
"Keywords";"17,10";"30,23";"14,53"
"Authors";"68,06";"12,67";"11,98"
"Emails";"66,67";"3,26";"3,62"
"Author-Emails";"66,67";"3,26";"3,62"
"Affiliations";"58,33";"18,06";"17,94"
"Author-Affiliations";"10,00";"3,65";"3,65"
"Source";"NAN";"0,00";"0,00"
"Volume";"NAN";"0,00";"0,00"
"Issue";"NAN";"0,00";"0,00"
"Page from";"NAN";"0,00";"0,00"
"Page to";"NAN";"0,00";"0,00"
"Year";"75,00";"9,38";"9,38"
"Doi";"100,00";"100,00";"100,00"
"Sections";"83,32";"87,24";"83,60"
"Section-Levels";"95,33";"84,04";"86,88"
"Section-References";"63,03";"48,11";"49,02"
"References";"92,24";"91,57";"89,11"
"Average";"66,29";"29,52";"28,61"
