"File";"Precision";"Recall";"F1"
"TUW-137078";"90,91";"81,82";"84,85"
"TUW-138011";"83,33";"38,79";"38,15"
"TUW-138447";"73,13";"46,58";"44,32"
"TUW-138544";"67,79";"45,19";"47,09"
"TUW-138547";"89,61";"88,26";"88,91"
"TUW-139299";"83,33";"82,20";"82,65"
"TUW-139761";"42,21";"35,25";"29,79"
"TUW-139769";"95,56";"44,18";"45,82"
"TUW-139781";"77,50";"40,00";"35,76"
"TUW-139785";"51,71";"28,04";"26,75"
"TUW-140047";"59,42";"39,79";"39,54"
"TUW-140048";"90,40";"42,94";"41,57"
"TUW-140229";"65,82";"42,42";"38,17"
"TUW-140253";"82,03";"58,04";"55,11"
"TUW-140308";"83,33";"33,33";"33,33"
"TUW-140533";"71,39";"22,81";"24,09"
"TUW-140867";"52,00";"25,00";"23,09"
"TUW-140895";"49,03";"32,38";"31,75"
"TUW-140983";"61,11";"43,59";"42,05"
"TUW-141024";"85,71";"66,67";"60,00"
"TUW-141065";"81,63";"51,14";"47,22"
"TUW-141121";"72,62";"40,91";"40,21"
"TUW-141140";"77,91";"65,28";"56,08"
"TUW-141336";"61,32";"23,96";"22,06"
"TUW-141618";"59,68";"50,00";"38,50"
"TUW-141758";"49,82";"24,72";"23,57"
"TUW-168222";"16,67";"4,55";"4,17"
"TUW-168482";"39,10";"25,26";"20,77"
"TUW-169511";"80,00";"40,00";"36,36"
"TUW-172697";"70,71";"54,55";"47,19"
"TUW-174216";"53,54";"24,43";"24,73"
"TUW-175428";"50,22";"22,90";"22,66"
"TUW-176087";"77,78";"46,67";"49,32"
"TUW-177140";"77,14";"49,09";"45,00"
"TUW-179146";"83,93";"60,48";"62,90"
"TUW-180162";"96,67";"44,32";"44,02"
"TUW-181199";"85,71";"49,24";"47,29"
"TUW-182414";"70,63";"45,11";"45,66"
"TUW-182899";"70,29";"49,56";"47,92"
"TUW-185321";"46,67";"37,50";"36,11"
"TUW-185441";"75,00";"29,76";"31,05"
"TUW-186227";"58,57";"32,54";"32,54"
"TUW-189842";"42,50";"23,08";"21,12"
"TUW-191715";"70,70";"51,57";"50,46"
"TUW-191977";"85,71";"54,55";"50,00"
"TUW-192724";"65,82";"41,67";"39,84"
"TUW-194085";"40,92";"23,76";"22,94"
"TUW-194561";"77,38";"41,43";"39,89"
"TUW-194660";"27,78";"24,44";"22,40"
"TUW-197422";"66,67";"32,80";"31,57"
"TUW-197852";"60,00";"23,08";"23,08"
"TUW-198400";"93,06";"49,68";"50,09"
"TUW-198401";"88,10";"38,89";"40,61"
"TUW-198405";"100,00";"51,52";"52,89"
"TUW-198408";"90,18";"33,43";"33,08"
"TUW-200745";"40,38";"34,03";"34,30"
"TUW-200748";"62,41";"58,72";"56,87"
"TUW-200948";"83,33";"45,45";"41,67"
"TUW-200950";"61,67";"34,34";"31,14"
"TUW-200959";"49,64";"35,71";"32,22"
"TUW-201066";"66,67";"50,00";"50,00"
"TUW-201160";"57,14";"50,00";"50,00"
"TUW-201167";"71,43";"47,92";"53,33"
"TUW-201821";"72,92";"50,00";"49,24"
"TUW-202034";"45,58";"39,78";"37,10"
"TUW-202824";"25,00";"12,50";"12,50"
"TUW-203409";"68,75";"34,38";"34,38"
"TUW-203924";"82,97";"56,64";"50,64"
"TUW-204724";"40,00";"16,67";"14,93"
"TUW-205557";"75,00";"33,33";"27,78"
"TUW-205933";"63,33";"41,67";"43,38"
"TUW-213513";"83,33";"50,00";"50,00"
"TUW-216744";"70,71";"56,67";"54,17"
"TUW-217690";"75,00";"36,67";"39,00"
"TUW-217971";"64,81";"43,83";"43,48"
"TUW-221215";"59,66";"30,69";"28,43"
"TUW-223906";"75,93";"49,22";"50,50"
"TUW-223973";"73,75";"60,00";"59,47"
"TUW-225252";"85,71";"60,42";"65,83"
"TUW-226000";"86,51";"58,33";"54,09"
"TUW-226016";"47,59";"25,13";"18,57"
"TUW-228620";"58,54";"31,22";"33,10"
"TUW-231707";"98,70";"74,07";"75,32"
"TUW-233317";"95,24";"55,56";"55,56"
"TUW-233657";"100,00";"50,00";"50,00"
"TUW-236063";"68,75";"27,78";"28,04"
"TUW-236120";"66,87";"38,75";"38,66"
"TUW-237297";"48,15";"40,28";"36,94"
"TUW-240858";"83,33";"42,42";"40,15"
"TUW-245336";"78,57";"68,43";"72,74"
"TUW-245799";"67,83";"35,77";"33,26"
"TUW-247301";"80,00";"40,00";"36,36"
"TUW-247741";"76,67";"37,73";"38,02"
"TUW-247743";"71,57";"20,09";"22,53"
"TUW-251544";"77,30";"42,17";"42,87"
"TUW-252847";"70,31";"43,59";"39,40"
"TUW-255712";"95,65";"26,29";"26,79"
"TUW-256654";"46,88";"15,91";"16,44"
"TUW-257397";"95,56";"54,55";"53,22"
"TUW-257870";"45,42";"26,92";"23,22"
"Average";"69,34";"41,83";"40,62"
