"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"90,91";"93,94"
"TUW-138011";"75,00";"60,00";"65,35"
"TUW-138447";"98,59";"76,58";"77,66"
"TUW-138544";"93,59";"72,47";"74,36"
"TUW-138547";"89,61";"88,26";"88,91"
"TUW-139299";"83,33";"82,20";"82,65"
"TUW-139761";"65,06";"65,25";"53,79"
"TUW-139769";"53,09";"44,18";"45,82"
"TUW-139781";"98,44";"80,00";"79,33"
"TUW-139785";"39,84";"38,04";"36,75"
"TUW-140047";"84,06";"84,23";"83,98"
"TUW-140048";"95,20";"79,31";"80,97"
"TUW-140229";"78,25";"65,15";"68,91"
"TUW-140253";"97,74";"95,54";"96,22"
"TUW-140308";"100,00";"73,33";"73,33"
"TUW-140533";"48,19";"31,90";"33,18"
"TUW-140867";"84,44";"66,67";"64,76"
"TUW-140895";"49,25";"41,47";"40,84"
"TUW-140983";"72,73";"60,26";"59,74"
"TUW-141024";"83,33";"83,33";"83,33"
"TUW-141065";"82,25";"81,44";"81,82"
"TUW-141121";"94,16";"95,45";"94,76"
"TUW-141140";"91,71";"82,31";"82,54"
"TUW-141336";"85,50";"73,96";"76,56"
"TUW-141618";"75,89";"80,56";"75,18"
"TUW-141758";"64,91";"61,09";"59,93"
"TUW-168222";"81,25";"59,09";"59,09"
"TUW-168482";"32,77";"34,35";"28,05"
"TUW-169511";"86,67";"76,67";"80,00"
"TUW-172697";"63,33";"61,36";"54,00"
"TUW-174216";"91,88";"86,93";"88,94"
"TUW-175428";"50,16";"31,99";"31,75"
"TUW-176087";"87,50";"66,11";"68,60"
"TUW-177140";"76,36";"71,82";"73,33"
"TUW-179146";"96,83";"85,48";"86,23"
"TUW-180162";"91,67";"65,53";"69,78"
"TUW-181199";"81,82";"85,61";"81,90"
"TUW-182414";"78,57";"63,29";"65,27"
"TUW-182899";"63,53";"49,56";"54,35"
"TUW-185321";"55,83";"62,50";"58,61"
"TUW-185441";"75,00";"63,10";"64,39"
"TUW-186227";"74,11";"65,87";"65,87"
"TUW-189842";"53,75";"33,17";"32,00"
"TUW-191715";"77,21";"71,57";"70,46"
"TUW-191977";"79,55";"78,18";"78,79"
"TUW-192724";"96,73";"86,11";"89,28"
"TUW-194085";"42,05";"51,03";"41,73"
"TUW-194561";"94,17";"70,00";"68,46"
"TUW-194660";"66,05";"68,89";"66,84"
"TUW-197422";"90,00";"78,25";"79,89"
"TUW-197852";"80,30";"76,92";"70,51"
"TUW-198400";"93,18";"87,55";"89,48"
"TUW-198401";"100,00";"93,06";"95,91"
"TUW-198405";"100,00";"60,61";"61,98"
"TUW-198408";"96,07";"87,97";"87,62"
"TUW-200745";"44,86";"43,12";"37,33"
"TUW-200748";"65,74";"67,81";"61,42"
"TUW-200948";"90,91";"90,91";"90,91"
"TUW-200950";"79,09";"71,92";"68,55"
"TUW-200959";"88,65";"85,71";"82,22"
"TUW-201066";"81,25";"87,50";"83,33"
"TUW-201160";"87,50";"93,75";"89,58"
"TUW-201167";"80,00";"85,42";"72,67"
"TUW-201821";"98,61";"100,00";"99,24"
"TUW-202034";"58,97";"57,96";"50,17"
"TUW-202824";"91,67";"91,67";"91,67"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"83,64";"81,97";"82,64"
"TUW-204724";"77,78";"62,50";"59,38"
"TUW-205557";"41,67";"50,00";"33,33"
"TUW-205933";"68,57";"54,17";"55,88"
"TUW-213513";"90,00";"100,00";"93,33"
"TUW-216744";"62,50";"62,50";"62,50"
"TUW-217690";"92,86";"56,67";"59,00"
"TUW-217971";"61,73";"77,16";"65,70"
"TUW-221215";"57,22";"57,97";"50,86"
"TUW-223906";"89,39";"64,61";"68,20"
"TUW-223973";"97,00";"98,00";"97,47"
"TUW-225252";"81,25";"72,92";"74,17"
"TUW-226000";"88,33";"87,50";"87,42"
"TUW-226016";"39,86";"52,41";"32,20"
"TUW-228620";"90,93";"58,14";"60,02"
"TUW-231707";"98,70";"74,07";"75,32"
"TUW-233317";"75,69";"75,69";"75,69"
"TUW-233657";"95,83";"63,89";"63,89"
"TUW-236063";"76,04";"60,56";"62,57"
"TUW-236120";"88,01";"80,42";"80,33"
"TUW-237297";"66,27";"62,15";"58,82"
"TUW-240858";"100,00";"96,97";"98,35"
"TUW-245336";"92,86";"82,71";"87,03"
"TUW-245799";"86,72";"51,15";"48,65"
"TUW-247301";"87,50";"90,00";"88,57"
"TUW-247741";"79,33";"61,34";"63,02"
"TUW-247743";"67,04";"56,45";"47,98"
"TUW-251544";"93,97";"56,06";"55,37"
"TUW-252847";"70,08";"56,92";"57,18"
"TUW-255712";"81,88";"69,14";"69,64"
"TUW-256654";"55,36";"34,09";"34,62"
"TUW-257397";"96,19";"63,64";"62,31"
"TUW-257870";"70,23";"65,38";"61,69"
"Average";"79,12";"70,39";"69,18"
