"EvaluationType";"Precision";"Recall";"F1"
"Id";"67,42";"67,42";"67,42"
"Marker";"NAN";"0,00";"0,00"
"Title";"94,89";"70,06";"69,86"
"Source";"69,30";"78,36";"68,98"
"Publisher";"85,64";"62,04";"59,03"
"Editor";"NAN";"0,00";"0,00"
"Authors";"81,73";"81,89";"80,49"
"Edition";"92,86";"76,47";"72,22"
"Location";"80,00";"28,90";"28,36"
"Volume";"90,28";"95,12";"87,03"
"Issue";"95,22";"77,93";"76,44"
"Chapter";"NAN";"0,00";"0,00"
"Note";"10,61";"16,28";"7,61"
"Page from";"96,67";"92,84";"91,23"
"Page to";"95,41";"94,22";"92,55"
"Date";"94,87";"96,13";"93,70"
"Doi";"NAN";"0,00";"0,00"
"Url";"74,42";"36,78";"34,78"
"Average";"80,67";"54,14";"51,65"
