"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"90,91";"93,94"
"TUW-138011";"80,00";"71,52";"75,15"
"TUW-138447";"97,25";"75,08";"76,36"
"TUW-138544";"91,74";"71,17";"72,96"
"TUW-138547";"89,61";"88,26";"88,91"
"TUW-139299";"83,33";"82,20";"82,65"
"TUW-139761";"66,57";"64,37";"54,08"
"TUW-139769";"57,80";"47,80";"49,72"
"TUW-139781";"85,94";"67,50";"67,90"
"TUW-139785";"52,66";"47,37";"47,27"
"TUW-140047";"84,06";"84,23";"83,98"
"TUW-140048";"95,20";"76,51";"79,31"
"TUW-140229";"82,79";"69,70";"73,46"
"TUW-140253";"98,45";"95,54";"96,67"
"TUW-140308";"100,00";"73,33";"73,33"
"TUW-140533";"59,94";"39,36";"41,13"
"TUW-140867";"88,02";"69,91";"67,60"
"TUW-140895";"41,84";"33,33";"33,60"
"TUW-140983";"74,24";"60,90";"60,51"
"TUW-141024";"100,00";"100,00";"100,00"
"TUW-141065";"91,34";"90,53";"90,91"
"TUW-141121";"94,16";"95,45";"94,76"
"TUW-141140";"93,73";"97,22";"94,81"
"TUW-141336";"85,50";"73,96";"76,56"
"TUW-141618";"78,67";"86,11";"79,81"
"TUW-141758";"84,91";"79,27";"78,11"
"TUW-168222";"81,25";"59,09";"59,09"
"TUW-168482";"35,54";"32,67";"28,52"
"TUW-169511";"94,17";"84,17";"87,50"
"TUW-172697";"50,56";"52,27";"43,94"
"TUW-174216";"78,23";"67,73";"69,85"
"TUW-175428";"79,18";"49,21";"49,61"
"TUW-176087";"95,83";"75,69";"77,08"
"TUW-177140";"85,45";"85,45";"85,45"
"TUW-179146";"84,23";"68,81";"71,39"
"TUW-180162";"95,00";"68,15";"72,60"
"TUW-181199";"90,91";"94,70";"90,99"
"TUW-182414";"78,57";"62,47";"64,53"
"TUW-182899";"76,03";"56,51";"63,24"
"TUW-185321";"55,83";"62,50";"58,61"
"TUW-185441";"75,00";"63,10";"64,39"
"TUW-186227";"74,11";"65,87";"65,87"
"TUW-189842";"51,67";"33,17";"31,86"
"TUW-191715";"90,06";"90,66";"90,26"
"TUW-191977";"90,91";"90,91";"90,91"
"TUW-192724";"93,39";"91,67";"90,53"
"TUW-194085";"41,29";"58,61";"40,21"
"TUW-194561";"89,83";"65,84";"64,84"
"TUW-194660";"64,81";"66,67";"65,26"
"TUW-197422";"86,90";"59,72";"61,33"
"TUW-197852";"68,33";"61,54";"55,13"
"TUW-198400";"92,85";"87,23";"89,15"
"TUW-198401";"100,00";"94,44";"96,67"
"TUW-198405";"100,00";"60,61";"61,98"
"TUW-198408";"86,07";"78,21";"78,17"
"TUW-200745";"44,91";"41,99";"36,94"
"TUW-200748";"65,74";"67,81";"61,42"
"TUW-200948";"92,73";"91,12";"91,85"
"TUW-200950";"88,18";"81,25";"77,01"
"TUW-200959";"83,71";"78,15";"76,20"
"TUW-201066";"81,25";"87,50";"83,33"
"TUW-201160";"81,25";"87,50";"83,33"
"TUW-201167";"80,00";"85,42";"72,67"
"TUW-201821";"98,61";"100,00";"99,24"
"TUW-202034";"25,03";"31,10";"22,82"
"TUW-202824";"88,54";"88,54";"88,54"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"93,75";"91,36";"92,37"
"TUW-204724";"77,78";"62,50";"59,38"
"TUW-205557";"41,67";"50,00";"33,33"
"TUW-205933";"68,57";"54,17";"55,88"
"TUW-213513";"90,00";"100,00";"93,33"
"TUW-216744";"77,78";"58,33";"58,33"
"TUW-217690";"92,86";"56,67";"59,00"
"TUW-217971";"63,58";"77,16";"67,55"
"TUW-221215";"48,98";"49,68";"43,36"
"TUW-223906";"80,30";"59,48";"62,81"
"TUW-223973";"97,00";"98,00";"97,47"
"TUW-225252";"81,25";"72,92";"74,17"
"TUW-226000";"86,67";"87,50";"86,95"
"TUW-226016";"39,08";"50,05";"31,27"
"TUW-228620";"82,59";"50,45";"53,15"
"TUW-231707";"98,70";"74,07";"75,32"
"TUW-233317";"77,78";"76,59";"77,14"
"TUW-233657";"95,83";"63,89";"63,89"
"TUW-236063";"71,88";"55,56";"57,67"
"TUW-236120";"87,24";"77,30";"78,01"
"TUW-237297";"67,86";"62,15";"59,47"
"TUW-240858";"100,00";"96,97";"98,35"
"TUW-245336";"92,86";"82,71";"87,03"
"TUW-245799";"87,85";"50,05";"48,51"
"TUW-247301";"95,00";"100,00";"97,14"
"TUW-247741";"79,33";"61,34";"63,02"
"TUW-247743";"66,97";"56,02";"47,73"
"TUW-251544";"95,04";"55,30";"55,16"
"TUW-252847";"73,11";"61,54";"61,03"
"TUW-255712";"79,71";"67,43";"67,86"
"TUW-256654";"55,36";"34,09";"34,62"
"TUW-257397";"96,19";"63,64";"62,31"
"TUW-257870";"70,23";"65,38";"61,69"
"Average";"79,86";"70,82";"69,60"
