"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"87,50";"77,78";"70,00"
"TUW-137078-ref2";"100,00";"80,00";"80,00"
"TUW-137078-ref3";"80,00";"57,14";"57,14"
"TUW-137078-ref4";"100,00";"88,89";"88,89"
"TUW-137078-ref5";"100,00";"85,71";"85,71"
"TUW-137078-ref6";"80,00";"57,14";"57,14"
"TUW-138011-ref1";"71,43";"55,56";"50,00"
"TUW-138011-ref2";"80,00";"57,14";"57,14"
"TUW-138011-ref3";"100,00";"77,78";"77,78"
"TUW-138011-ref4";"75,00";"60,00";"54,55"
"TUW-138011-ref5";"66,67";"40,00";"40,00"
"TUW-138011-ref6";"100,00";"83,33";"83,33"
"TUW-138011-ref7";"85,71";"60,00";"60,00"
"TUW-138011-ref8";"86,67";"72,73";"71,72"
"TUW-138011-ref9";"71,43";"55,56";"50,00"
"TUW-138011-ref10";"66,67";"25,00";"25,00"
"TUW-138447-ref2";"53,33";"29,63";"29,63"
"TUW-138447-ref3";"53,33";"38,10";"33,33"
"TUW-138447-ref4";"66,67";"33,33";"33,33"
"TUW-138447-ref5";"50,00";"20,00";"20,00"
"TUW-138447-ref6";"75,00";"30,00";"30,00"
"TUW-138447-ref7";"62,50";"41,67";"35,71"
"TUW-138447-ref8";"66,67";"33,33";"28,57"
"TUW-138447-ref9";"70,83";"56,67";"51,52"
"TUW-138447-ref10";"50,00";"33,33";"27,27"
"TUW-138447-ref12";"33,33";"20,00";"16,67"
"TUW-138447-ref13";"33,33";"20,00";"16,67"
"TUW-138447-ref14";"66,67";"60,00";"60,00"
"TUW-138447-ref16";"64,29";"50,00";"50,00"
"TUW-138447-ref17";"50,00";"33,33";"28,57"
"TUW-138447-ref18";"20,00";"14,29";"12,50"
"TUW-138447-ref19";"33,33";"11,11";"11,11"
"TUW-138544-ref1";"66,67";"40,00";"36,36"
"TUW-138544-ref2";"57,14";"44,44";"40,00"
"TUW-138544-ref3";"66,67";"44,44";"40,00"
"TUW-138544-ref4";"80,95";"55,00";"55,71"
"TUW-138544-ref5";"50,00";"40,00";"33,33"
"TUW-138547-ref2";"87,50";"63,64";"63,64"
"TUW-138547-ref3";"0,00";"0,00";"0,00"
"TUW-138547-ref4";"75,00";"60,00";"60,00"
"TUW-138547-ref5";"71,43";"50,00";"50,00"
"TUW-138547-ref6";"87,50";"70,00";"70,00"
"TUW-138547-ref7";"0,00";"0,00";"0,00"
"TUW-139299-ref1";"35,71";"50,00";"29,63"
"TUW-139299-ref3";"70,37";"70,00";"59,09"
"TUW-139299-ref4";"61,11";"60,00";"51,52"
"TUW-139299-ref5";"66,67";"28,57";"28,57"
"TUW-139299-ref6";"85,71";"60,00";"60,00"
"TUW-139299-ref7";"71,43";"62,50";"62,50"
"TUW-139299-ref8";"20,00";"12,50";"11,11"
"TUW-139299-ref9";"66,67";"60,00";"54,55"
"TUW-139299-ref10";"28,57";"20,00";"18,18"
"TUW-139299-ref11";"33,33";"16,67";"14,29"
"TUW-139761-ref1";"33,33";"12,50";"12,50"
"TUW-139761-ref2";"57,14";"44,44";"40,00"
"TUW-139761-ref3";"37,50";"19,05";"20,00"
"TUW-139761-ref4";"60,00";"42,86";"42,86"
"TUW-139761-ref5";"42,86";"42,86";"30,00"
"TUW-139761-ref6";"71,43";"55,56";"50,00"
"TUW-139761-ref7";"40,00";"25,00";"22,22"
"TUW-139761-ref8";"33,33";"14,29";"14,29"
"TUW-139761-ref9";"66,67";"44,44";"44,44"
"TUW-139761-ref10";"50,00";"40,00";"33,33"
"TUW-139761-ref12";"16,67";"14,29";"11,11"
"TUW-139761-ref13";"40,00";"18,75";"20,83"
"TUW-139761-ref14";"87,50";"70,00";"70,00"
"TUW-139761-ref15";"77,78";"70,00";"63,64"
"TUW-139761-ref16";"20,00";"16,67";"12,50"
"TUW-139761-ref17";"40,00";"33,33";"28,57"
"TUW-139761-ref18";"16,67";"12,50";"10,00"
"TUW-139761-ref19";"60,00";"41,67";"38,10"
"TUW-139761-ref20";"52,00";"39,29";"38,10"
"TUW-139761-ref21";"57,14";"40,00";"36,36"
"TUW-139761-ref23";"66,67";"57,14";"50,00"
"TUW-139761-ref24";"40,00";"28,57";"22,22"
"TUW-139761-ref25";"40,00";"25,00";"22,22"
"TUW-139761-ref26";"88,89";"80,00";"72,73"
"TUW-139761-ref27";"100,00";"60,00";"60,00"
"TUW-139761-ref28";"60,00";"33,33";"30,00"
"TUW-139761-ref29";"80,00";"57,14";"57,14"
"TUW-139761-ref30";"33,33";"14,29";"14,29"
"TUW-139761-ref31";"60,00";"42,86";"37,50"
