"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"90,91";"93,94"
"TUW-138011";"80,00";"67,88";"72,63"
"TUW-138447";"70,74";"77,76";"65,66"
"TUW-138544";"89,68";"72,47";"72,51"
"TUW-138547";"82,52";"88,26";"84,22"
"TUW-139299";"83,33";"82,20";"82,65"
"TUW-139761";"51,54";"62,83";"46,00"
"TUW-139769";"55,90";"52,13";"50,96"
"TUW-139781";"89,20";"77,50";"73,78"
"TUW-139785";"45,01";"47,33";"42,80"
"TUW-140047";"81,25";"85,58";"83,16"
"TUW-140048";"92,12";"78,66";"78,37"
"TUW-140229";"82,58";"68,18";"72,64"
"TUW-140253";"92,39";"91,37";"91,31"
"TUW-140308";"98,30";"73,33";"72,64"
"TUW-140533";"60,33";"41,35";"42,43"
"TUW-140867";"81,30";"64,29";"62,28"
"TUW-140895";"40,89";"41,27";"35,42"
"TUW-140983";"73,48";"66,67";"62,05"
"TUW-141024";"95,93";"100,00";"97,76"
"TUW-141065";"90,64";"90,53";"90,55"
"TUW-141121";"94,16";"95,45";"94,76"
"TUW-141140";"87,76";"94,91";"90,38"
"TUW-141336";"71,54";"60,80";"62,71"
"TUW-141618";"90,45";"81,67";"85,21"
"TUW-141758";"76,64";"79,12";"72,82"
"TUW-168222";"79,17";"56,82";"57,14"
"TUW-168482";"27,37";"34,03";"24,64"
"TUW-169511";"77,21";"79,17";"72,92"
"TUW-172697";"56,43";"61,36";"48,81"
"TUW-174216";"90,18";"88,32";"88,88"
"TUW-175428";"68,27";"50,39";"45,39"
"TUW-176087";"95,83";"75,14";"76,80"
"TUW-177140";"85,45";"85,45";"85,45"
"TUW-179146";"88,36";"77,14";"76,71"
"TUW-180162";"86,03";"66,74";"66,83"
"TUW-181199";"82,60";"100,00";"87,88"
"TUW-182414";"73,42";"65,44";"63,92"
"TUW-182899";"71,70";"55,75";"59,90"
"TUW-185321";"58,33";"62,50";"60,00"
"TUW-185441";"77,08";"64,68";"66,10"
"TUW-186227";"63,89";"67,46";"64,98"
"TUW-189842";"47,65";"33,17";"29,88"
"TUW-191715";"88,62";"91,57";"90,01"
"TUW-191977";"87,01";"87,88";"86,61"
"TUW-192724";"84,10";"86,11";"82,01"
"TUW-194085";"46,77";"59,96";"46,60"
"TUW-194561";"100,00";"70,00";"70,63"
"TUW-194660";"77,43";"71,11";"69,31"
"TUW-197422";"89,00";"78,25";"79,46"
"TUW-197852";"72,41";"76,92";"65,37"
"TUW-198400";"87,78";"84,25";"85,08"
"TUW-198401";"91,67";"84,72";"87,58"
"TUW-198405";"100,00";"60,61";"61,98"
"TUW-198408";"77,44";"81,48";"72,93"
"TUW-200745";"43,30";"51,74";"41,28"
"TUW-200748";"47,46";"65,08";"48,23"
"TUW-200948";"89,45";"100,00";"91,41"
"TUW-200950";"76,52";"76,77";"68,05"
"TUW-200959";"84,40";"87,14";"79,08"
"TUW-201066";"81,25";"87,50";"83,33"
"TUW-201160";"73,19";"85,00";"77,26"
"TUW-201167";"66,67";"79,17";"64,67"
"TUW-201821";"96,94";"98,33";"97,58"
"TUW-202034";"23,80";"38,75";"22,27"
"TUW-202824";"81,48";"91,67";"81,48"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"96,14";"96,14";"96,14"
"TUW-204724";"80,00";"58,33";"57,94"
"TUW-205557";"41,67";"50,00";"33,33"
"TUW-205933";"68,57";"52,08";"54,75"
"TUW-213513";"90,00";"100,00";"93,33"
"TUW-216744";"55,48";"54,17";"47,94"
"TUW-217690";"100,00";"68,33";"72,67"
"TUW-217971";"65,80";"77,16";"68,65"
"TUW-221215";"52,08";"56,43";"47,41"
"TUW-223906";"80,30";"59,48";"62,81"
"TUW-223973";"81,74";"92,92";"85,40"
"TUW-225252";"81,25";"72,92";"74,17"
"TUW-226000";"86,67";"87,50";"86,95"
"TUW-226016";"34,39";"53,48";"29,54"
"TUW-228620";"83,54";"43,72";"45,70"
"TUW-231707";"98,81";"75,93";"76,37"
"TUW-233317";"86,11";"86,11";"86,11"
"TUW-233657";"95,83";"63,89";"63,89"
"TUW-236063";"71,88";"55,56";"57,67"
"TUW-236120";"78,97";"76,72";"73,72"
"TUW-237297";"67,70";"62,15";"59,86"
"TUW-240858";"97,40";"96,97";"97,08"
"TUW-245336";"77,55";"77,95";"76,86"
"TUW-245799";"72,14";"48,85";"41,77"
"TUW-247301";"95,00";"100,00";"97,14"
"TUW-247741";"69,24";"58,91";"56,66"
"TUW-247743";"55,85";"56,97";"43,71"
"TUW-251544";"93,97";"56,06";"55,37"
"TUW-252847";"72,22";"61,54";"60,58"
"TUW-255712";"81,88";"69,14";"69,64"
"TUW-256654";"51,66";"36,36";"34,39"
"TUW-257397";"93,58";"63,64";"61,32"
"TUW-257870";"69,60";"65,38";"61,26"
"Average";"76,80";"71,85";"68,38"
