"EvaluationType";"Precision";"Recall";"F1"
"Id";"67,60";"67,60";"67,60"
"Marker";"NAN";"0,00";"0,00"
"Title";"92,35";"68,02";"67,83"
"Source";"68,11";"77,18";"67,75"
"Publisher";"81,66";"59,75";"55,14"
"Editor";"NAN";"0,00";"0,00"
"Authors";"78,91";"79,39";"77,35"
"Edition";"88,89";"72,73";"66,67"
"Location";"78,21";"30,96";"30,20"
"Volume";"87,31";"92,28";"82,40"
"Issue";"93,17";"72,62";"70,74"
"Chapter";"NAN";"0,00";"0,00"
"Note";"7,78";"13,13";"5,68"
"Page from";"94,81";"91,03";"88,63"
"Page to";"93,32";"92,09";"89,60"
"Date";"92,71";"93,40";"90,62"
"Doi";"NAN";"0,00";"0,00"
"Url";"66,67";"33,33";"29,73"
"Average";"77,96";"52,42";"49,44"
