"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"90,91";"93,94"
"TUW-138011";"68,00";"56,36";"58,79"
"TUW-138447";"92,97";"68,58";"70,46"
"TUW-138544";"93,59";"72,47";"74,36"
"TUW-138547";"89,61";"88,26";"88,91"
"TUW-139299";"93,75";"89,58";"91,42"
"TUW-139761";"65,06";"65,25";"53,79"
"TUW-139769";"64,18";"53,81";"55,59"
"TUW-139781";"98,44";"80,00";"79,33"
"TUW-139785";"51,65";"48,04";"47,12"
"TUW-140047";"81,75";"84,23";"82,43"
"TUW-140048";"95,20";"78,61";"80,60"
"TUW-140229";"82,79";"69,70";"73,46"
"TUW-140253";"88,33";"81,67";"83,30"
"TUW-140308";"93,94";"67,22";"67,94"
"TUW-140533";"48,19";"32,13";"33,30"
"TUW-140867";"89,26";"70,83";"68,53"
"TUW-140895";"49,25";"41,47";"40,84"
"TUW-140983";"83,33";"69,23";"68,72"
"TUW-141024";"92,41";"93,33";"92,85"
"TUW-141065";"91,34";"90,53";"90,91"
"TUW-141121";"100,00";"100,00";"100,00"
"TUW-141140";"95,32";"98,61";"96,30"
"TUW-141336";"76,72";"65,63";"67,99"
"TUW-141618";"76,53";"82,13";"77,05"
"TUW-141758";"85,64";"79,64";"78,66"
"TUW-168222";"81,25";"59,09";"59,09"
"TUW-168482";"31,76";"34,02";"27,39"
"TUW-169511";"94,17";"80,83";"85,50"
"TUW-172697";"63,33";"61,36";"54,00"
"TUW-174216";"95,14";"92,36";"93,58"
"TUW-175428";"92,20";"56,71";"57,45"
"TUW-176087";"95,83";"75,14";"76,80"
"TUW-177140";"83,64";"83,03";"83,32"
"TUW-179146";"93,12";"77,14";"79,57"
"TUW-180162";"94,13";"68,15";"72,20"
"TUW-181199";"84,15";"87,88";"84,23"
"TUW-182414";"78,57";"64,12";"65,92"
"TUW-182899";"73,25";"49,05";"55,95"
"TUW-185321";"55,83";"62,50";"58,61"
"TUW-185441";"75,00";"63,10";"64,39"
"TUW-186227";"74,11";"65,87";"65,87"
"TUW-189842";"54,17";"33,17";"32,72"
"TUW-191715";"81,21";"78,61";"78,12"
"TUW-191977";"78,79";"75,76";"76,77"
"TUW-192724";"82,98";"76,04";"76,72"
"TUW-194085";"42,89";"52,04";"40,43"
"TUW-194561";"94,17";"70,00";"68,46"
"TUW-194660";"66,67";"68,89";"67,33"
"TUW-197422";"90,00";"78,25";"79,89"
"TUW-197852";"80,30";"76,92";"70,51"
"TUW-198400";"92,85";"87,23";"89,15"
"TUW-198401";"87,50";"79,17";"82,08"
"TUW-198405";"100,00";"60,61";"61,98"
"TUW-198408";"85,69";"78,55";"78,19"
"TUW-200745";"56,18";"45,65";"42,60"
"TUW-200748";"65,74";"67,81";"61,42"
"TUW-200948";"90,91";"83,64";"84,85"
"TUW-200950";"88,18";"82,83";"77,81"
"TUW-200959";"88,65";"85,71";"82,22"
"TUW-201066";"81,25";"78,13";"77,38"
"TUW-201160";"75,00";"76,43";"74,31"
"TUW-201167";"80,00";"83,33";"71,76"
"TUW-201821";"91,42";"90,21";"90,49"
"TUW-202034";"42,31";"39,78";"35,02"
"TUW-202824";"91,67";"91,67";"91,67"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"99,09";"99,09";"99,09"
"TUW-204724";"77,78";"62,50";"59,38"
"TUW-205557";"41,67";"41,67";"31,25"
"TUW-205933";"70,24";"61,46";"61,46"
"TUW-213513";"80,00";"85,00";"80,00"
"TUW-216744";"70,00";"58,33";"58,33"
"TUW-217690";"92,86";"56,67";"59,00"
"TUW-217971";"63,58";"77,16";"67,55"
"TUW-221215";"58,12";"59,18";"51,84"
"TUW-223906";"83,77";"62,04";"65,31"
"TUW-223973";"86,09";"82,35";"83,36"
"TUW-225252";"68,75";"60,42";"61,67"
"TUW-226000";"85,33";"86,79";"85,91"
"TUW-226016";"44,59";"52,41";"38,57"
"TUW-228620";"69,44";"39,76";"41,98"
"TUW-231707";"98,70";"74,07";"75,32"
"TUW-233317";"86,11";"86,11";"86,11"
"TUW-233657";"95,83";"63,89";"63,89"
"TUW-236063";"71,88";"55,56";"57,67"
"TUW-236120";"85,59";"76,43";"76,90"
"TUW-237297";"64,68";"60,76";"57,43"
"TUW-240858";"93,18";"87,35";"89,88"
"TUW-245336";"71,43";"64,29";"67,35"
"TUW-245799";"89,89";"51,15";"49,61"
"TUW-247301";"95,00";"97,14";"95,48"
"TUW-247741";"79,33";"61,34";"63,02"
"TUW-247743";"67,63";"56,45";"48,18"
"TUW-251544";"93,65";"55,30";"54,85"
"TUW-252847";"73,11";"61,54";"61,03"
"TUW-255712";"75,00";"57,71";"58,20"
"TUW-256654";"55,36";"34,09";"34,62"
"TUW-257397";"89,52";"55,76";"56,19"
"TUW-257870";"78,41";"62,82";"63,35"
"Average";"79,57";"69,86";"68,96"
