"EvaluationType";"Precision";"Recall";"F1"
"Id";"48,91";"48,91";"48,91"
"Marker";"NAN";"0,00";"0,00"
"Title";"89,12";"49,15";"48,78"
"Source";"42,74";"47,13";"41,93"
"Publisher";"60,74";"33,00";"28,92"
"Editor";"NAN";"0,00";"0,00"
"Authors";"77,90";"65,18";"63,89"
"Edition";"NAN";"0,00";"0,00"
"Location";"26,97";"10,08";"9,06"
"Volume";"82,88";"40,88";"39,93"
"Issue";"77,30";"41,21";"37,73"
"Chapter";"NAN";"0,00";"0,00"
"Note";"2,77";"8,85";"2,33"
"Page from";"94,33";"67,14";"66,51"
"Page to";"92,50";"67,52";"66,87"
"Date";"92,10";"89,64";"87,25"
"Doi";"NAN";"0,00";"0,00"
"Url";"14,29";"2,90";"2,82"
"Average";"61,73";"31,76";"30,27"
