"EvaluationType";"Precision";"Recall";"F1"
"Title";"63,46";"33,00";"33,00"
"Abstract";"23,86";"22,83";"21,21"
"Abstract (german)";"NAN";"0,00";"0,00"
"Keywords";"18,71";"25,39";"14,27"
"Authors";"73,53";"14,00";"12,65"
"Emails";"66,67";"3,26";"3,62"
"Author-Emails";"66,67";"3,26";"3,62"
"Affiliations";"54,84";"16,32";"16,46"
"Author-Affiliations";"11,54";"5,73";"5,03"
"Source";"NAN";"0,00";"0,00"
"Volume";"NAN";"0,00";"0,00"
"Issue";"NAN";"0,00";"0,00"
"Page from";"NAN";"0,00";"0,00"
"Page to";"NAN";"0,00";"0,00"
"Year";"66,67";"6,25";"6,25"
"Doi";"100,00";"100,00";"100,00"
"Sections";"49,81";"76,60";"54,74"
"Section-Levels";"78,66";"73,00";"71,70"
"Section-References";"39,99";"8,20";"8,38"
"References";"85,94";"27,82";"29,75"
"Average";"57,17";"20,78";"19,03"
