"EvaluationType";"Precision";"Recall";"F1"
"Id";"40,94";"40,94";"40,94"
"Marker";"NAN";"0,00";"0,00"
"Title";"83,50";"45,84";"45,26"
"Source";"38,66";"43,22";"38,39"
"Publisher";"53,27";"30,16";"26,15"
"Editor";"NAN";"0,00";"0,00"
"Authors";"46,06";"32,20";"32,16"
"Edition";"NAN";"0,00";"0,00"
"Location";"26,09";"11,54";"9,84"
"Volume";"79,84";"34,38";"34,26"
"Issue";"83,82";"33,14";"31,84"
"Chapter";"NAN";"0,00";"0,00"
"Note";"2,87";"11,36";"2,53"
"Page from";"92,18";"62,40";"61,71"
"Page to";"88,48";"61,78";"61,08"
"Date";"81,95";"82,71";"78,90"
"Doi";"NAN";"0,00";"0,00"
"Url";"0,00";"0,00";"0,00"
"Average";"55,20";"27,20";"25,73"
