"File";"Precision";"Recall";"F1"
"TUW-137078";"90,91";"81,82";"84,85"
"TUW-138011";"45,00";"7,27";"7,68"
"TUW-138447";"18,59";"25,85";"16,15"
"TUW-138544";"42,75";"25,97";"24,23"
"TUW-138547";"90,59";"79,82";"75,80"
"TUW-139299";"100,00";"100,00";"100,00"
"TUW-139761";"37,48";"21,95";"19,12"
"TUW-139769";"75,85";"45,27";"45,15"
"TUW-139781";"40,48";"24,64";"19,60"
"TUW-139785";"38,00";"27,78";"23,95"
"TUW-140047";"35,10";"18,91";"17,03"
"TUW-140048";"62,74";"27,15";"26,24"
"TUW-140229";"51,67";"25,76";"22,42"
"TUW-140253";"75,00";"41,79";"38,80"
"TUW-140308";"41,18";"11,28";"11,00"
"TUW-140533";"45,92";"13,63";"14,48"
"TUW-140867";"68,18";"11,01";"10,85"
"TUW-140895";"37,41";"33,89";"25,14"
"TUW-140983";"37,38";"24,36";"21,02"
"TUW-141024";"55,83";"42,88";"38,78"
"TUW-141065";"41,67";"25,76";"23,94"
"TUW-141121";"45,66";"27,27";"19,72"
"TUW-141140";"71,49";"32,24";"31,22"
"TUW-141336";"6,62";"3,41";"2,27"
"TUW-141618";"64,41";"31,28";"32,22"
"TUW-141758";"29,54";"22,98";"17,58"
"TUW-168222";"41,67";"11,36";"10,42"
"TUW-168482";"24,50";"21,25";"15,26"
"TUW-169511";"14,58";"15,00";"6,25"
"TUW-172697";"52,08";"36,36";"26,85"
"TUW-174216";"29,81";"15,28";"12,14"
"TUW-175428";"34,79";"25,94";"23,04"
"TUW-176087";"94,44";"29,17";"29,51"
"TUW-177140";"75,00";"10,91";"12,12"
"TUW-179146";"69,84";"39,29";"39,12"
"TUW-180162";"35,86";"16,40";"11,80"
"TUW-181199";"45,26";"24,24";"19,24"
"TUW-182414";"63,65";"49,59";"44,00"
"TUW-182899";"52,08";"30,71";"29,33"
"TUW-185321";"56,00";"37,50";"36,11"
"TUW-185441";"78,57";"17,46";"17,46"
"TUW-186227";"41,67";"17,46";"14,98"
"TUW-189842";"30,90";"23,08";"16,28"
"TUW-191715";"40,18";"24,19";"21,54"
"TUW-191977";"43,75";"11,36";"9,09"
"TUW-192724";"15,04";"11,11";"7,95"
"TUW-194085";"42,11";"23,84";"21,50"
"TUW-194561";"37,13";"24,24";"23,68"
"TUW-194660";"41,67";"17,78";"15,03"
"TUW-197422";"41,56";"19,72";"20,67"
"TUW-197852";"21,74";"13,46";"9,36"
"TUW-198400";"58,33";"22,31";"21,61"
"TUW-198401";"57,14";"15,28";"16,36"
"TUW-198405";"83,33";"37,88";"40,77"
"TUW-198408";"40,95";"23,67";"16,67"
"TUW-200745";"73,26";"79,55";"70,74"
"TUW-200748";"48,78";"63,95";"46,34"
"TUW-200948";"17,90";"14,55";"8,09"
"TUW-200950";"11,22";"7,58";"4,01"
"TUW-200959";"30,66";"26,15";"19,34"
"TUW-201066";"40,00";"18,75";"19,05"
"TUW-201160";"24,07";"20,00";"16,23"
"TUW-201167";"44,44";"29,17";"27,41"
"TUW-201821";"43,33";"21,67";"21,67"
"TUW-202034";"31,30";"39,73";"25,71"
"TUW-202824";"68,75";"34,38";"30,56"
"TUW-203409";"50,00";"25,00";"25,00"
"TUW-203924";"80,00";"20,00";"17,50"
"TUW-204724";"42,00";"8,33";"10,08"
"TUW-205557";"75,00";"25,00";"25,00"
"TUW-205933";"62,86";"37,50";"37,96"
"TUW-213513";"60,00";"23,33";"23,64"
"TUW-216744";"32,14";"11,81";"6,96"
"TUW-217690";"80,00";"20,00";"17,50"
"TUW-217971";"72,22";"30,86";"31,45"
"TUW-221215";"27,72";"21,39";"18,21"
"TUW-223906";"75,20";"41,03";"40,35"
"TUW-223973";"31,66";"29,33";"24,14"
"TUW-225252";"60,00";"20,83";"20,00"
"TUW-226000";"76,79";"38,33";"33,33"
"TUW-226016";"59,29";"20,30";"19,93"
"TUW-228620";"27,78";"9,62";"10,49"
"TUW-231707";"100,00";"88,89";"88,89"
"TUW-233317";"69,33";"27,22";"27,96"
"TUW-233657";"47,92";"22,92";"23,40"
"TUW-236063";"75,00";"16,67";"16,67"
"TUW-236120";"22,16";"10,42";"7,14"
"TUW-237297";"31,25";"20,83";"17,05"
"TUW-240858";"71,67";"16,67";"14,39"
"TUW-245336";"58,33";"42,86";"41,50"
"TUW-245799";"30,07";"17,03";"14,12"
"TUW-247301";"100,00";"13,33";"16,00"
"TUW-247741";"39,14";"17,05";"14,44"
"TUW-247743";"50,28";"19,35";"17,83"
"TUW-251544";"77,21";"34,97";"38,82"
"TUW-252847";"67,06";"29,85";"27,55"
"TUW-255712";"0,00";"0,00";"0,00"
"TUW-256654";"40,18";"13,64";"14,09"
"TUW-257397";"63,00";"25,87";"23,85"
"TUW-257870";"28,57";"15,38";"14,10"
"Average";"50,31";"26,71";"24,26"
