"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"87,50";"77,78";"70,00"
"TUW-137078-ref2";"100,00";"80,00";"80,00"
"TUW-137078-ref3";"80,00";"57,14";"57,14"
"TUW-137078-ref4";"100,00";"88,89";"88,89"
"TUW-137078-ref5";"100,00";"85,71";"85,71"
"TUW-137078-ref6";"80,00";"57,14";"57,14"
"TUW-138447-ref5";"0,00";"0,00";"0,00"
"TUW-139299-ref1";"42,86";"50,00";"33,33"
"TUW-139299-ref2";"75,00";"50,00";"42,86"
"TUW-139299-ref3";"100,00";"80,00";"80,00"
"TUW-139299-ref4";"77,78";"70,00";"63,64"
"TUW-139299-ref5";"100,00";"85,71";"85,71"
"TUW-139299-ref6";"100,00";"90,00";"90,00"
"TUW-139299-ref7";"100,00";"87,50";"87,50"
"TUW-139299-ref8";"60,00";"37,50";"33,33"
"TUW-139299-ref9";"77,78";"70,00";"63,64"
"TUW-139299-ref10";"57,14";"40,00";"36,36"
"TUW-139299-ref11";"75,00";"50,00";"42,86"
"TUW-139761-ref1";"66,67";"25,00";"25,00"
"TUW-139761-ref2";"57,14";"44,44";"40,00"
"TUW-139761-ref3";"50,00";"28,57";"28,57"
"TUW-139761-ref4";"60,00";"42,86";"42,86"
"TUW-139761-ref5";"57,14";"57,14";"40,00"
"TUW-139761-ref6";"85,71";"66,67";"60,00"
"TUW-139761-ref7";"60,00";"37,50";"33,33"
"TUW-139761-ref8";"66,67";"28,57";"28,57"
"TUW-139761-ref9";"83,33";"55,56";"55,56"
"TUW-139761-ref10";"62,50";"50,00";"41,67"
"TUW-139761-ref11";"50,00";"22,22";"20,00"
"TUW-139761-ref12";"33,33";"28,57";"22,22"
"TUW-139761-ref13";"40,00";"25,00";"25,00"
"TUW-139761-ref14";"100,00";"80,00";"80,00"
"TUW-139761-ref15";"77,78";"70,00";"63,64"
"TUW-139761-ref16";"40,00";"33,33";"25,00"
"TUW-139761-ref17";"60,00";"50,00";"42,86"
"TUW-139761-ref18";"33,33";"25,00";"20,00"
"TUW-139761-ref19";"60,00";"50,00";"42,86"
"TUW-139761-ref20";"60,00";"42,86";"42,86"
"TUW-139761-ref21";"71,43";"50,00";"45,45"
"TUW-139761-ref22";"33,33";"28,57";"25,00"
"TUW-139761-ref24";"20,00";"14,29";"11,11"
"TUW-139761-ref25";"20,00";"12,50";"11,11"
"TUW-139761-ref26";"57,14";"40,00";"36,36"
"TUW-139761-ref27";"33,33";"20,00";"20,00"
"TUW-139761-ref28";"40,00";"22,22";"20,00"
"TUW-139761-ref29";"60,00";"42,86";"42,86"
"TUW-139761-ref30";"0,00";"0,00";"0,00"
"TUW-139761-ref31";"40,00";"28,57";"25,00"
"TUW-139761-ref32";"50,00";"25,00";"25,00"
"TUW-139761-ref33";"33,33";"12,50";"12,50"
"TUW-139769-ref1";"66,67";"44,44";"40,00"
"TUW-139769-ref2";"50,00";"20,00";"16,67"
"TUW-139769-ref3";"88,89";"80,00";"80,00"
"TUW-139769-ref4";"57,14";"44,44";"40,00"
"TUW-139769-ref5";"57,14";"40,00";"36,36"
"TUW-139769-ref6";"100,00";"80,00";"80,00"
"TUW-139769-ref7";"66,67";"44,44";"40,00"
"TUW-139769-ref8";"53,33";"44,44";"38,10"
"TUW-139769-ref9";"33,33";"25,00";"20,00"
"TUW-139769-ref11";"25,00";"16,67";"14,29"
"TUW-139769-ref12";"60,00";"50,00";"50,00"
"TUW-139769-ref14";"0,00";"0,00";"0,00"
"TUW-139769-ref15";"42,86";"33,33";"27,27"
"TUW-139769-ref16";"25,00";"12,50";"11,11"
"TUW-139769-ref17";"25,00";"16,67";"14,29"
"TUW-139769-ref18";"50,00";"37,50";"33,33"
"TUW-139769-ref19";"57,14";"40,00";"36,36"
"TUW-139769-ref21";"40,00";"33,33";"28,57"
"TUW-139769-ref22";"0,00";"0,00";"0,00"
"TUW-139769-ref23";"83,33";"55,56";"55,56"
"TUW-139769-ref24";"25,00";"11,11";"11,11"
"TUW-139769-ref25";"83,33";"55,56";"55,56"
"TUW-139769-ref26";"50,00";"20,00";"20,00"
"TUW-139769-ref27";"77,78";"70,00";"70,00"
"TUW-139769-ref28";"71,43";"55,56";"50,00"
"TUW-139769-ref29";"25,00";"10,00";"9,09"
"TUW-139769-ref30";"25,00";"10,00";"9,09"
"TUW-139769-ref31";"77,78";"70,00";"70,00"
"TUW-139769-ref34";"50,00";"25,00";"25,00"
"TUW-139769-ref35";"60,00";"50,00";"50,00"
"TUW-139769-ref37";"42,86";"33,33";"30,00"
"TUW-139769-ref39";"42,86";"37,50";"33,33"
