"";"Cermine";"";"";"Grobid";"";"";"ParsCit";"";"";"PDFX";"";""
"Id";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1";"Precision";"Recall";"F1"
"TUW-137078-ref1";"64,29";"37,50";"34,09";"66,67";"62,50";"53,33";"50,00";"25,00";"25,00";"NAN";"0,00";"0,00"
"TUW-137078-ref2";"62,50";"33,33";"29,63";"100,00";"77,78";"77,78";"40,00";"22,22";"22,22";"NAN";"0,00";"0,00"
"TUW-137078-ref3";"25,00";"16,67";"9,52";"80,00";"66,67";"66,67";"20,00";"16,67";"12,50";"NAN";"0,00";"0,00"
"TUW-137078-ref4";"100,00";"50,00";"50,00";"100,00";"87,50";"87,50";"16,67";"12,50";"11,11";"NAN";"0,00";"0,00"
"TUW-137078-ref5";"100,00";"83,33";"83,33";"100,00";"83,33";"83,33";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-137078-ref6";"80,00";"66,67";"57,14";"62,50";"50,00";"44,44";"notMatched";"notMatched";"notMatched";"NAN";"0,00";"0,00"
"TUW-138011-ref1";"100,00";"62,50";"62,50";"85,71";"75,00";"66,67";"25,00";"12,50";"11,11";"NAN";"0,00";"0,00"
"TUW-138011-ref2";"50,00";"16,67";"14,29";"80,00";"66,67";"66,67";"25,00";"16,67";"14,29";"NAN";"0,00";"0,00"
"TUW-138011-ref3";"97,22";"72,92";"72,92";"100,00";"87,50";"87,50";"75,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-138011-ref4";"100,00";"77,78";"77,78";"100,00";"88,89";"88,89";"80,00";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-138011-ref5";"33,33";"25,00";"20,00";"75,00";"75,00";"60,00";"25,00";"25,00";"16,67";"NAN";"0,00";"0,00"
"TUW-138011-ref6";"55,56";"30,00";"31,43";"80,00";"80,00";"66,67";"50,00";"40,00";"40,00";"NAN";"0,00";"0,00"
"TUW-138011-ref7";"85,71";"66,67";"66,67";"100,00";"88,89";"88,89";"80,00";"44,44";"44,44";"NAN";"0,00";"0,00"
"TUW-138011-ref8";"100,00";"68,75";"69,33";"100,00";"90,00";"90,00";"50,00";"30,00";"30,00";"NAN";"0,00";"0,00"
"TUW-138011-ref9";"100,00";"75,00";"75,00";"100,00";"87,50";"87,50";"75,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-138011-ref10";"66,67";"28,57";"28,57";"33,33";"28,57";"25,00";"25,00";"14,29";"14,29";"NAN";"0,00";"0,00"
"TUW-138544-ref1";"100,00";"77,78";"77,78";"75,00";"66,67";"60,00";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-138544-ref2";"100,00";"75,00";"75,00";"100,00";"87,50";"87,50";"100,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-138544-ref3";"83,33";"62,50";"62,50";"85,71";"75,00";"75,00";"60,00";"37,50";"37,50";"NAN";"0,00";"0,00"
"TUW-138544-ref4";"100,00";"77,78";"77,78";"100,00";"77,78";"77,78";"100,00";"55,56";"55,56";"NAN";"0,00";"0,00"
"TUW-138544-ref5";"50,00";"25,00";"20,00";"0,00";"0,00";"0,00";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138544-ref6";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138544-ref7";"notMatched";"notMatched";"notMatched";"20,00";"25,00";"14,29";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched";"notMatched"
"TUW-138547-ref1";"100,00";"62,50";"62,50";"notMatched";"notMatched";"notMatched";"80,00";"50,00";"50,00";"NAN";"0,00";"0,00"
"TUW-138547-ref2";"100,00";"70,00";"70,00";"100,00";"90,00";"90,00";"80,00";"40,00";"40,00";"NAN";"0,00";"0,00"
