"EvaluationType";"Precision";"Recall";"F1"
"Title";"94,79";"91,00";"91,00"
"Publicationtype";"not defined";"0,00";"0,00"
"Abstract";"73,56";"69,57";"66,67"
"Keywords";"84,67";"67,96";"63,97"
"Authors";"70,50";"59,33";"58,06"
"Emails";"67,29";"70,65";"55,12"
"Author-Emails";"61,62";"66,67";"51,43"
"Affiliations";"64,76";"59,95";"58,67"
"Author-Affiliations";"56,79";"43,20";"42,17"
"Source";"11,76";"10,53";"6,90"
"Volume";"10,53";"66,67";"10,53"
"Issue";"0,00";"0,00";"0,00"
"Page from";"12,90";"100,00";"12,90"
"Page to";"12,90";"100,00";"12,90"
"Date";"not defined";"0,00";"0,00"
"Doi";"not defined";"0,00";"0,00"
"Sections";"70,24";"55,05";"58,62"
"Section-Levels";"93,28";"21,87";"25,58"
"Section-References";"60,01";"34,01";"37,17"
"References";"84,27";"70,15";"71,42"
"Average";"54,70";"49,33";"36,16"
