"EvaluationType";"Precision";"Recall";"F1"
"Id";"38,82";"38,82";"38,82"
"Marker";"not defined";"0,00";"0,00"
"Title";"89,34";"47,08";"46,98"
"Source";"54,58";"60,57";"53,70"
"Publisher";"78,61";"41,76";"39,10"
"Editor";"not defined";"0,00";"0,00"
"Authors";"67,57";"61,17";"60,12"
"Edition";"87,50";"63,64";"58,33"
"Volume";"86,83";"64,42";"59,19"
"Issue";"93,98";"51,23";"50,40"
"Chapter";"not defined";"0,00";"0,00"
"Note";"10,94";"15,56";"7,78"
"Page from";"94,75";"63,27";"62,34"
"Page to";"92,25";"63,40";"62,44"
"Location";"68,75";"18,33";"18,03"
"Date";"94,74";"77,79";"76,58"
"Doi";"not defined";"0,00";"0,00"
"Url";"78,26";"36,00";"33,33"
"Average";"74,07";"39,06";"37,06"
