"File";"Precision";"Recall";"F1"
"TUW-137078";"100,00";"90,00";"93,52"
"TUW-138011";"73,33";"60,83";"63,74"
"TUW-138447";"86,34";"70,08";"70,23"
"TUW-138544";"79,23";"64,29";"65,10"
"TUW-138547";"87,50";"83,33";"84,57"
"TUW-139299";"72,22";"77,08";"70,15"
"TUW-139761";"50,15";"57,35";"46,32"
"TUW-139769";"43,14";"43,89";"43,07"
"TUW-139781";"98,61";"81,82";"81,21"
"TUW-139785";"47,58";"46,04";"46,59"
"TUW-140047";"87,30";"77,29";"77,77"
"TUW-140048";"95,64";"81,03";"82,55"
"TUW-140229";"69,54";"62,50";"63,36"
"TUW-140253";"86,94";"88,79";"86,84"
"TUW-140308";"91,67";"73,33";"73,33"
"TUW-140533";"51,91";"37,29";"39,39"
"TUW-140867";"90,33";"73,08";"70,95"
"TUW-140895";"30,99";"32,29";"29,71"
"TUW-140983";"81,67";"59,52";"58,10"
"TUW-141024";"100,00";"100,00";"100,00"
"TUW-141065";"80,75";"82,39";"81,27"
"TUW-141121";"100,00";"100,00";"100,00"
"TUW-141140";"94,54";"98,75";"96,08"
"TUW-141336";"74,04";"61,98";"61,06"
"TUW-141618";"63,15";"70,88";"64,58"
"TUW-141758";"64,02";"76,38";"65,49"
"TUW-168222";"83,33";"62,50";"62,50"
"TUW-168482";"24,98";"30,65";"24,33"
"TUW-169511";"94,70";"83,79";"87,63"
"TUW-172697";"66,11";"46,53";"46,13"
"TUW-174216";"82,71";"81,15";"81,37"
"TUW-175428";"62,10";"46,82";"45,45"
"TUW-176087";"87,12";"68,40";"70,38"
"TUW-177140";"80,00";"75,00";"76,43"
"TUW-179146";"76,78";"74,92";"74,48"
"TUW-180162";"83,98";"61,66";"64,76"
"TUW-181199";"83,33";"84,20";"81,33"
"TUW-182414";"68,40";"54,99";"56,33"
"TUW-182899";"72,34";"51,42";"56,01"
"TUW-185321";"60,74";"66,67";"63,21"
"TUW-185441";"77,78";"66,79";"67,95"
"TUW-186227";"76,98";"68,75";"69,00"
"TUW-189842";"54,17";"25,48";"27,28"
"TUW-191715";"73,75";"78,35";"75,61"
"TUW-191977";"91,67";"91,67";"91,67"
"TUW-192724";"93,90";"92,31";"91,26"
"TUW-194085";"49,55";"60,63";"48,65"
"TUW-194561";"79,55";"61,36";"61,43"
"TUW-194660";"70,33";"71,00";"70,44"
"TUW-197422";"79,55";"72,26";"68,34"
"TUW-197852";"62,50";"63,74";"54,05"
"TUW-198400";"81,18";"78,67";"78,91"
"TUW-198401";"95,83";"83,33";"85,38"
"TUW-198405";"100,00";"63,89";"65,15"
"TUW-198408";"87,34";"75,40";"76,31"
"TUW-200745";"50,56";"45,65";"42,60"
"TUW-200748";"54,90";"57,56";"52,92"
"TUW-200948";"91,67";"90,28";"90,91"
"TUW-200950";"80,83";"75,93";"71,82"
"TUW-200959";"68,49";"69,70";"68,38"
"TUW-201066";"83,33";"88,89";"85,19"
"TUW-201160";"83,33";"88,89";"85,19"
"TUW-201167";"81,82";"87,04";"75,15"
"TUW-201821";"83,33";"88,54";"82,14"
"TUW-202034";"23,15";"29,10";"22,51"
"TUW-202824";"83,70";"87,04";"84,66"
"TUW-203409";"100,00";"100,00";"100,00"
"TUW-203924";"85,19";"87,19";"85,96"
"TUW-204724";"70,00";"56,54";"54,64"
"TUW-205557";"50,00";"50,00";"38,89"
"TUW-205933";"61,46";"54,63";"54,63"
"TUW-213513";"90,91";"100,00";"93,94"
"TUW-216744";"63,64";"58,33";"53,85"
"TUW-217690";"93,75";"60,61";"62,73"
"TUW-217971";"67,40";"79,56";"70,94"
"TUW-221215";"36,76";"46,45";"37,93"
"TUW-223906";"75,00";"59,62";"63,59"
"TUW-223973";"79,09";"76,44";"77,31"
"TUW-225252";"83,33";"75,93";"77,04"
"TUW-226000";"78,79";"73,70";"74,74"
"TUW-226016";"33,84";"44,66";"29,96"
"TUW-228620";"67,67";"41,53";"41,66"
"TUW-231707";"86,36";"66,67";"67,79"
"TUW-233317";"82,05";"76,47";"78,04"
"TUW-233657";"85,19";"51,02";"51,93"
"TUW-236063";"75,00";"48,33";"51,67"
"TUW-236120";"84,25";"79,90";"78,46"
"TUW-237297";"63,57";"55,25";"51,41"
"TUW-240858";"91,67";"83,12";"85,74"
"TUW-245336";"85,71";"68,75";"71,43"
"TUW-245799";"78,65";"51,15";"49,61"
"TUW-247301";"95,45";"100,00";"97,40"
"TUW-247741";"72,59";"61,98";"63,34"
"TUW-247743";"56,26";"49,96";"42,10"
"TUW-251544";"74,57";"48,25";"46,96"
"TUW-252847";"65,67";"59,40";"59,44"
"TUW-255712";"73,81";"58,22";"57,74"
"TUW-256654";"60,94";"39,58";"40,07"
"TUW-257397";"74,17";"47,41";"48,18"
"TUW-257870";"80,21";"76,92";"75,15"
"Average";"75,09";"67,89";"66,32"
