"File";"Precision";"Recall";"F1"
"TUW-137078-ref1";"70,83";"66,67";"58,00"
"TUW-137078-ref2";"100,00";"80,00";"80,00"
"TUW-137078-ref3";"83,33";"71,43";"71,43"
"TUW-137078-ref4";"100,00";"88,89";"88,89"
"TUW-137078-ref5";"100,00";"85,71";"85,71"
"TUW-137078-ref6";"70,00";"57,14";"52,38"
"TUW-138011-ref10";"33,33";"25,00";"22,22"
"TUW-138447-ref1";"50,00";"60,00";"37,50"
"TUW-138447-ref2";"100,00";"77,78";"77,78"
"TUW-138447-ref3";"80,00";"57,14";"57,14"
"TUW-138447-ref4";"100,00";"83,33";"83,33"
"TUW-138447-ref5";"85,71";"60,00";"60,00"
"TUW-138447-ref6";"100,00";"80,00";"80,00"
"TUW-138447-ref7";"80,00";"66,67";"57,14"
"TUW-138447-ref8";"60,00";"50,00";"42,86"
"TUW-138447-ref9";"100,00";"90,00";"90,00"
"TUW-138447-ref10";"100,00";"88,89";"88,89"
"TUW-138447-ref11";"100,00";"88,89";"88,89"
"TUW-138447-ref12";"75,00";"60,00";"50,00"
"TUW-138447-ref13";"50,00";"40,00";"28,57"
"TUW-138447-ref14";"100,00";"90,00";"90,00"
"TUW-138447-ref15";"75,00";"42,86";"37,50"
"TUW-138447-ref16";"100,00";"88,89";"88,89"
"TUW-138447-ref17";"60,00";"50,00";"37,50"
"TUW-138447-ref18";"60,00";"42,86";"37,50"
"TUW-138447-ref19";"100,00";"88,89";"88,89"
"TUW-138447-ref20";"83,33";"83,33";"71,43"
"TUW-138547-ref7";"0,00";"0,00";"0,00"
"TUW-139299-ref1";"60,00";"50,00";"42,86"
"TUW-139299-ref2";"75,00";"50,00";"42,86"
"TUW-139299-ref3";"100,00";"70,00";"70,00"
"TUW-139299-ref4";"77,78";"70,00";"63,64"
"TUW-139299-ref5";"95,24";"83,33";"82,42"
"TUW-139299-ref6";"100,00";"90,00";"90,00"
"TUW-139299-ref7";"100,00";"87,50";"87,50"
"TUW-139299-ref8";"50,00";"37,50";"33,33"
"TUW-139299-ref9";"77,78";"70,00";"63,64"
"TUW-139299-ref10";"62,96";"58,00";"52,07"
"TUW-139299-ref11";"66,67";"33,33";"28,57"
"TUW-139761-ref6";"66,67";"44,44";"44,44"
"TUW-139761-ref9";"55,56";"55,56";"50,00"
"TUW-139761-ref15";"30,00";"30,00";"27,27"
"TUW-139761-ref18";"33,33";"25,00";"25,00"
"TUW-139761-ref21";"85,71";"60,00";"60,00"
"TUW-139761-ref28";"62,50";"55,56";"45,45"
"TUW-139761-ref34";"75,00";"37,50";"37,50"
"TUW-139769-ref1";"66,67";"22,22";"22,22"
"TUW-139769-ref3";"85,71";"60,00";"60,00"
"TUW-139769-ref4";"75,00";"33,33";"33,33"
"TUW-139769-ref6";"71,43";"50,00";"50,00"
"TUW-139769-ref8";"33,33";"16,67";"16,67"
"TUW-139769-ref9";"83,33";"62,50";"62,50"
"TUW-139769-ref10";"75,00";"33,33";"33,33"
"TUW-139769-ref11";"33,33";"16,67";"16,67"
"TUW-139769-ref12";"75,00";"50,00";"50,00"
"TUW-139769-ref13";"71,43";"55,56";"55,56"
"TUW-139769-ref14";"0,00";"0,00";"0,00"
"TUW-139769-ref15";"25,00";"11,11";"10,00"
"TUW-139769-ref16";"25,00";"12,50";"11,11"
"TUW-139769-ref17";"66,67";"33,33";"33,33"
"TUW-139769-ref19";"33,33";"10,00";"10,00"
"TUW-139769-ref20";"33,33";"11,11";"11,11"
"TUW-139769-ref21";"60,00";"50,00";"42,86"
"TUW-139769-ref22";"25,00";"11,11";"10,00"
"TUW-139769-ref23";"75,00";"33,33";"33,33"
"TUW-139769-ref24";"33,33";"11,11";"11,11"
"TUW-139769-ref25";"33,33";"11,11";"11,11"
"TUW-139769-ref27";"33,33";"10,00";"10,00"
"TUW-139769-ref28";"33,33";"11,11";"11,11"
"TUW-139769-ref29";"75,00";"30,00";"30,00"
"TUW-139769-ref30";"75,00";"30,00";"30,00"
"TUW-139769-ref31";"33,33";"10,00";"10,00"
"TUW-139769-ref34";"50,00";"12,50";"12,50"
"TUW-139769-ref37";"83,33";"55,56";"55,56"
"TUW-139769-ref38";"25,00";"11,11";"10,00"
"TUW-139769-ref39";"33,33";"12,50";"12,50"
"TUW-139769-ref40";"33,33";"11,11";"11,11"
"TUW-139769-ref41";"33,33";"16,67";"16,67"
"TUW-139769-ref42";"60,00";"50,00";"42,86"
"TUW-139781-ref1";"100,00";"88,89";"88,89"
"TUW-139781-ref2";"100,00";"88,89";"88,89"
"TUW-139781-ref3";"100,00";"90,00";"90,00"
"TUW-139781-ref4";"80,00";"66,67";"57,14"
"TUW-139781-ref5";"100,00";"88,89";"88,89"
"TUW-139781-ref6";"87,50";"87,50";"77,78"
"TUW-139781-ref7";"100,00";"87,50";"87,50"
"TUW-139781-ref8";"100,00";"88,89";"88,89"
"TUW-139785-ref10";"85,71";"75,00";"75,00"
"TUW-139785-ref11";"87,50";"77,78";"77,78"
"TUW-139785-ref12";"83,33";"75,00";"75,00"
"TUW-139785-ref13";"50,00";"40,00";"33,33"
"TUW-139785-ref14";"38,89";"35,71";"30,00"
"TUW-139785-ref15";"87,50";"77,78";"77,78"
"TUW-139785-ref16";"88,89";"80,00";"80,00"
"TUW-139785-ref17";"71,43";"50,00";"50,00"
"TUW-139785-ref18";"87,50";"70,00";"70,00"
"TUW-139785-ref19";"57,14";"44,44";"44,44"
"TUW-139785-ref20";"48,15";"50,00";"44,00"
"TUW-139785-ref21";"60,00";"50,00";"42,86"
"TUW-139785-ref22";"87,50";"70,00";"70,00"
"TUW-139785-ref23";"88,89";"80,00";"80,00"
"TUW-139785-ref24";"87,50";"77,78";"77,78"
"TUW-139785-ref25";"87,50";"77,78";"77,78"
"TUW-139785-ref26";"83,33";"69,70";"68,83"
"TUW-139785-ref27";"50,00";"40,00";"33,33"
"TUW-139785-ref28";"87,50";"70,00";"70,00"
"TUW-139785-ref29";"60,00";"50,00";"42,86"
"TUW-139785-ref30";"59,26";"50,00";"42,31"
"TUW-139785-ref31";"88,89";"80,00";"80,00"
"TUW-139785-ref32";"83,33";"76,67";"75,71"
"TUW-139785-ref33";"26,67";"16,67";"15,56"
"TUW-139785-ref34";"87,50";"70,00";"70,00"
"TUW-139785-ref35";"50,00";"33,33";"33,33"
"TUW-139785-ref36";"50,00";"40,00";"33,33"
"TUW-139785-ref37";"50,00";"41,67";"35,71"
"TUW-139785-ref38";"40,00";"28,57";"25,00"
"TUW-139785-ref39";"81,48";"75,00";"74,00"
"TUW-139785-ref40";"87,50";"70,00";"70,00"
"TUW-139785-ref41";"62,50";"55,56";"55,56"
"TUW-139785-ref42";"50,00";"37,50";"33,33"
"TUW-139785-ref43";"87,50";"70,00";"70,00"
"TUW-139785-ref45";"55,00";"45,83";"39,29"
"TUW-140047-ref2";"38,64";"55,56";"33,85"
"TUW-140048-ref1";"40,00";"33,33";"25,00"
"TUW-140048-ref2";"100,00";"81,82";"81,82"
"TUW-140048-ref3";"71,43";"55,56";"50,00"
"TUW-140048-ref4";"100,00";"81,82";"81,82"
"TUW-140048-ref5";"75,00";"50,00";"50,00"
"TUW-140048-ref6";"66,67";"33,33";"28,57"
"TUW-140048-ref7";"40,00";"33,33";"22,22"
"TUW-140048-ref8";"50,00";"33,33";"25,00"
"TUW-140048-ref9";"50,00";"33,33";"25,00"
"TUW-140048-ref10";"40,00";"33,33";"25,00"
"TUW-140048-ref11";"50,00";"28,57";"25,00"
"TUW-140048-ref12";"50,00";"33,33";"28,57"
"TUW-140048-ref13";"50,00";"33,33";"28,57"
"TUW-140229-ref1";"100,00";"50,00";"50,00"
"TUW-140229-ref2";"75,00";"50,00";"50,00"
"TUW-140229-ref5";"33,33";"9,09";"9,09"
"TUW-140229-ref7";"75,00";"30,00";"30,00"
"TUW-140229-ref9";"75,00";"30,00";"30,00"
"TUW-140253-ref2";"60,00";"30,00";"30,00"
"TUW-140253-ref3";"60,00";"50,00";"50,00"
"TUW-140253-ref4";"37,50";"21,43";"18,75"
"TUW-140253-ref6";"60,00";"30,00";"30,00"
"TUW-140253-ref7";"25,00";"10,00";"10,00"
"TUW-140253-ref8";"60,00";"30,00";"30,00"
"TUW-140253-ref9";"20,00";"11,11";"10,00"
"TUW-140253-ref10";"33,33";"14,29";"14,29"
"TUW-140253-ref11";"25,00";"12,50";"12,50"
"TUW-140253-ref12";"60,00";"37,50";"37,50"
"TUW-140253-ref15";"25,00";"10,00";"10,00"
"TUW-140253-ref16";"37,50";"21,43";"21,43"
"TUW-140253-ref17";"60,00";"30,00";"30,00"
"TUW-140253-ref18";"37,50";"21,43";"21,43"
"TUW-140253-ref19";"60,00";"42,86";"42,86"
"TUW-140253-ref20";"70,00";"38,89";"38,89"
"TUW-140253-ref22";"65,00";"33,33";"32,86"
"TUW-140253-ref24";"37,50";"15,00";"15,00"
"TUW-140253-ref25";"60,00";"42,86";"42,86"
"TUW-140253-ref26";"60,00";"30,00";"30,00"
"TUW-140253-ref27";"60,00";"33,33";"33,33"
"TUW-140253-ref28";"25,00";"10,00";"10,00"
"TUW-140253-ref29";"60,00";"42,86";"42,86"
"TUW-140253-ref30";"37,50";"21,43";"21,43"
"TUW-140253-ref31";"25,00";"14,29";"12,50"
"TUW-140253-ref32";"37,50";"16,67";"16,67"
"TUW-140253-ref33";"33,33";"10,00";"10,00"
"TUW-140253-ref34";"60,00";"30,00";"30,00"
"TUW-140253-ref35";"50,00";"28,57";"28,57"
"TUW-140308-ref1";"75,00";"60,00";"50,00"
"TUW-140308-ref2";"88,89";"66,67";"66,67"
"TUW-140308-ref3";"94,44";"70,83";"70,83"
"TUW-140308-ref4";"100,00";"87,50";"87,50"
"TUW-140533-ref1";"18,57";"18,18";"16,07"
"TUW-140533-ref4";"87,50";"74,07";"75,56"
"TUW-140533-ref5";"83,33";"60,71";"61,54"
"TUW-140533-ref9";"20,00";"16,67";"14,29"
"TUW-140533-ref10";"20,00";"16,67";"14,29"
"TUW-140533-ref13";"25,00";"33,33";"20,00"
"TUW-140533-ref15";"57,14";"36,67";"38,00"
"TUW-140533-ref17";"80,00";"61,11";"63,33"
"TUW-140533-ref22";"66,67";"50,00";"46,15"
"TUW-140533-ref24";"44,44";"40,00";"33,33"
"TUW-140533-ref25";"75,00";"60,00";"60,00"
"TUW-140533-ref26";"66,67";"33,33";"33,33"
"TUW-140533-ref27";"33,33";"16,67";"16,67"
"TUW-140533-ref28";"90,00";"66,67";"67,69"
"TUW-140533-ref29";"80,00";"64,58";"65,48"
"TUW-140533-ref30";"50,00";"35,00";"30,95"
"TUW-140533-ref31";"75,00";"55,00";"57,14"
"TUW-140533-ref32";"75,00";"55,00";"57,14"
"TUW-140533-ref34";"25,00";"16,67";"16,67"
"TUW-140533-ref35";"50,00";"40,00";"33,33"
"TUW-140533-ref38";"50,00";"33,33";"33,33"
"TUW-140533-ref39";"25,00";"16,67";"14,29"
"TUW-140867-ref1";"86,36";"69,09";"69,09"
"TUW-140867-ref2";"100,00";"83,33";"83,33"
"TUW-140867-ref3";"100,00";"83,33";"83,33"
"TUW-140867-ref4";"100,00";"83,33";"83,33"
"TUW-140867-ref5";"66,67";"57,14";"50,00"
"TUW-140867-ref6";"100,00";"83,33";"83,33"
"TUW-140867-ref7";"80,00";"66,67";"66,67"
