"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml"")";"";"";"none extracted value";"none expected";"NA"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml"")";"Introduction --- 1
Where does the complexity come from? --- 4
Conclusions --- 5
The case study --- 2
Linking: the relation between a formal and informal guideline --- 3";"AAP. American Academy of Pediatrics, Provisional Committee for Quality Improvement --- 1.
M. Field and K. Lohr. Clinical Practice Guidelines: Directions for a New Program. Institute --- 2.
Conclusions --- 5
The case study --- 2";"50,00";"40,00";"44,44"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml"")";"Radial basis function networks --- 3.3.
Forward selection --- 3.5.
Basis functions --- 3.2.
Neural networks --- 3.1.
Results --- 5.2.
INTRODUCTION --- 1.
PROPOSED MODEL --- 4.
Training and test sets --- 5.1.
STATE OF THE ART --- 2.
Linear network models --- 3.4.
BACKGROUND --- 3.
Non–linear network models --- 3.6.
Modified estimator for RBFN weights --- 4.1.
Our algorithm --- 4.2.
CONCLUSION AND FUTURE WORK --- 6.
EXPERIMENTAL RESULTS --- 5.";"0 F --- 1
19.344 --- 6.516
10.714 --- 4.607
18.794 --- 5.396
Forward selection --- 3.5.
Basis functions --- 3.2.
11.187 --- 5.182
PROPOSED MODEL --- 4.
6 --- 0
Linear network models --- 3.4.
@ 9 A "" --- 8
¦ ¥ --- 0
¨ ¥¥ --- 0
10.111 --- 3.176
¨ § --- 0
7 --- 6
10.268 --- 1.901
18.995 --- 5.728
¤ --- 7
¦ © --- 7
¦ ¥¥¢ --- 0
¢ ¡ ¤ £ --- 0
¡ © --- 7
Non-linear network models --- 3.6.
Neural networks --- 3.1.
Results --- 5.2.
Training and test sets --- 5.1.
STATE OF THE ART --- 2.
13.077 --- 5.502
BACKGROUND --- 3.
© 7 3 8 @ 9 A --- 6
10.400 --- 1.851
B --- 4
Modified estimator for RBFN weights --- 4.1.
Our algorithm --- 4.2.
¡B --- 7
19.141 --- 6.610
EXPERIMENTAL RESULTS --- 5.";"34,21";"81,25";"48,15"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml"")";"Visual feature modelling --- 3.3
Overview --- 4.1
Overview --- 3.1
INTRODUCTION --- 1.
Semantic feature enrichment --- 2.2
BACKGROUND --- 2.
FEATURE DERIVATION MODELLING --- 4.
MPEG-7 aggregation and localisation structures --- 2.1
Semantic feature enrichment --- 4.3
General framework design --- 3.2
Implementation details --- 4.4
CONCLUSION --- 5.
THE VIZIR PROJECT --- 3.
Feature aggregation and localisation --- 4.2";"Visual feature modelling --- 3.3
Overview --- 4.1
Overview --- 3.1
Semantic feature enrichment --- 2.2
BACKGROUND --- 2.
FEATURE DERIVATION MODELLING --- 4.
MPEG-7 aggregation and localisation structures --- 2.1
Semantic feature enrichment --- 4.3
General framework design --- 3.2
Implementation details --- 4.4
CONCLUSION --- 5.
THE VIZIR PROJECT --- 3.
Feature aggregation and localisation --- 4.2";"100,00";"92,86";"96,30"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml"")";"Related work --- 2.
Software --- 5.1
Gigabit Ethernet network --- 5.2
Prototype design --- 4.
Basic use cases --- 3.1
Applications and problems of Parallel Video Processing --- 3.
Conclusions and future work --- 6
Acknowledgements --- 7.
Introduction --- 1.
Application use cases --- 3.2
Problem areas --- 3.3
Architecture --- 4.1
Differences of VP to PSVP --- 4.2
Implementation --- 5.";"Related work --- 2.
Software --- 5.1
Gigabit Ethernet network --- 5.2
Prototype design --- 4.
Basic use cases --- 3.1
Applications and problems of Parallel Video Processing --- 3.
Conclusions and future work --- 6.
Acknowledgements --- 7.
References --- 8.
Application use cases --- 3.2
Problem areas --- 3.3
Architecture --- 4.1
Differences of VP to PSVP --- 4.2
A --- 3.
Implementation --- 5.";"80,00";"85,71";"82,76"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml"")";"Design and Implementation --- 4
Introduction --- 1
The Plan Representation Language Asbru --- 2
Related Work --- 3
User Involvement --- 5
Conclusion --- 6";"Design and Implementation --- 4
Introduction --- 1
The Plan Representation Language Asbru --- 2
Related Work --- 3
User Involvement --- 5
Conclusion --- 6";"100,00";"100,00";"100,00"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml"")";"Functions and terminals --- 5.2.1
Introduction --- 1
Basic terminology --- 3.1.1
Flowchart of a simple genetic algorithm --- 3.1.2
Some definitions and basic models --- 2.1.1
New classes and functions --- 6.2
Setting of the test environment --- 7.1.1
Future issues --- 8.3
Strategic decisions of the new approach --- 5
Additional functions --- 6.2.1
Summary of the result --- 8.2
Implementation details --- 6
Test results --- 7.1.2
The GARCH model --- 2.2.2
Overview of Genetic Programming --- 3
MyPopulation --- 6.2.6
Creation of the initial population --- 3.2.2
Genetic Programming --- 4.3
GPOPdata --- 6.2.2
Comparison of the result with [DS01] --- 7.3.2
Markov chain approximation --- 4.2
Bloat control --- 3.2.5
Overview UML diagram --- 6.3
GNU Scientific Library --- 6.1.3
GARCH process --- 5.1
Additional settings --- 3.1.3
Libraries --- 6.1
Neural networks --- 4.1
The original process --- 7.2.3
Setting of the Genetic Algorithm --- 7.2.1
Comparison of the result with [Han98] --- 7.3.1
Basic approaches in option pricing --- 2.1
New approaches --- 8.1
Terminal set and function set --- 3.2.1
A random number generator library --- 6.1.2
Utilization of the ADFs and the hybrid approaches --- 7.1.3
MyGPVariables --- 6.2.3
Fitness function and bloat control --- 5.2.2
Genetic operations --- 3.2.3
Discrete-time stochastic processes --- 2.2.1
Population size, number of generations and mutation --- 5.2.3
Comparison of the best equation found with the original process --- 7.2
Discrete-time stochastic processes and the GARCH model --- 2.2
Control parameters --- 3.2.6
Statistics of the identification of the best configuration --- 7.1
MyGene --- 6.2.4
Executables --- 6.2.7
Genetic algorithms --- 3.1
Conclusion --- 8
Genetic Programming --- 3.2
Genetic Programming --- 5.2
MyGP --- 6.2.5
The Black-Scholes formula --- 2.1.2
Monte Carlo simulation of a GARCH process --- 2.2.3
A survey of existing approaches in option pricing --- 4
Results and statistics --- 7
The Genetic Programming kernel --- 6.1.1
Comparison of the result with [Keb99] --- 7.3.3
The result --- 7.2.2
Option pricing --- 2
Comparison of the results with other approaches --- 7.3
Automatic defined functions and hybrid approaches --- 5.2.4
Automatic defined functions --- 3.2.4";"Functions and terminals --- 5.2.1
1..* 1..* --- 1
Basic terminology --- 3.1.1
Random --- 1
Some definitions and basic models --- 2.1.1
New classes and functions --- 6.2
Future issues --- 8.3
Additional functions --- 6.2.1
Summary of the result --- 8.2
Test results --- 7.1.2
The GARCH model --- 2.2.2
Average --- 0.00460
MyPopulation --- 6.2.6
0.01086 --- 0.00085
Creation of the initial population --- 3.2.2
Genetic Programming --- 4.3
GPOPdata --- 6.2.2
Markov chain approximation --- 4.2
Bloat control --- 3.2.5
Statistics --- 7.1
Overview UML diagram --- 6.3
GNU Scientific Library --- 6.1.3
GARCH process --- 5.1
Y --- 2
Comparison --- 7.3.3
Comparison --- 7.3.2
Additional settings --- 3.1.3
Libraries --- 6.1
1 --- 1
Neural networks --- 4.1
60 --- 30
Setting of the Genetic Algorithm --- 7.2.1
New approaches --- 8.1
A random number generator library --- 6.1.2
Utilization of the ADFs and the hybrid approaches --- 7.1.3
Population --- 5.2.3
MyGPVariables --- 6.2.3
Fitness function and bloat control --- 5.2.2
x --- 2
60 --- 0.01000
Genetic operations --- 3.2.3
Control parameters --- 3.2.6
MyGene --- 6.2.4
Executables --- 6.2.7
Genetic algorithms --- 3.1
Genetic Programming --- 3.2
Genetic Programming --- 5.2
MyGP --- 6.2.5
The Black-Scholes formula --- 2.1.2
Monte Carlo simulation of a GARCH process --- 2.2.3
The Genetic Programming kernel --- 6.1.1
1..* --- 1
The result --- 7.2.2
0..* --- 1
Automatic defined functions and hybrid approaches --- 5.2.4
Automatic defined functions --- 3.2.4";"73,21";"65,08";"68,91"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml"")";"Soft vs. Hard Variable Fixing --- 3.1
COIN/BCP patches --- A
The BCP_lp_user Class --- 5.6.2
Branch and Cut --- 2
Creating a KS MetaHeuristic Object --- 8.1.5
Controlling Local Branching --- 6.3
Test Scripts --- B
The LocalTreeManager --- 6.2.2
KS MetaHeuristic Implementation --- 8.4
Greedy Heuristics --- 7.2.1
Test File Format --- 8.1.1
Online Performance --- 9.2.2
Cutting Plane Algorithms --- 2.3
Evolutionary Algorithms --- 7.2.4
History --- 5.1.1
Generating Cuts --- 8.2.2
Cut Generation --- 9.4.2
TM/BCP tm functions --- A.4.2
COIN/BCP --- 5
Imposing Node Limits on Local Trees --- 8.4.4
Managing the LP Relaxation --- 5.4.2
COIN Overview --- 5.1
TM/BCP_tm_functions.cpp --- A.2.3
Integrating Local Branching into COIN/BCP --- 6.1
Extending the Basic Algorithm --- 4.2
Branch and Cut --- 2.4
Utilizing the Extensions --- 4.2.4
Branch and Bound --- 2.2
Sending the Problem Description to the LP Module --- 8.1.4
Extending the Candidate List --- A.2
Local Branching Extensions --- 3.3
Tightening the Search Tree by Variable Fixing --- 4.2.3
Components --- 5.1.2
Packing and Unpacking of Cuts --- 8.1.3
Configuring Local Branching --- 8.4.1
Counting Pruned Nodes --- A.3
TM/BCP tm msgproc.cpp --- A.3.2
Implementation of the Framework --- 6
Setting up Local Branching --- 8.4.2
Aborting Local Trees --- A.4
The LB tm Module --- 6.1.2
A Basic Local Branching Framework --- 3.2
Test Environment --- 9.1
Hybrid Algorithms --- 7.2.3
The Variable Generator Module --- 5.3.4
Relaxations --- 2.1.2
Generating Feasible Solutions --- 8.2.1
Aborting Local Trees --- 4.2.2
Relaxation-Based Heuristics --- 7.2.2
The Cut Generator Module --- 5.3.3
Introduction --- 1
Identifying Local Tree Nodes --- 6.1.1
The LocalTreeIndex --- 6.2.1
Final Objective Comparison --- 9.2.1
Analyzing Log Files --- B.2
Developing Applications with COIN/BCP --- 5.6
include/BCP tm node.hpp --- A.4.1
Variables and Cuts --- 5.2.1
KS lp Implementation --- 8.2
Creating the Initial Solution --- 8.4.3
COIN/BCP modules --- 5.3
Multidimensional Knapsack Problems --- 7.1.2
Generating Log Files --- B.1
Branching --- 5.4.3
Local Branching --- 3
KS tm implementation --- 8.1
Fault Tolerance --- 5.5.2
Setting up the Core Matrix --- 8.1.2
Design of COIN/BCP --- 5.2
Local Branching and Node Limits --- 9.4.1
Algorithms for Knapsack Problems --- 7.1.1
An Advanced Local Branching Framework --- 4
Limitations --- 4.1.1
Thesis Overview --- 1.1
KS init Implementation --- 8.3
Test Results --- 9
The BCP_tm_user Class --- 5.6.1
Convex Hull of an Integer Program --- 2.1.1
Managing Local Trees --- 6.2
The Linear Programming Module --- 5.4
Parallelizing COIN/BCP --- 5.5
Inter-Process Communication --- 5.5.1
Introduction --- 7.1
Implementing a Basic Local Branching Algorithm --- 6.3.1
Local Branching Configurations --- 9.3
Multidimensional Knapsack Problems --- 7
Adding User-Defined Messages --- A.1
Multiple Initial Solutions --- 9.4.3
A Sample Application: MD-KP --- 8
Basic Functionality --- 4.1
include/BCP_tm_node.cpp --- A.2.2
Heuristic Algorithms --- 7.2
include/BCP_tm_node.hpp --- A.2.1.
Summary and Outlook --- 10
Using Multiple Local Trees --- 4.2.1
Long Runs --- 9.5
The LP Engine --- 5.4.1
Integer Programming Problems --- 2.1
Test Results Overview --- 9.2
TM/BCP tm msg node rec.cpp --- A.3.1
The LB lp Module --- 6.1.3
The Linear Programming Module --- 5.3.2
Short-Time Tests --- 9.4
Finishing Touches --- 8.5
The Tree Manager Module --- 5.3.1
Handling Terminated Local Trees --- 8.4.5";"Soft vs. Hard Variable Fixing --- 3.1
11 64 --- 0
Identifying Local Tree Nodes --- 6.1.1
The LocalTreeIndex --- 6.2.1
The BCP tm user Class --- 5.6.1
Creating a KS MetaHeuristic Object --- 8.1.5
Final Objective Comparison --- 9.2.1
Controlling Local Branching --- 6.3
Developing Applications with COIN/BCP --- 5.6
The LocalTreeManager --- 6.2.2
Variables and Cuts --- 5.2.1
KS lp Implementation --- 8.2
KS MetaHeuristic Implementation --- 8.4
Creating the Initial Solution --- 8.4.3
216800 --- 0.9
COIN/BCP modules --- 5.3
Multidimensional Knapsack Problems --- 7.1.2
Greedy Heuristics --- 7.2.1
Test File Format --- 8.1.1
1 24 --- 0
Branching --- 5.4.3
Online Performance --- 9.2.2
Cutting Plane Algorithms --- 2.3
Evolutionary Algorithms --- 7.2.4
KS tm implementation --- 8.1
History --- 5.1.1
Fault Tolerance --- 5.5.2
Generating Cuts --- 8.2.2
Cut Generation --- 9.4.2
Setting up the Core Matrix --- 8.1.2
Design of COIN/BCP --- 5.2
Local Branching and Node Limits --- 9.4.1
Imposing Node Limits on Local Trees --- 8.4.4
Managing the LP Relaxation --- 5.4.2
Algorithms for Knapsack Problems --- 7.1.1
0.75 --- 0.8
3 24 --- 0
Limitations --- 4.1.1
Thesis Overview --- 1.1
KS init Implementation --- 8.3
3 37 --- 0
Convex Hull of an Integer Program --- 2.1.1
COIN Overview --- 5.1
Managing Local Trees --- 6.2
3 18 --- 0
The Linear Programming Module --- 5.4
Parallelizing COIN/BCP --- 5.5
Inter-Process Communication --- 5.5.1
Introduction --- 7.1
Implementing a Basic Local Branching Algorithm --- 6.3.1
Integrating Local Branching into COIN/BCP --- 6.1
Local Branching Configurations --- 9.3
Extending the Basic Algorithm --- 4.2
Branch and Cut --- 2.4
Utilizing the Extensions --- 4.2.4
Branch and Bound --- 2.2
Sending the Problem Description to the LP Module --- 8.1.4
Initialize --- 1.
Local Branching Extensions --- 3.3
Tightening the Search Tree by Variable Fixing --- 4.2.3
Repeat --- 3.
Multiple Initial Solutions --- 9.4.3
Basic Functionality --- 4.1
Components --- 5.1.2
Packing and Unpacking of Cuts --- 8.1.3
3 27 --- 0
Configuring Local Branching --- 8.4.1
8 36 --- 0
1 27 --- 0
Setting up Local Branching --- 8.4.2
Heuristic Algorithms --- 7.2
Using Multiple Local Trees --- 4.2.1
Long Runs --- 9.5
Return optimal solution. --- 5.
The LP Engine --- 5.4.1
Integer Programming Problems --- 2.1
The LB tm Module --- 6.1.2
Test Results Overview --- 9.2
A Basic Local Branching Framework --- 3.2
The LB lp Module --- 6.1.3
Test Environment --- 9.1
Hybrid Algorithms --- 7.2.3
The Variable Generator Module --- 5.3.4
Relaxations --- 2.1.2
Returnˆs --- 4.
The Linear Programming Module --- 5.3.2
Generating Feasible Solutions --- 8.2.1
Short-Time Tests --- 9.4
Aborting Local Trees --- 4.2.2
Relaxation-Based Heuristics --- 7.2.2
Finishing Touches --- 8.5
The Tree Manager Module --- 5.3.1
Handling Terminated Local Trees --- 8.4.5
The Cut Generator Module --- 5.3.3";"85,11";"75,47";"80,00"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml"")";"Introduction --- 1
Parallel Execution and Communication --- 5
Computational Experiments --- 6
The Multidimensional Knapsack Problem --- 2
The Memetic Algorithm Part --- 3
The Branch-and-Cut Part --- 4
Conclusions --- 7";"Parallel Execution and Communication --- 5
Computational Experiments --- 6
The Multidimensional Knapsack Problem --- 2
The Memetic Algorithm Part --- 3
The Branch-and-Cut Part --- 4
Conclusions --- 7";"100,00";"85,71";"92,31"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml"")";"Introduction --- 1
Heuristics --- 2.4.2
Greedy Randomized Adaptive Search Procedure --- 3.5
Class move and childs --- 5.2.12
Antenna Assembly Sequence Problem --- 2.5.2
Class lsbase --- 5.2.3
Basic Local Search --- 3.1
Interface gcProvider --- 5.3.4
Functionality --- 4.1
Implementation --- 5
Trace Formulation --- 2.2.3
Class ea_advbase --- 5.2.2
Test Setup and Procedure --- 6.2
Simulated Annealing --- 3.2
Interface tabulistProvider --- 5.3.2
Class qapFeature --- 5.2.15
Class chromosome --- 5.2.1
Conclusions --- 7
Lower Bounds --- 2.3
Class qapChrom --- 5.2.13
Class simulatedAnnealing --- 5.2.5
Overview --- 5.1
Usage --- 5.3
Motivation --- 1.1
Test Cases --- 6.1
Integer Linear Programming --- 2.2.2
Applications --- 2.5
Class localSearch --- 5.2.4
Class tabuSearch --- 5.2.6
Class GRASP --- 5.2.8
Solution Methods --- 2.4
Requirements --- 4
Guided Local Search --- 3.4
Parameters --- 5.3.6
Class feature --- 5.2.9
Experimental Results --- 6
Interface tabuProvider --- 5.3.5
Research Trends --- 2.4.4
Parameter handling --- 5.2.17
Guide to the thesis --- 1.3
Design --- 4.2
Quadratic Assignment Problem --- 2
Exact Algorithms --- 2.4.1
Usability --- 4.3
Steinberg Wiring Problem --- 2.5.1
Permutation Formulation --- 2.2.1
Class guidedLS --- 5.2.7
Results --- 6.3
Problem Description --- 2.1
Class qapTabuAttribute --- 5.2.16
Class tabulist --- 5.2.11
Formulations --- 2.2
Metaheuristics --- 3
Class tabuAttribute --- 5.2.10
Metaheuristics --- 2.4.3
Combinatorial Optimization and Metaheuristics --- 1.2
Class reference --- 5.2
Interface aObjProvider --- 5.3.1
Tabu Search --- 3.3
Class qapInstance --- 5.2.14";"Heuristics --- 2.4.2
sub.eamod --- 0
Antenna Assembly Sequence Problem --- 2.5.2
Class lsbase --- 5.2.3
Optimum --- 58
Basic Local Search --- 3.1
Interface gcProvider --- 5.3.4
Functionality --- 4.1
Trace Formulation --- 2.2.3
Test Setup and Procedure --- 6.2
Simulated Annealing --- 3.2
Interface tabulistProvider --- 5.3.2
Class qapFeature --- 5.2.15
Lower Bounds --- 2.3
Class qapChrom --- 5.2.13
tcgen 5000 --- 0
Class simulatedAnnealing --- 5.2.5
Overview --- 5.1
Usage --- 5.3
Motivation --- 1.1
Test Cases --- 6.1
Integer Linear Programming --- 2.2.2
Applications --- 2.5
Class localSearch --- 5.2.4
Class tabuSearch --- 5.2.6
Class GRASP --- 5.2.8
9.2Simulated Annealing 133.47 Tabu Search 186 0.91 Guided Local --- 2
Solution Methods --- 2.4
Guided Local Search --- 3.4
Parameters --- 5.3.6
Class feature --- 5.2.9
Interface tabuProvider --- 5.3.5
Class ea advbase --- 5.2.2
Research Trends --- 2.4.4
Parameter handling --- 5.2.17
Guide to the thesis --- 1.3
Design --- 4.2
sub.ttime --- 4
Class --- 5.2.1
Exact Algorithms --- 2.4.1
Usability --- 4.3
Steinberg Wiring Problem --- 2.5.1
Permutation Formulation --- 2.2.1
Class guidedLS --- 5.2.7
Results --- 6.3
Problem Description --- 2.1
Class qapTabuAttribute --- 5.2.16
Greedy Randomized Adaptive Search Proce- dure --- 3.5
Class tabulist --- 5.2.11
Formulations --- 2.2
Class tabuAttribute --- 5.2.10
Metaheuristics --- 2.4.3
Combinatorial Optimization and Metaheuris- tics --- 1.2
Class reference --- 5.2
Interface aObjProvider --- 5.3.1
Tabu Search --- 3.3
ttime --- 0
sub.tcgen 500 --- 0
Class qapInstance --- 5.2.14";"86,44";"85,00";"85,71"
