"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml"")";"INTRODUCTION --- ref1
EVALUATION METHODS --- ref6 ref4 ref3 ref5 ref2";"INTRODUCTION --- ref1
EVALUATION METHODS --- ref6 ref4 ref3 ref5 ref2";"100,00";"100,00";"100,00"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml"")";"Linking: the relation between a formal and informal guideline --- ref5 ref6
Introduction --- ref2 ref3 ref7 ref9 ref5
The case study --- ref9 ref10 ref1 ref8 ref9 ref4 ref10";"Linking: the relation between a formal and informal guideline --- ref5 ref6
Where does the complexity come from? --- ref4 ref6
Introduction --- ref2 ref3 ref7 ref10 ref5 ref2
The case study --- ref10 ref11 ref1 ref8 ref10 ref4 ref11";"75,00";"100,00";"85,71"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml"")";"Results --- ref9 ref7 ref11 ref19 ref15 ref10 ref6 ref9 ref7 ref11 ref19 ref13 ref13 ref10 ref6 ref6 ref10
Linear network models --- ref15
Forward selection --- ref15 ref18 ref9 ref7 ref11 ref19 ref14
STATE OF THE ART --- ref16 ref3 ref20 ref2 ref15 ref4 ref6 ref10 ref6
Neural networks --- ref5 ref1 ref5 ref15 ref1
Training and test sets --- ref13
Non–linear network models --- ref6 ref10 ref6 ref6 ref10
Basis functions --- ref15
Radial basis function networks --- ref4
INTRODUCTION --- ref8
BACKGROUND --- ref15
Modified estimator for RBFN weights --- ref6 ref4 ref12 ref17 ref6";"£ --- ref19 ref20";"0,00";"0,00";"0,00"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml"")";"INTRODUCTION --- ref1 ref2
MPEG-7 aggregation and localisation structures --- ref4
General framework design --- ref5 ref2 ref3
Overview --- ref5 ref6
Implementation details --- ref7";"INTRODUCTION --- ref1 ref2
MPEG-7 aggregation and localisation structures --- ref4
General framework design --- ref5 ref2 ref3
Overview --- ref5
Implementation details --- ref6";"80,00";"80,00";"80,00"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml"")";"Introduction --- ref4 ref5 ref6
Software --- ref3
Conclusions and future work --- ref6
Related work --- ref2 ref1 ref7 ref4 ref5 ref6 ref6 ref5 ref4";"Introduction --- ref4 ref5 ref6
Software --- ref3
Conclusions and future work --- ref6
Related work --- ref2 ref1 ref7 ref4 ref5 ref6 ref6 ref5 ref4";"100,00";"100,00";"100,00"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml"")";"The Plan Representation Language Asbru --- ref8 ref5
Related Work --- ref6 ref11 ref3 ref9 ref7
Introduction --- ref4 ref10
Design and Implementation --- ref1 ref2";"The Plan Representation Language Asbru --- ref8 ref4
Related Work --- ref6 ref2 ref7 ref1 ref2
Introduction --- ref3 ref10";"0,00";"0,00";"0,00"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml"")";"Overview of Genetic Programming --- Koz92 Hol75
Fitness function and bloat control --- Koz92 PL04 PL04 PL04
Additional settings --- Rey92 Hol75 Fra94
Control parameters --- Koz92 Koz92
Option pricing --- Hul02 Nef00
Population size, number of generations and mutation --- Koz92 Keb99
Monte Carlo simulation of a GARCH process --- Dua95 GS96 Dua95 BBG97 BBG97 DS95 BBG97
Functions and terminals --- Keb99 Nol97
Terminal set and function set --- Koz92
Genetic operations --- Koz92 Fra94 Fra94 KBAK99 KBAK99
Introduction --- BCK92 Hol75 Koz92 K+03 Han98 DS01
GPOPdata --- Wei97
The Black-Scholes formula --- Hul02 Nef00 BS73 Nef00
Creation of the initial population --- Koz92 Fra94
Neural networks --- Han98 Han97 Han97 Han97
Discrete-time stochastic processes --- Hul02
The GARCH model --- Bol86 Eng82 BCK92 Han98
Some definitions and basic models --- Nef00 Hul02 Hul02 Hul02
Genetic algorithms --- BFM97 Mic92 Hol75 Koz92 Mic92
Automatic defined functions --- Koz94 KBAK99 KBAK99
Bloat control --- PL04 PL04 Koz92 PL04
Genetic Programming --- Keb99 Hul02
Comparison of the result with [DS01] --- DS01 DS01 DS01 DS01
Future issues --- DS01
Basic terminology --- Mic92 Mic92 Koz92
Strategic decisions of the new approach --- Koz92
A survey of existing approaches in option pricing --- Han97 DS95 Keb99
Comparison of the result with [Keb99] --- Keb99 Keb99 Keb99
Comparison of the result with [Han98] --- Han98 Han98 Han98
A random number generator library --- Dav02 Dav02 Dav02
GNU Scientific Library --- G+04 G+04
Libraries --- Str98
Genetic Programming --- Koz92 BNKF98 KBAK99
GARCH process --- Han98
New classes and functions --- Nol97 Zol86
Markov chain approximation --- DS01 Han98 DS01 DS01 Keb99
The Genetic Programming kernel --- Sin94 Fra94 Wei97 Obj03 Wei97 Wei97 Wei97 Wei97
Test results --- Vie97";"Monte Carlo simulation of a GARCH process --- ref20 ref24 ref20 ref11 ref11 ref18 ref11
Markov chain approximation --- ref19
Genetic algorithms --- ref13 ref34 ref32 ref34
Additional settings --- ref39 ref27 ref22
Bloat control --- ref38 ref38 ref32 ref32 ref25 ref18 ref31
A random number generator library --- ref17 ref17
Functions and terminals --- ref31 ref36
The Black-Scholes formula --- ref28 ref35 ref16 ref35
Genetic Programming --- ref31 ref28
• Swaps --- ref28 ref28 ref28
Creation of the initial population --- ref32
Chapter 2 Option pricing --- ref28 ref35
Genetic operations --- ref32 ref22 ref22 ref30 ref30
Fitness function and bloat control --- ref32 ref38 ref38 ref38
Population size, number of generations and mutation --- ref32 ref31
Grow: --- ref22
Genetic Programming --- ref32 ref14 ref30 ref1 ref32
The Genetic Programming kernel --- ref40 ref22 ref43 ref37 ref43 ref43
Overview of Genetic Programming --- ref32 ref27
Discrete-time stochastic processes --- ref28
GNU Scientific Library --- ref36 ref44
Some definitions and basic models --- ref35
Neural networks --- ref25 ref25 ref25 ref19
Basic terminology --- ref34 ref34
Libraries --- ref41
GARCH process --- ref26
Comparison of the result with [DS01] --- ref19 ref19 ref31 ref31 ref31
Comparison of the result with [Han98] --- ref26 ref26
Automatic defined functions --- ref33 ref30 ref1 ref30
Introduction --- ref12 ref27 ref32 ref26 ref19 ref1
Future issues --- ref19
The GARCH model --- ref15 ref21 ref12 ref26
Overview UML diagram --- ref1 ref42
Test results --- ref5";"0,00";"0,00";"0,00"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml"")";"Branch and Cut --- ref31
Thesis Overview --- ref13
Long Runs --- ref2 ref14
Local Branching Extensions --- ref13 ref8
Generating Log Files --- ref2
Local Branching --- ref13
Greedy Heuristics --- ref38 ref37 ref38
Test File Format --- ref6
Cutting Plane Algorithms --- ref30 ref15 ref16 ref7 ref30 ref10 ref11 ref1 ref5
Evolutionary Algorithms --- ref33 ref34 ref35 ref6 ref9 ref18 ref17 ref33 ref39
Local Branching and Node Limits --- ref2
Algorithms for Knapsack Problems --- ref32 ref23 ref19
Relaxation-Based Heuristics --- ref3
Introduction --- ref25 ref30 ref13
Design of COIN/BCP --- ref36
Branch and Cut --- ref26 ref29 ref36 ref42
MK-gk11: 2500 variables, 100 constraints --- ref14
Multidimensional Knapsack Problems --- ref24 ref4
Hybrid Algorithms --- ref27 ref40 ref41
Introduction --- ref21
History --- ref12
Developing Applications with COIN/BCP --- ref36 ref36
Branch and Bound --- ref25 ref20
Tightening the Search Tree by Variable Fixing --- ref8
Test Results --- ref2 ref14
Relaxations --- ref22 ref20
COIN/BCP --- ref28";"Branch and Cut --- ref31
Thesis Overview --- ref13
Basic Functionality --- ref4
Long Runs --- ref2 ref14
Cutting Plane Algorithms --- ref30 ref4 ref15 ref16 ref7 ref30 ref4 ref10 ref11 ref1 ref5
Local Branching Extensions --- ref13 ref8
Local Branching --- ref13
Greedy Heuristics --- ref38 ref37 ref38
Test File Format --- ref6
A.2.1 include/BCP tm node.hpp --- ref1
Multidimensional Knapsack Problems --- ref10 ref4
Evolutionary Algorithms --- ref33 ref34 ref35 ref6 ref9 ref18 ref17 ref33 ref39
Local Branching and Node Limits --- ref2
Algorithms for Knapsack Problems --- ref32 ref23 ref19
Relaxation-Based Heuristics --- ref3
Mknapcb7: 100 variables, 30 constraints --- ref2
Introduction --- ref25 ref30 ref13
Design of COIN/BCP --- ref36
Branch and Cut --- ref26 ref29 ref36 ref42
MK-gk11: 2500 variables, 100 constraints --- ref14
Branch and Bound --- ref25 ref25
Hybrid Algorithms --- ref27 ref40 ref41
Introduction --- ref21
History --- ref12
Developing Applications with COIN/BCP --- ref36 ref36
Tightening the Search Tree by Variable Fixing --- ref8
Test Results --- ref2 ref14
Relaxations --- ref22 ref20
COIN/BCP --- ref28";"86,21";"92,59";"89,28"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml"")";"The Branch-and-Cut Part --- ref7 ref8 ref1 ref2 ref7 ref8
The Multidimensional Knapsack Problem --- ref4 ref7 ref8 ref8 ref6 ref1
Computational Experiments --- ref7 ref8 ref7 ref8 ref8 ref7 ref8 ref7 ref8 ref7 ref8 ref8
The Memetic Algorithm Part --- ref5 ref3 ref6 ref3 ref1";"Introduction 2 The Multidimensional Knapsack Problem --- ref1 ref2 ref4 ref7 ref8 ref8 ref6 ref1
Computational Experiments --- ref7
Vienna, Austria, August 22-26, 2005 --- ref7 ref8 ref8 ref7 ref8 ref7 ref8 ref7 ref8 ref8
The Memetic Algorithm Part --- ref5 ref3 ref6 ref3 ref1
The Branch-and-Cut Part --- ref7 ref8 ref1 ref2";"40,00";"50,00";"44,44"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml"")";"Test Cases --- ref7 ref34
Class qapChrom --- ref26
Trace Formulation --- ref10
Heuristics --- ref15
Exact Algorithms --- ref13 ref5 ref2
Metaheuristics --- ref16 ref19 ref4
Lower Bounds --- ref15 ref25 ref1 ref36
Simulated Annealing --- ref22 ref8 ref31 ref21
Problem Description --- ref27 ref24
Quadratic Assignment Problem --- ref23 ref27 ref39 ref20 ref14 ref5 ref27
Greedy Randomized Adaptive Search Procedure --- ref11 ref12 ref12 ref26 ref37 ref38
Basic Local Search --- ref28 ref29 ref30
Steinberg Wiring Problem --- ref40 ref6
Applications --- ref23
List of Figures --- ref33
Tabu Search --- ref16 ref41 ref3 ref17 ref18
Requirements --- ref35
Guided Local Search --- ref43 ref44 ref32 ref44 ref42 ref45
Experimental Results --- ref7 ref34
Formulations --- ref27 ref9
Parameters --- ref7
Antenna Assembly Sequence Problem --- ref33 ref33
Integer Linear Programming --- ref23";"Antenna Assembly Sequence Problem --- ref48 ref24
Simulated Annealing --- ref37 ref23 ref36
Algorithm 4: Tabu Search --- ref32 ref33
Guided Local Search --- ref58 ref59
Lower Bounds --- ref30 ref40 ref16 ref51
Chapter 4 Requirements --- ref50
Experimental Results --- ref22 ref49
Steinberg Wiring Problem --- ref55 ref21 ref21
Tabu Search --- ref31 ref56 ref16
Class localSearch --- ref34
Metaheuristics --- ref31 ref34
Applications --- ref38
Exact Algorithms --- ref28 ref20 ref17
Greedy Randomized Adaptive Search Procedure --- ref26 ref27 ref27 ref41 ref52 ref53
Guided Local Search --- ref40
Algorithm 5: Guided Local Search --- ref57 ref60
Test Cases --- ref22 ref49
Heuristics --- ref30 ref34
Formulations --- ref42 ref24
Algorithm 1: Basic Local Search --- ref43 ref44 ref45
Problem Description --- ref42
Chapter 2 Quadratic Assignment Problem --- ref38 ref42 ref54 ref35 ref29 ref20 ref42
Default: 10 --- ref22
Integer Linear Programming --- ref38";"0,00";"0,00";"0,00"
"TUW-140047";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-140047.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-140047-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\grobid\grobid-TUW-140047-xstream.xml"")";"Introduction --- ref1 ref2
Audio Cover Song Identification --- ref3
Audio Feature Extraction --- ref3 ref4 ref2 ref5";"Introduction --- ref1 ref2
MIREX 2006 Tasks --- ref1
Statistics --- ref3
Audio Feature Extraction --- ref3 ref4 ref2 ref5
Statistics --- ref5";"40,00";"66,67";"50,00"
