"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-137078-xstream.xml"")";"INTRODUCTION
EVALUATION METHODS
RESULTS
CONCLUSION
ACKNOWLEDGEMENTS";"INTRODUCTION
RESULTS
CONCLUSION
ACKNOWLEDGEMENTS";"100,00";"80,00";"88,89"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138011-xstream.xml"")";"Introduction
The case study
Linking: the relation between a formal and informal guideline
Where does the complexity come from?
Conclusions";"1 Introduction
2 The case study
3 Linking: the relation between a formal and informal guideline
4 Where does the complexity come from?
5 Conclusions";"100,00";"100,00";"100,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138447-xstream.xml"")";"INTRODUCTION
STATE OF THE ART
BACKGROUND
Neural networks
Basis functions
Radial basis function networks
Linear network models
Forward selection
Non–linear network models
PROPOSED MODEL
Modified estimator for RBFN weights
Our algorithm
EXPERIMENTAL RESULTS
Training and test sets
Results
CONCLUSION AND FUTURE WORK
Alessandro Artusi
Alexander Wilkie";"1. INTRODUCTION
2. STATE OF THE ART
3. BACKGROUND
4. PROPOSED MODEL
5. EXPERIMENTAL RESULTS
6. CONCLUSION AND FUTURE WORK
TABLES";"85,71";"33,33";"48,00"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138544-xstream.xml"")";"INTRODUCTION
BACKGROUND
MPEG-7 aggregation and localisation structures
Semantic feature enrichment
THE VIZIR PROJECT
Overview
General framework design
Visual feature modelling
FEATURE DERIVATION MODELLING
Overview
Feature aggregation and localisation
Semantic feature enrichment
Implementation details
CONCLUSION";"1. INTRODUCTION
2. BACKGROUND
2.1 MPEG-7
3. THE VIZIR PROJECT
4. FEATURE DERIVATION MODELLING
4.4 Implementation details
5. CONCLUSION
ACKNOWLEDGEMENTS";"75,00";"42,86";"54,55"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138547-xstream.xml"")";"Introduction
Related work
Applications and problems of Parallel Video Processing
Basic use cases
Application use cases
Problem areas
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network
Conclusions and future work
Acknowledgements";"1. Introduction
2. Related work
3. Applications and problems of Parallel Video Processing
4. Prototype design
5. Implementation
6. Conclusions and future work
7. Acknowledgements";"100,00";"50,00";"66,67"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139299-xstream.xml"")";"Introduction
The Plan Representation Language Asbru
Related Work
Design and Implementation
User Involvement
Conclusion";"1 Introduction
2 The Plan Representation Language Asbru
3 Related Work
5 User Involvement";"100,00";"66,67";"80,00"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139761-xstream.xml"")";"Abstract
Zusammenfassung
Acknowledgements
Contents
Introduction
Option pricing
Basic approaches in option pricing
Some definitions and basic models
The Black-Scholes formula
Discrete-time stochastic processes and the GARCH model
Discrete-time stochastic processes
The GARCH model
Monte Carlo simulation of a GARCH process
Overview of Genetic Programming
Genetic algorithms
Basic terminology
Flowchart of a simple genetic algorithm
Additional settings
Genetic Programming
Terminal set and function set
Creation of the initial population
Genetic operations
Automatic defined functions
Bloat control
Control parameters
A survey of existing approaches in option pricing
Neural networks
Markov chain approximation
Genetic Programming
Strategic decisions of the new approach
GARCH process
Genetic Programming
Functions and terminals
Fitness function and bloat control
Population size, number of generations and mutation
Automatic defined functions and hybrid approaches
Implementation details
Libraries
The Genetic Programming kernel
A random number generator library
GNU Scientific Library
New classes and functions
Additional functions
GPOPdata
MyGPVariables
MyGene
MyGP
MyPopulation
Executables
Overview UML diagram
Results and statistics
Statistics of the identification of the best configuration
Setting of the test environment
Test results
Utilization of the ADFs and the hybrid approaches
Comparison of the best equation found with the original process
Setting of the Genetic Algorithm
The result
The original process
Comparison of the results with other approaches
Comparison of the result with [Han98]
Comparison of the result with [DS01]
Comparison of the result with [Keb99]
Conclusion
New approaches
Summary of the result
Future issues
List of Figures
List of Tables";"Acknowledgements
Contents
1 Introduction 2 Option pricing
3 Overview of Genetic Programming
4 A survey of existing approaches in option pricing
5 Strategic decisions of the new approach
6 Implementation details
7 Results and statistics
8 Conclusion
Chapter 1 Introduction
Chapter 2 Option pricing
Chapter 3 Overview of Genetic Programming
Grow:
Ramped
Ramped
Ramped
Chapter 4 A survey of existing approaches in option pricing
Chapter 5 Strategic decisions of the new approach
Chapter 6 Implementation details
Chapter 7 Results and statistics
Chapter 8 Conclusion
List of Figures
List of Tables";"43,48";"14,49";"21,74"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139769-xstream.xml"")";"Introduction
Thesis Overview
Branch and Cut
Integer Programming Problems
Convex Hull of an Integer Program
Relaxations
Branch and Bound
Cutting Plane Algorithms
Branch and Cut
Local Branching
Soft vs. Hard Variable Fixing
A Basic Local Branching Framework
Local Branching Extensions
An Advanced Local Branching Framework
Basic Functionality
Limitations
Extending the Basic Algorithm
Using Multiple Local Trees
Aborting Local Trees
Tightening the Search Tree by Variable Fixing
Utilizing the Extensions
COIN/BCP
COIN Overview
History
Components
Design of COIN/BCP
Variables and Cuts
COIN/BCP modules
The Tree Manager Module
The Linear Programming Module
The Cut Generator Module
The Variable Generator Module
The Linear Programming Module
The LP Engine
Managing the LP Relaxation
Branching
Parallelizing COIN/BCP
Inter-Process Communication
Fault Tolerance
Developing Applications with COIN/BCP
The BCP_tm_user Class
The candidate queue
The BCP_lp_user Class
Implementation of the Framework
Integrating Local Branching into COIN/BCP
Identifying Local Tree Nodes
The LB tm Module
The LB lp Module
Creating the Hamming distance cut
Managing Local Trees
The LocalTreeIndex
The LocalTree class
The LocalTreeIndex class
The LocalTreeManager
Controlling Local Branching
Implementing a Basic Local Branching Algorithm
Multidimensional Knapsack Problems
Introduction
Algorithms for Knapsack Problems
Multidimensional Knapsack Problems
Heuristic Algorithms
Greedy Heuristics
Relaxation-Based Heuristics
Hybrid Algorithms
Evolutionary Algorithms
A Sample Application: MD-KP
KS tm implementation
Test File Format
Setting up the Core Matrix
Packing and Unpacking of Cuts
Sending the Problem Description to the LP Module
Creating a KS MetaHeuristic Object
KS lp Implementation
Generating Feasible Solutions
Generating Cuts
KS init Implementation
KS MetaHeuristic Implementation
Configuring Local Branching
Setting up Local Branching
Creating the Initial Solution
Imposing Node Limits on Local Trees
Handling Terminated Local Trees
Finishing Touches
Test Results
Test Environment
Test Results Overview
Final Objective Comparison
Online Performance
Local Branching Configurations
Short-Time Tests
Local Branching and Node Limits
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
MK-gk11: 2500 variables, 100 constraints
Cut Generation
Mknapcb7: 100 variables, 30 constraints
Multiple Initial Solutions
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
Long Runs
Summary and Outlook
COIN/BCP patches
Adding User-Defined Messages
Extending the Candidate List
include/BCP_tm_node.hpp
include/BCP_tm_node.cpp
TM/BCP_tm_functions.cpp
Counting Pruned Nodes
TM/BCP tm msg node rec.cpp
TM/BCP tm msgproc.cpp
Aborting Local Trees
include/BCP tm node.hpp
TM/BCP tm functions
Test Scripts
Generating Log Files
Analyzing Log Files";"Abstract
Zusammenfassung
Contents
1 Introduction
4
2 Branch and Cut
6
3 Local Branching
11
4 An Advanced Local Branching Framework
16
5 COIN/BCP
21
6 Implementation of the Framework
29
7 Multidimensional Knapsack Problems
39
8 A Sample Application: MD-KP
44
9 Test Results
57
10 Summary and Outlook A COIN/BCP patches
73 74
B Test Scripts
80
82
Introduction
Branch and Cut
Local Branching
An Advanced Local Branching Framework
COIN/BCP
The candidate queue
Implementation of the Framework
–
–
Creating the Hamming distance cut
The LocalTree class
The LocalTreeIndex class
Multidimensional Knapsack Problems
A Sample Application: MD-KP
– – – –
– –
Test Results
Mknapcb7: 100 variables, 30 constraints
(1) (2) (3)
Mknapcb8: 250 variables, 30 constraints
(1) (2) (3)
Mknapcb9: 500 variables, 30 constraints
(1) (2) (3)
MK-gk11: 2500 variables, 100 constraints
(1)
(2) (3) (4)
Mknapcb7: 100 variables, 30 constraints
(1) (2) (3)
56824 35914.54 58364 36878.71 56508 35706.59 56930 56930 56930 35989.96 35989.96 35989.96 56629 35783.77 57146 57146 57146 35983.42 35983.42 35983.42 56219 35524.30 56413 35650.11 57429 36278.42 56447 56447 35659.16 107746 68108.02 108336 68469.89 106442 67257.55 106786 67499.44 107414 67885.23 107246 67736.79 106297 67181.55 103998 65727.95 106758 67468.22 105716 66814.53 150097 94866.84 149907 94742.37 152973 96697.38 153190 96825.11 150287 94947.21 148544 93891.89 147471 93218.07 152912 96656.17 149570 94541.43 149595 94554.53
115850 73215.35 114701 72473.47 116661 73729.35 115152 72784.41 116385 73553.33 115600 73065.10 113982 72038.81 114190 72170.82 115419 72943.75 116988 73908.53 217995 137801.07 214626 135609.00 215844 136411.96 217827 137671.45 215559 136263.63 215722 136366.40 215780 136398.82 216419 136784.92 217290 137348.63 214633 135652.21 301643 190667.63 299987 189618.86 304994 192792.68 301955 190809.87 304413 192423.62 296959 187705.63 303270 191687.73 306937 193995.36 303111 191592.30 300499 189930.56
Mknapcb7: 100 variables, 30 constraints
(1) (2) (3)
Mknapcb8: 250 variables, 30 constraints
(1) (2) (3)
Mknapcb9: 500 variables, 30 constraints
(1) (2) (3)
56824 35914.54 58520 58520 36990.73 36990.73 56553 35719.57 56930 56930 35990.17 35990.17 56629 35796.56 57146 57146 36058.77 36058.77 56253 35553.50 56457 35674.56 57433 36299.70 56447 56447 35683.55 35683.55 107746 107746 68110.74 68110.74 108352 68489.44 106442 67280.00 106806 67516.62 107414 67893.45 107246 107246 67789.77 67789.77 106305 67189.00 103998 65739.76 106800 67501.87 105742 66838.93 150097 94866.62 149907 94748.96 152973 96697.38 153190 96838.22 150287 150287 95000.95 95000.95 148544 148544 93901.04 93901.04 147471 93216.50 152877 96629.50 149570 94546.38 149595 149595 94565.92 94565.92
115850 73227.44 114701 72497.70 116661 73744.23 115206 72816.38 116385 73565.28 115741 73095.36 113979 72044.76 114190 72166.85 115419 72943.75 116988 73921.92 218042 137831.38 214626 135671.85 215885 136454.78 217827 137697.27 215559 136263.27 215726 136370.18 215792 136407.75 216419 136808.10 217312 137350.16 214633 135661.50 301643 190668.82 299987 189630.07 305002 192804.37 302004 190896.06 304411 192419.64 296986 187727.07 303285 191710.94 306911 194005.21 303111 191600.27 300488 189945.99
(1) (2) (3) (4) (5)
Summary and Outlook
COIN/BCP patches
Test Scripts
– –
– – – –";"38,57";"22,88";"28,72"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139781-xstream.xml"")";"Introduction
The Multidimensional Knapsack Problem
The Memetic Algorithm Part
The Branch-and-Cut Part
Parallel Execution and Communication
Computational Experiments
Conclusions";"1 Introduction
2 The Multidimensional Knapsack Problem
3 The Memetic Algorithm Part
4 The Branch-and-Cut Part
5 Parallel Execution and Communication
6 Computational Experiments
7 Conclusions";"100,00";"100,00";"100,00"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139785-xstream.xml"")";"Introduction
Motivation
Combinatorial Optimization and Metaheuristics
Guide to the thesis
Quadratic Assignment Problem
Problem Description
Formulations
Permutation Formulation
Integer Linear Programming
Trace Formulation
Lower Bounds
Solution Methods
Exact Algorithms
Heuristics
Metaheuristics
Research Trends
Applications
Steinberg Wiring Problem
Antenna Assembly Sequence Problem
Metaheuristics
Basic Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Requirements
Functionality
Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Example Problem
Parameter Handling
Design
Usability
Implementation
Overview
Class reference
Class chromosome
Class ea_advbase
Class lsbase
Class localSearch
Class simulatedAnnealing
Class tabuSearch
Class guidedLS
Class GRASP
Class feature
Class tabuAttribute
Class tabulist
Class move and childs
Class qapChrom
Class qapInstance
Class qapFeature
Class qapTabuAttribute
Parameter handling
Usage
Interface aObjProvider
Interface tabulistProvider
Interface gcProvider
Interface tabuProvider
Parameters
Experimental Results
Test Cases
Test Setup and Procedure
Results
Conclusions
List of Algorithms
List of Figures
List of Tables";"Kurzfassung
Danksagung
Table of Contents
Chapter 1 Introduction
1.1 Motivation
1.2 Combinatorial Optimization and Metaheuristics
1.3 Guide to the thesis
Chapter 2 Quadratic Assignment Problem
2.1 Problem Description
2.2 Formulations
2.3 Lower Bounds
2.4 Solution Methods
2.5 Applications
Chapter 3 Metaheuristics
3.1 Basic Local Search
3.2 Simulated Annealing
3.3 Tabu Search
3.4 Guided Local Search
3.5 Greedy Randomized Adaptive Search Procedure
Chapter 4 Requirements
4.1 Functionality
4.2 Design
4.3 Usability
Chapter 5 Implementation
5.1 Overview
5.2 Class reference
5.3 Usage
Chapter 6 Experimental Results
6.1 Test Cases
6.2 Test Setup and Procedure
6.3 Results
Chapter 7 Conclusions
List of Algorithms
List of Figures
List of Tables";"71,43";"35,71";"47,62"
