"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml"")";"INTRODUCTION
EVALUATION METHODS
RESULTS
CONCLUSION";"INTRODUCTION
EVALUATION METHODS
RESULTS
CONCLUSION";"100,00";"100,00";"100,00"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml"")";"Introduction
The case study
Linking: the relation between a formal and informal guideline
Where does the complexity come from?
Conclusions";"The case study
Linking: the relation between a formal and informal guideline
Where does the complexity come from?
Conclusions
References";"80,00";"80,00";"80,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml"")";"INTRODUCTION
STATE OF THE ART
BACKGROUND
Neural networks
Basis functions
Radial basis function networks
Linear network models
Forward selection
Non–linear network models
PROPOSED MODEL
Modified estimator for RBFN weights
Our algorithm
EXPERIMENTAL RESULTS
Training and test sets
Results
CONCLUSION AND FUTURE WORK
Alessandro Artusi
Alexander Wilkie";"STATE OF THE ART
BACKGROUND
Neural networks
¥
Basis functions
Radial basis function networks
Forward selection
Non-linear network models
PROPOSED MODEL
Modified estimator for RBFN weights
Our algorithm
EXPERIMENTAL RESULTS
Training and test sets
Results
¥
CONCLUSION AND FUTURE WORK";"87,50";"77,78";"82,35"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml"")";"INTRODUCTION
BACKGROUND
MPEG-7 aggregation and localisation structures
Semantic feature enrichment
THE VIZIR PROJECT
Overview
General framework design
Visual feature modelling
FEATURE DERIVATION MODELLING
Overview
Feature aggregation and localisation
Semantic feature enrichment
Implementation details
CONCLUSION";"Semantic feature enrichment
BACKGROUND
MPEG-7 aggregation and localisation structures
THE VIZIR PROJECT
Overview
Visual feature modelling
General framework design
FEATURE DERIVATION MODELLING
Overview
Feature aggregation and localisation
Semantic feature enrichment
Implementation details
REFERENCES
CONCLUSION";"92,86";"92,86";"92,86"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml"")";"Introduction
Related work
Applications and problems of Parallel Video Processing
Basic use cases
Application use cases
Problem areas
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network
Conclusions and future work";"Related work
Applications and problems of Parallel Video Processing
Basic use cases
Problem areas
Application use cases
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network
Conclusions and future work";"100,00";"92,31";"96,00"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml"")";"Introduction
The Plan Representation Language Asbru
Related Work
Design and Implementation
User Involvement
Conclusion";"Introduction
The Plan Representation Language Asbru
Related Work
Design and Implementation
User Involvement
Conclusion";"100,00";"100,00";"100,00"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml"")";"Abstract
Zusammenfassung
Contents
Introduction
Option pricing
Basic approaches in option pricing
Some definitions and basic models
The Black-Scholes formula
Discrete-time stochastic processes and the GARCH model
Discrete-time stochastic processes
The GARCH model
Monte Carlo simulation of a GARCH process
Overview of Genetic Programming
Genetic algorithms
Basic terminology
Flowchart of a simple genetic algorithm
Additional settings
Genetic Programming
Terminal set and function set
Creation of the initial population
Genetic operations
Automatic defined functions
Bloat control
Control parameters
A survey of existing approaches in option pricing
Neural networks
Markov chain approximation
Genetic Programming
Strategic decisions of the new approach
GARCH process
Genetic Programming
Functions and terminals
Fitness function and bloat control
Population size, number of generations and mutation
Automatic defined functions and hybrid approaches
Implementation details
Libraries
The Genetic Programming kernel
A random number generator library
GNU Scientific Library
New classes and functions
Additional functions
GPOPdata
MyGPVariables
MyGene
MyGP
MyPopulation
Executables
Overview UML diagram
Results and statistics
Statistics of the identification of the best configuration
Setting of the test environment
Test results
Utilization of the ADFs and the hybrid approaches
Comparison of the best equation found with the original process
Setting of the Genetic Algorithm
The result
The original process
Comparison of the results with other approaches
Comparison of the result with [Han98]
Comparison of the result with [DS01]
Comparison of the result with [Keb99]
Conclusion
New approaches
Summary of the result
Future issues
List of Figures
List of Tables";"Chapter 1 Introduction
Chapter 2 Option pricing
Basic approaches in option pricing
Some definitions and basic models
The Black-Scholes formula
Discrete-time stochastic processes
The GARCH model
Monte Carlo simulation of a GARCH process
Overview of Genetic Programming
Genetic algorithms
Basic terminology
Flowchart of a simple genetic algorithm
Additional settings
Genetic Programming
Terminal set and function set
Creation of the initial population
Genetic operations
Automatic defined functions
Bloat control
Control parameters
Neural networks
Markov chain approximation
Genetic Programming
Chapter 5 Strategic decisions of the new approach
GARCH process
Genetic Programming
Functions and terminals
Fitness function and bloat control
Population size, number of generations and mutation
Automatic defined functions and hybrid approaches
Chapter 6 Implementation details
Libraries
The Genetic Programming kernel
A random number generator library
Newran02B
GNU Scientific Library
New classes and functions
GPOPdata
MyGPVariables
MyGene
MyGP
MyPopulation
Executables
Overview UML diagram
Results and statistics
Statistics of the identification of the best configuration
Setting of the test environment
Test results
Utilization of the ADFs and the hybrid approaches
Setting of the Genetic Algorithm
The result
The original process
Comparison of the results with other approaches
Name
Comparison of the result with [DS01]
Comparison of the result with [Keb99]
Chapter 8 Conclusion
New approaches
Summary of the result
Future issues
List of Figures";"90,16";"80,88";"85,27"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml"")";"Introduction
Thesis Overview
Branch and Cut
Integer Programming Problems
Convex Hull of an Integer Program
Relaxations
Branch and Bound
Cutting Plane Algorithms
Branch and Cut
Local Branching
Soft vs. Hard Variable Fixing
A Basic Local Branching Framework
Local Branching Extensions
An Advanced Local Branching Framework
Basic Functionality
Limitations
Extending the Basic Algorithm
Using Multiple Local Trees
Aborting Local Trees
Tightening the Search Tree by Variable Fixing
Utilizing the Extensions
COIN/BCP
COIN Overview
History
Components
Design of COIN/BCP
Variables and Cuts
COIN/BCP modules
The Tree Manager Module
The Linear Programming Module
The Cut Generator Module
The Variable Generator Module
The Linear Programming Module
The LP Engine
Managing the LP Relaxation
Branching
Parallelizing COIN/BCP
Inter-Process Communication
Fault Tolerance
Developing Applications with COIN/BCP
The BCP_tm_user Class
The candidate queue
The BCP_lp_user Class
Implementation of the Framework
Integrating Local Branching into COIN/BCP
Identifying Local Tree Nodes
The LB tm Module
The LB lp Module
Creating the Hamming distance cut
Managing Local Trees
The LocalTreeIndex
The LocalTree class
The LocalTreeIndex class
The LocalTreeManager
Controlling Local Branching
Implementing a Basic Local Branching Algorithm
Multidimensional Knapsack Problems
Introduction
Algorithms for Knapsack Problems
Multidimensional Knapsack Problems
Heuristic Algorithms
Greedy Heuristics
Relaxation-Based Heuristics
Hybrid Algorithms
Evolutionary Algorithms
A Sample Application: MD-KP
KS tm implementation
Test File Format
Setting up the Core Matrix
Packing and Unpacking of Cuts
Sending the Problem Description to the LP Module
Creating a KS MetaHeuristic Object
KS lp Implementation
Generating Feasible Solutions
Generating Cuts
KS init Implementation
KS MetaHeuristic Implementation
Configuring Local Branching
Setting up Local Branching
Creating the Initial Solution
Imposing Node Limits on Local Trees
Handling Terminated Local Trees
Finishing Touches
Test Results
Test Environment
Test Results Overview
Final Objective Comparison
Online Performance
Local Branching Configurations
Short-Time Tests
Local Branching and Node Limits
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
MK-gk11: 2500 variables, 100 constraints
Cut Generation
Mknapcb7: 100 variables, 30 constraints
Multiple Initial Solutions
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
Long Runs
Summary and Outlook
COIN/BCP patches
Adding User-Defined Messages
Extending the Candidate List
include/BCP_tm_node.hpp
include/BCP_tm_node.cpp
TM/BCP_tm_functions.cpp
Counting Pruned Nodes
TM/BCP tm msg node rec.cpp
TM/BCP tm msgproc.cpp
Aborting Local Trees
include/BCP tm node.hpp
TM/BCP tm functions
Test Scripts
Generating Log Files
Analyzing Log Files";"Chapter 1 Introduction
Thesis Overview
Chapter 2 Branch and Cut
Integer Programming Problems
Convex Hull of an Integer Program
Relaxations
Branch and Bound
ReturnˆsReturnˆ Returnˆs
Cutting Plane Algorithms
Initialize candidate list C = {S}
(d) Depending oñ
ReturnˆsReturnˆ Returnˆs
Branch and Cut
Chapter 3 Local Branching
Soft vs. Hard Variable Fixing
A Basic Local Branching Framework
Local Branching Extensions
Chapter 4 An Advanced Local Branching Framework
Basic Functionality
Repeat:
Return optimal solution.
Limitations
Extending the Basic Algorithm
Using Multiple Local Trees
Aborting Local Trees
Tightening the Search Tree by Variable Fixing
Utilizing the Extensions
Chapter 5 COIN/BCP
COIN Overview
History
Components
Design of COIN/BCP
Variables and Cuts
COIN/BCP modules
The Tree Manager Module
The Linear Programming Module
The Cut Generator Module
The Variable Generator Module
The Linear Programming Module
The LP Engine
Managing the LP Relaxation
Branching
Parallelizing COIN/BCP
Inter-Process Communication
Fault Tolerance
Developing Applications with COIN/BCP
The BCP tm user Class
The candidate queue
The BCP lp user Class
Chapter 6
Implementation of the Framework
Integrating Local Branching into COIN/BCP
Identifying Local Tree Nodes
The LB tm Module
The LB lp Module
Creating the Hamming distance cut
Managing Local Trees
The LocalTreeIndex
The LocalTree class
The LocalTreeIndex class
The LocalTreeManager
Controlling Local Branching
Implementing a Basic Local Branching Algorithm
Chapter 7
Introduction
Algorithms for Knapsack Problems
Multidimensional Knapsack Problems
Heuristic Algorithms
Greedy Heuristics
Relaxation-Based Heuristics
Hybrid Algorithms
Evolutionary Algorithms
Chapter 8 A Sample Application: MD-KP
KS tm implementation
Test File Format
Setting up the Core Matrix
Packing and Unpacking of Cuts
Sending the Problem Description to the LP Module
Creating a KS MetaHeuristic Object
KS lp Implementation
Generating Feasible Solutions
Generating Cuts
KS init Implementation
KS MetaHeuristic Implementation
Configuring Local Branching
Setting up Local Branching
Creating the Initial Solution
Imposing Node Limits on Local Trees
Handling Terminated Local Trees
Finishing Touches
Test Results
Test Environment
Test Results Overview
Final Objective Comparison
Online Performance
Local Branching Configurations
Short-Time Tests
Local Branching and Node Limits
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
MK-gk11: 2500 variables, 100 constraints
Cut Generation
Mknapcb7: 100 variables, 30 constraints
Multiple Initial Solutions
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
Long Runs
Summary and Outlook
Appendix A COIN/BCP patches
A.1 Adding User-Defined Messages
A.2 Extending the Candidate List
A.2.1 include/BCP tm node.hpp
A.2.2 include/BCP tm node.cpp
A.2.3 TM/BCP tm functions.cpp
A.3 Counting Pruned Nodes
A.3.1 TM/BCP tm msg node rec.cpp
A.3.2 TM/BCP tm msgproc.cpp
A.4 Aborting Local Trees
A.4.1 include/BCP tm node.hpp
A.4.2 TM/BCP tm functions
Test Scripts
B.1 Generating Log Files
#!/bin/bash
B.2 Analyzing Log Files";"78,57";"83,90";"81,15"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml"")";"Introduction
The Multidimensional Knapsack Problem
The Memetic Algorithm Part
The Branch-and-Cut Part
Parallel Execution and Communication
Computational Experiments
Conclusions";"The Multidimensional Knapsack Problem
The Memetic Algorithm Part
The Branch-and-Cut Part
Parallel Execution and Communication
Computational Experiments
MIC2005. The 6th Metaheuristics International Conference
779
Conclusions";"75,00";"85,71";"80,00"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml"")";"Introduction
Motivation
Combinatorial Optimization and Metaheuristics
Guide to the thesis
Quadratic Assignment Problem
Problem Description
Formulations
Permutation Formulation
Integer Linear Programming
Trace Formulation
Lower Bounds
Solution Methods
Exact Algorithms
Heuristics
Metaheuristics
Research Trends
Applications
Steinberg Wiring Problem
Antenna Assembly Sequence Problem
Metaheuristics
Basic Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Requirements
Functionality
Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Example Problem
Parameter Handling
Design
Usability
Implementation
Overview
Class reference
Class chromosome
Class ea_advbase
Class lsbase
Class localSearch
Class simulatedAnnealing
Class tabuSearch
Class guidedLS
Class GRASP
Class feature
Class tabuAttribute
Class tabulist
Class move and childs
Class qapChrom
Class qapInstance
Class qapFeature
Class qapTabuAttribute
Parameter handling
Usage
Interface aObjProvider
Interface tabulistProvider
Interface gcProvider
Interface tabuProvider
Parameters
Experimental Results
Test Cases
Test Setup and Procedure
Results
Conclusions
List of Algorithms
List of Figures
List of Tables";"Aristotle
Motivation
Combinatorial Optimization and Metaheuris- tics
Guide to the thesis
Imanuel Kant
Quadratic Assignment Problem
Problem Description
8
Formulations
Permutation Formulation
Integer Linear Programming
Trace Formulation
Lower Bounds
Solution Methods
Exact Algorithms
Heuristics
Metaheuristics
Research Trends
Applications
Steinberg Wiring Problem
Antenna Assembly Sequence Problem
Richard Feynman
Metaheuristics
Algorithms (GA), Guided Local Search (GLS), Greedy Randomized Adaptive Search
19
Basic Local Search
Algorithm 1: Basic Local Search
20
Simulated Annealing
Tabu Search
24
Guided Local Search
Algorithm 5: Guided Local Search
Greedy Randomized Adaptive Search Proce- dure
Simonides
Chapter 4 Requirements
Functionality
32
Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Example Problem
Parameter Handling
Design
Usability
Voltaire
Chapter 5 Implementation
Overview
Class reference
Class chromosome
38
Class ea advbase
Class lsbase
Class localSearch
Class simulatedAnnealing
40
Class tabuSearch
Class guidedLS
Class GRASP
Class feature
Class tabuAttribute
Class tabulist
Class move and childs
Class qapChrom
Class qapInstance
Class qapFeature
Class qapTabuAttribute
Parameter handling
Usage
Interface aObjProvider
Interface tabulistProvider
Interface gcProvider
Interface tabuProvider
Parameters
Default: 0
Default: 1
Default: 10
Sir Francis Bacon
Experimental Results
Test Cases
53
Test Setup and Procedure
Results
Algorithm
63
Conclusions
List of Algorithms";"73,03";"92,86";"81,76"
