"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-137078-xstream.xml"")";"INTRODUCTION
EVALUATION METHODS
RESULTS
CONCLUSION
ACKNOWLEDGEMENTS";"
ABSTRACT


INTRODUCTION


EVALUATION METHODS


RESULTS


CONCLUSION


ACKNOWLEDGEMENTS


REFERENCES
";"71,43";"100,00";"83,33"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-138011-xstream.xml"")";"Introduction
The case study
Linking: the relation between a formal and informal guideline
Where does the complexity come from?
Conclusions";"
1 Introduction


2 The case study


3 Linking: the relation between a formal and informal guideline


4 Where does the complexity come from?


5 Conclusions


References
";"83,33";"100,00";"90,91"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-138447-xstream.xml"")";"INTRODUCTION
STATE OF THE ART
BACKGROUND
Neural networks
Basis functions
Radial basis function networks
Linear network models
Forward selection
Non–linear network models
PROPOSED MODEL
Modified estimator for RBFN weights
Our algorithm
EXPERIMENTAL RESULTS
Training and test sets
Results
CONCLUSION AND FUTURE WORK
Alessandro Artusi
Alexander Wilkie";"
ABSTRACT


1. INTRODUCTION


2. STATE OF THE ART


3. BACKGROUND


4. PROPOSED MODEL


5. EXPERIMENTAL RESULTS


5.2. Results


6. CONCLUSION AND FUTURE WORK


REFERENCES
";"77,78";"38,89";"51,85"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-138544-xstream.xml"")";"INTRODUCTION
BACKGROUND
MPEG-7 aggregation and localisation structures
Semantic feature enrichment
THE VIZIR PROJECT
Overview
General framework design
Visual feature modelling
FEATURE DERIVATION MODELLING
Overview
Feature aggregation and localisation
Semantic feature enrichment
Implementation details
CONCLUSION";"
ABSTRACT


1. INTRODUCTION


2. BACKGROUND


3. THE VIZIR PROJECT


4. FEATURE DERIVATION MODELLING


5. CONCLUSION


ACKNOWLEDGEMENTS


REFERENCES
";"62,50";"35,71";"45,45"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-138547-xstream.xml"")";"Introduction
Related work
Applications and problems of Parallel Video Processing
Basic use cases
Application use cases
Problem areas
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network
Conclusions and future work
Acknowledgements";"
Abstract


1. Introduction


2. Related work


4. Prototype design


5. Implementation


6. Conclusions and future work


7. Acknowledgements


8. References
";"75,00";"42,86";"54,55"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-139299-xstream.xml"")";"Introduction
The Plan Representation Language Asbru
Related Work
Design and Implementation
User Involvement
Conclusion";"
Abstract


1 Introduction


2 The Plan Representation Language Asbru


3 Related Work


4 Design and Implementation


5 User Involvement


6 Conclusion


References
";"75,00";"100,00";"85,71"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-139761-xstream.xml"")";"Abstract
Zusammenfassung
Acknowledgements
Contents
Introduction
Option pricing
Basic approaches in option pricing
Some definitions and basic models
The Black-Scholes formula
Discrete-time stochastic processes and the GARCH model
Discrete-time stochastic processes
The GARCH model
Monte Carlo simulation of a GARCH process
Overview of Genetic Programming
Genetic algorithms
Basic terminology
Flowchart of a simple genetic algorithm
Additional settings
Genetic Programming
Terminal set and function set
Creation of the initial population
Genetic operations
Automatic defined functions
Bloat control
Control parameters
A survey of existing approaches in option pricing
Neural networks
Markov chain approximation
Genetic Programming
Strategic decisions of the new approach
GARCH process
Genetic Programming
Functions and terminals
Fitness function and bloat control
Population size, number of generations and mutation
Automatic defined functions and hybrid approaches
Implementation details
Libraries
The Genetic Programming kernel
A random number generator library
GNU Scientific Library
New classes and functions
Additional functions
GPOPdata
MyGPVariables
MyGene
MyGP
MyPopulation
Executables
Overview UML diagram
Results and statistics
Statistics of the identification of the best configuration
Setting of the test environment
Test results
Utilization of the ADFs and the hybrid approaches
Comparison of the best equation found with the original process
Setting of the Genetic Algorithm
The result
The original process
Comparison of the results with other approaches
Comparison of the result with [Han98]
Comparison of the result with [DS01]
Comparison of the result with [Keb99]
Conclusion
New approaches
Summary of the result
Future issues
List of Figures
List of Tables";"
DIPLOMARBEIT


Andreas Heigl
Markt 115
5611 GROSSARL


Abstract


Acknowledgements


7 Results and statistics 46


Chapter 1
Introduction


Chapter 2


Chapter 3


Chapter 7
Results and statistics


Chapter 8
Conclusion


Bibliography
";"27,27";"4,35";"7,50"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-139769-xstream.xml"")";"Introduction
Thesis Overview
Branch and Cut
Integer Programming Problems
Convex Hull of an Integer Program
Relaxations
Branch and Bound
Cutting Plane Algorithms
Branch and Cut
Local Branching
Soft vs. Hard Variable Fixing
A Basic Local Branching Framework
Local Branching Extensions
An Advanced Local Branching Framework
Basic Functionality
Limitations
Extending the Basic Algorithm
Using Multiple Local Trees
Aborting Local Trees
Tightening the Search Tree by Variable Fixing
Utilizing the Extensions
COIN/BCP
COIN Overview
History
Components
Design of COIN/BCP
Variables and Cuts
COIN/BCP modules
The Tree Manager Module
The Linear Programming Module
The Cut Generator Module
The Variable Generator Module
The Linear Programming Module
The LP Engine
Managing the LP Relaxation
Branching
Parallelizing COIN/BCP
Inter-Process Communication
Fault Tolerance
Developing Applications with COIN/BCP
The BCP_tm_user Class
The candidate queue
The BCP_lp_user Class
Implementation of the Framework
Integrating Local Branching into COIN/BCP
Identifying Local Tree Nodes
The LB tm Module
The LB lp Module
Creating the Hamming distance cut
Managing Local Trees
The LocalTreeIndex
The LocalTree class
The LocalTreeIndex class
The LocalTreeManager
Controlling Local Branching
Implementing a Basic Local Branching Algorithm
Multidimensional Knapsack Problems
Introduction
Algorithms for Knapsack Problems
Multidimensional Knapsack Problems
Heuristic Algorithms
Greedy Heuristics
Relaxation-Based Heuristics
Hybrid Algorithms
Evolutionary Algorithms
A Sample Application: MD-KP
KS tm implementation
Test File Format
Setting up the Core Matrix
Packing and Unpacking of Cuts
Sending the Problem Description to the LP Module
Creating a KS MetaHeuristic Object
KS lp Implementation
Generating Feasible Solutions
Generating Cuts
KS init Implementation
KS MetaHeuristic Implementation
Configuring Local Branching
Setting up Local Branching
Creating the Initial Solution
Imposing Node Limits on Local Trees
Handling Terminated Local Trees
Finishing Touches
Test Results
Test Environment
Test Results Overview
Final Objective Comparison
Online Performance
Local Branching Configurations
Short-Time Tests
Local Branching and Node Limits
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
MK-gk11: 2500 variables, 100 constraints
Cut Generation
Mknapcb7: 100 variables, 30 constraints
Multiple Initial Solutions
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
Long Runs
Summary and Outlook
COIN/BCP patches
Adding User-Defined Messages
Extending the Candidate List
include/BCP_tm_node.hpp
include/BCP_tm_node.cpp
TM/BCP_tm_functions.cpp
Counting Pruned Nodes
TM/BCP tm msg node rec.cpp
TM/BCP tm msgproc.cpp
Aborting Local Trees
include/BCP tm node.hpp
TM/BCP tm functions
Test Scripts
Generating Log Files
Analyzing Log Files";"
DIPLOMARBEIT


Abstract


Contents


Chapter 1
Introduction


Chapter 2


1. Initialize list of all subproblems C = {S}


Chapter 3


Chapter 4


Chapter 5


Chapter 6


Chapter 7


7.1.1 Algorithms for Knapsack Problems


Chapter 8


Chapter 9


Chapter 10
Summary and Outlook


Appendix A
COIN/BCP patches


A.2.1 include/BCP tm node.hpp


A.2.2 include/BCP tm node.cpp


A.2.3 TM/BCP tm functions.cpp


A.4.1 include/BCP tm node.hpp


Appendix B


Bibliography
";"4,55";"0,85";"1,43"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-139781-xstream.xml"")";"Introduction
The Multidimensional Knapsack Problem
The Memetic Algorithm Part
The Branch-and-Cut Part
Parallel Execution and Communication
Computational Experiments
Conclusions";"
1 Introduction


2 The Multidimensional Knapsack Problem


3 The Memetic Algorithm Part


4 The Branch-and-Cut Part


5 Parallel Execution and Communication


6 Computational Experiments


7 Conclusions


References
";"87,50";"100,00";"93,33"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-heuristic\MethodDemos\output\extracted\parscit\parscit-TUW-139785-xstream.xml"")";"Introduction
Motivation
Combinatorial Optimization and Metaheuristics
Guide to the thesis
Quadratic Assignment Problem
Problem Description
Formulations
Permutation Formulation
Integer Linear Programming
Trace Formulation
Lower Bounds
Solution Methods
Exact Algorithms
Heuristics
Metaheuristics
Research Trends
Applications
Steinberg Wiring Problem
Antenna Assembly Sequence Problem
Metaheuristics
Basic Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Requirements
Functionality
Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Example Problem
Parameter Handling
Design
Usability
Implementation
Overview
Class reference
Class chromosome
Class ea_advbase
Class lsbase
Class localSearch
Class simulatedAnnealing
Class tabuSearch
Class guidedLS
Class GRASP
Class feature
Class tabuAttribute
Class tabulist
Class move and childs
Class qapChrom
Class qapInstance
Class qapFeature
Class qapTabuAttribute
Parameter handling
Usage
Interface aObjProvider
Interface tabulistProvider
Interface gcProvider
Interface tabuProvider
Parameters
Experimental Results
Test Cases
Test Setup and Procedure
Results
Conclusions
List of Algorithms
List of Figures
List of Tables";"
Abstract


Guided Local Search


Experimental Results


CHAPTER 6. EXPERIMENTAL RESULTS 53
";"50,00";"2,86";"5,41"
