"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-137078-xstream.xml"")";"INTRODUCTION --- ref1
EVALUATION METHODS --- ref6 ref4 ref3 ref5 ref2";"";"none extracted value";"0,00";"0,00"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138011-xstream.xml"")";"Linking: the relation between a formal and informal guideline --- ref5 ref6
Introduction --- ref2 ref3 ref7 ref9 ref5
The case study --- ref9 ref10 ref1 ref8 ref9 ref4 ref10";"3 Linking: the relation between a formal and informal guideline --- 5 6
2 The case study --- 9 10 1 8 9 4 10";"0,00";"0,00";"0,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138447-xstream.xml"")";"Results --- ref9 ref7 ref11 ref19 ref15 ref10 ref6 ref9 ref7 ref11 ref19 ref13 ref13 ref10 ref6 ref6 ref10
Linear network models --- ref15
Forward selection --- ref15 ref18 ref9 ref7 ref11 ref19 ref14
STATE OF THE ART --- ref16 ref3 ref20 ref2 ref15 ref4 ref6 ref10 ref6
Neural networks --- ref5 ref1 ref5 ref15 ref1
Training and test sets --- ref13
Non–linear network models --- ref6 ref10 ref6 ref6 ref10
Basis functions --- ref15
Radial basis function networks --- ref4
INTRODUCTION --- ref8
BACKGROUND --- ref15
Modified estimator for RBFN weights --- ref6 ref4 ref12 ref17 ref6";"";"none extracted value";"0,00";"0,00"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138544-xstream.xml"")";"INTRODUCTION --- ref1 ref2
MPEG-7 aggregation and localisation structures --- ref4
General framework design --- ref5 ref2 ref3
Overview --- ref5 ref6
Implementation details --- ref7";"4.4 Implementation details --- 7";"0,00";"0,00";"0,00"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-138547-xstream.xml"")";"Introduction --- ref4 ref5 ref6
Software --- ref3
Conclusions and future work --- ref6
Related work --- ref2 ref1 ref7 ref4 ref5 ref6 ref6 ref5 ref4";"2. Related work --- 2 1 7 4 5 6 6 5 4
6. Conclusions and future work --- 6";"0,00";"0,00";"0,00"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139299-xstream.xml"")";"The Plan Representation Language Asbru --- ref8 ref5
Related Work --- ref6 ref11 ref3 ref9 ref7
Introduction --- ref4 ref10
Design and Implementation --- ref1 ref2";"2 The Plan Representation Language Asbru --- Seyfang et al., 2002 Miksch et al., 1997
3 Related Work --- Peleg et al., 2003 www.openclinical.org, 2003 Hadorn, 1995 Plaisant et al., 1998 Alder, 2002a Alder, 2002b";"0,00";"0,00";"0,00"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139761-xstream.xml"")";"Overview of Genetic Programming --- Koz92 Hol75
Fitness function and bloat control --- Koz92 PL04 PL04 PL04
Additional settings --- Rey92 Hol75 Fra94
Control parameters --- Koz92 Koz92
Option pricing --- Hul02 Nef00
Population size, number of generations and mutation --- Koz92 Keb99
Monte Carlo simulation of a GARCH process --- Dua95 GS96 Dua95 BBG97 BBG97 DS95 BBG97
Functions and terminals --- Keb99 Nol97
Terminal set and function set --- Koz92
Genetic operations --- Koz92 Fra94 Fra94 KBAK99 KBAK99
Introduction --- BCK92 Hol75 Koz92 K+03 Han98 DS01
GPOPdata --- Wei97
The Black-Scholes formula --- Hul02 Nef00 BS73 Nef00
Creation of the initial population --- Koz92 Fra94
Neural networks --- Han98 Han97 Han97 Han97
Discrete-time stochastic processes --- Hul02
The GARCH model --- Bol86 Eng82 BCK92 Han98
Some definitions and basic models --- Nef00 Hul02 Hul02 Hul02
Genetic algorithms --- BFM97 Mic92 Hol75 Koz92 Mic92
Automatic defined functions --- Koz94 KBAK99 KBAK99
Bloat control --- PL04 PL04 Koz92 PL04
Genetic Programming --- Keb99 Hul02
Comparison of the result with [DS01] --- DS01 DS01 DS01 DS01
Future issues --- DS01
Basic terminology --- Mic92 Mic92 Koz92
Strategic decisions of the new approach --- Koz92
A survey of existing approaches in option pricing --- Han97 DS95 Keb99
Comparison of the result with [Keb99] --- Keb99 Keb99 Keb99
Comparison of the result with [Han98] --- Han98 Han98 Han98
A random number generator library --- Dav02 Dav02 Dav02
GNU Scientific Library --- G+04 G+04
Libraries --- Str98
Genetic Programming --- Koz92 BNKF98 KBAK99
GARCH process --- Han98
New classes and functions --- Nol97 Zol86
Markov chain approximation --- DS01 Han98 DS01 DS01 Keb99
The Genetic Programming kernel --- Sin94 Fra94 Wei97 Obj03 Wei97 Wei97 Wei97 Wei97
Test results --- Vie97";"Chapter 3 Overview of Genetic Programming --- Koz92
Chapter 7 Results and statistics --- Han98
Chapter 4 A survey of existing approaches in option pricing --- Han97
Chapter 1 Introduction --- K92]) has shown that the underlying securities do not behave according to that assumption. The probability of large price changes is much higher than it should be possible under the lognormality assumption. Another typical feature of empirical return distributions is called heteroskedasticity, the changing of the variance in time. In practise, many return series show volatility clustering, where bad news lead to a significant increase of the volatility. After some time volatility returns to the old value. The GARCH (Generalized Autoregressive Conditional Heteroskedas- ticity) model of Tim Bollerslev is an answer to these problems. Jin-Chuan Duan has developed an option pricing model for underlyings following GARCH processes. Still one drawback remains. It is not possible to derive a closed-form equation for option pricing similar to the Black-Scholes formula. Option prices can only be calculated via Monte Carlo simulation, which is computationally expensive and time consuming. Meanwhile new approaches to solve complex problems evolved in the field of com- puter science. Many of them have been inspired by the way nature “solves problems”. Neural networks are now widely used in different areas. [Hol75] introduced the concept of Genetic Algorithms, which is very successful in the field of Operations Research. [Koz92] enhanced the Genetic Algorithm to the so called Genetic Programming ap- proach, which is applicable in fields as different as electrical engineering and symbolic regression (compare with [K + 03
Chapter 6 Implementation details --- G + 04 G + 04";"0,00";"0,00";"0,00"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139769-xstream.xml"")";"Branch and Cut --- ref31
Thesis Overview --- ref13
Long Runs --- ref2 ref14
Local Branching Extensions --- ref13 ref8
Generating Log Files --- ref2
Local Branching --- ref13
Greedy Heuristics --- ref38 ref37 ref38
Test File Format --- ref6
Cutting Plane Algorithms --- ref30 ref15 ref16 ref7 ref30 ref10 ref11 ref1 ref5
Evolutionary Algorithms --- ref33 ref34 ref35 ref6 ref9 ref18 ref17 ref33 ref39
Local Branching and Node Limits --- ref2
Algorithms for Knapsack Problems --- ref32 ref23 ref19
Relaxation-Based Heuristics --- ref3
Introduction --- ref25 ref30 ref13
Design of COIN/BCP --- ref36
Branch and Cut --- ref26 ref29 ref36 ref42
MK-gk11: 2500 variables, 100 constraints --- ref14
Multidimensional Knapsack Problems --- ref24 ref4
Hybrid Algorithms --- ref27 ref40 ref41
Introduction --- ref21
History --- ref12
Developing Applications with COIN/BCP --- ref36 ref36
Branch and Bound --- ref25 ref20
Tightening the Search Tree by Variable Fixing --- ref8
Test Results --- ref2 ref14
Relaxations --- ref22 ref20
COIN/BCP --- ref28";"Test Scripts --- 2
Local Branching --- 13 13 8
MK-gk11: 2500 variables, 100 constraints --- 14
(1) --- 1 2 3 4
COIN/BCP --- 28 12 36 36 36
A Sample Application: MD-KP --- 6
Introduction --- 25 30 13 13
COIN/BCP patches --- 1
An Advanced Local Branching Framework --- 8
Branch and Cut --- 26 29 36 42 22 20 25 30 15 16 7 30 10 11 1 5 31
(1) (2) (3) --- 1 1 2 2 1 1 2 2 3 3
(1) (2) (3) --- 2 14
Test Results --- 2 14 1 1 2 2
115850 73227.44 114701 72497.70 116661 73744.23 115206 72816.38 116385 73565.28 115741 73095.36 113979 72044.76 114190 72166.85 115419 72943.75 116988 73921.92 218042 137831.38 214626 135671.85 215885 136454.78 217827 137697.27 215559 136263.27 215726 136370.18 215792 136407.75 216419 136808.10 217312 137350.16 214633 135661.50 301643 190668.82 299987 189630.07 305002 192804.37 302004 190896.06 304411 192419.64 296986 187727.07 303285 191710.94 306911 194005.21 303111 191600.27 300488 189945.99 --- 1 2 3 4 5
Multidimensional Knapsack Problems --- 21 32 23 19 24 4 38 37 38 3 27 40 41 33 34 35 6 9 18 17 33 39";"0,00";"0,00";"0,00"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139781-xstream.xml"")";"The Branch-and-Cut Part --- ref7 ref8 ref1 ref2 ref7 ref8
The Multidimensional Knapsack Problem --- ref4 ref7 ref8 ref8 ref6 ref1
Computational Experiments --- ref7 ref8 ref7 ref8 ref8 ref7 ref8 ref7 ref8 ref7 ref8 ref8
The Memetic Algorithm Part --- ref5 ref3 ref6 ref3 ref1";"3 The Memetic Algorithm Part --- 5 3 6 3 1
2 The Multidimensional Knapsack Problem --- 4 7 8 8 6 1
4 The Branch-and-Cut Part --- 7 8 1 2
6 Computational Experiments --- 7 8 8 7 8 7 8 7 8 8";"0,00";"0,00";"0,00"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\pdfx\pdfx-TUW-139785-xstream.xml"")";"Test Cases --- ref7 ref34
Class qapChrom --- ref26
Trace Formulation --- ref10
Heuristics --- ref15
Exact Algorithms --- ref13 ref5 ref2
Metaheuristics --- ref16 ref19 ref4
Lower Bounds --- ref15 ref25 ref1 ref36
Simulated Annealing --- ref22 ref8 ref31 ref21
Problem Description --- ref27 ref24
Quadratic Assignment Problem --- ref23 ref27 ref39 ref20 ref14 ref5 ref27
Greedy Randomized Adaptive Search Procedure --- ref11 ref12 ref12 ref26 ref37 ref38
Basic Local Search --- ref28 ref29 ref30
Steinberg Wiring Problem --- ref40 ref6
Applications --- ref23
List of Figures --- ref33
Tabu Search --- ref16 ref41 ref3 ref17 ref18
Requirements --- ref35
Guided Local Search --- ref43 ref44 ref32 ref44 ref42 ref45
Experimental Results --- ref7 ref34
Formulations --- ref27 ref9
Parameters --- ref7
Antenna Assembly Sequence Problem --- ref33 ref33
Integer Linear Programming --- ref23";"";"none extracted value";"0,00";"0,00"
