"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-137078-xstream.xml"")";"INTRODUCTION
EVALUATION METHODS
RESULTS
CONCLUSION";"INTRODUCTION
EVALUATION METHODS
RESULTS
CONCLUSION";"100,00";"100,00";"100,00"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138011-xstream.xml"")";"Introduction
The case study
Linking: the relation between a formal and informal guideline
Where does the complexity come from?
Conclusions";"Introduction
The case study
Conclusions";"100,00";"60,00";"75,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138447-xstream.xml"")";"INTRODUCTION
STATE OF THE ART
BACKGROUND
Neural networks
Basis functions
Radial basis function networks
Linear network models
Forward selection
Non–linear network models
PROPOSED MODEL
Modified estimator for RBFN weights
Our algorithm
EXPERIMENTAL RESULTS
Training and test sets
Results
CONCLUSION AND FUTURE WORK
Alessandro Artusi
Alexander Wilkie";"INTRODUCTION
Typically
¡ £ ¢ ¤ ¡
STATE OF THE ART
Campadelli and Schettini
¡ and Tominaga
¢ ¤ £
¢
¥ ¦ Bishop, Carozza § and Lee
£ ).
BACKGROUND
Neural networks
¥
Basis functions
A linear
© 7 3 8 @ 9 A
¡ C B E D ¨
£ 1 0 3 B £
¥ Polynomial functions
¡ ¤ £ ¦ ¥
¡
@ 9 A ""
¡ ¤ £
0 F
¥
G ¢ 5
Multiquadratic
4
£ ¥ ¤
Linear network models
¥ :
¡ ¡ £
¡ £ ¢
¢ ¡ ¤ £
¥¥
¢
¡ ¡ £
¡ £ ¢
¢ ¡ ¤ £
¥ ¥
¨ ¢ £ § ¢ ¤
¤ (8)
¤
¥
¤
¤
¢ 7
¤ ¦ ¥
(9)
¡ ¡ £
¡ £ ¢
¢ ¡ ¤ £
¥¥
¢ ¢ £
¤ © ¨
§ ¢ ¤
¤
¥
¤
¤
7
¤ ¦ ¥
Forward selection
¥
¡ 4 ¡
¡
¥
and the
¤ ¢
¥
¥ ¡ § ¦
¡
0
£
¨
¨ D ¨
£ © ¨
¦
4
¡ ¢
D ¨
¥ ¢ ¨
¡
¢ D ¨
¥ ¨
¢
¤
G ¢ ¡ (13)
¦ 0 4
4
as¨
as¨¢
D ¨
¢ ¨
¢
¤
G
¢ ¢ ¡ ¤ £
¡
¦
¥
¡ (14)
¦
¦ ¥¥¢
¥
¡
¦
¨ §
G
© F ¡
¥
¥ (15)
¢ D ¨
¢ ¨
¢
¤
G ¢ £
¡ ¥
¡ (16)
¦
¨ ¥¥
¥
¢ D ¨
¢ ¨
¢
¤
G
¢
¡
¦
7
¨ (17)
¦
¦ ¥
¥
¦
¢
¢
¦
¡ "" ¥
¡
¦
¥
¥
¨
¥ D ¨
¢ ¨
G
¢ ! ¡
¡
7
¢
6
¨ (18)
¦
¦ ¥
¥
¦
¦
Non-linear network models
£
F
¤ ¦ ¥ £
¦ ¡0
¤
¤ ¦ ¤ ¢
¥
¥ (22)
¤ ¦ ¥
$ ¨
G ¢ ¤
¢ ! 0
¢ ¤ §
¤
¡ ¤ £
¥ (23)
! where the output
¢
¤ is such that
¡ £ ¢
! 0
¢ ¤ §
¤
! 0
¢
¡ ¤ £
¥¥
¢
¢ §
¡ ¤ £ ¦ ¥
¨ 2 ""
¡ ¤ £ ¦ ¥
£
£ ¤ §
¡
¡ ¤ £ ¦ ¥
¡
¢
¢
& ) &
!
PROPOSED MODEL
Modified estimator for RBFN weights
£ ¨ §
¡ ¤ (27) where
£
¢ ¨ §
B
G
© ¢¦ § §
£ F §
G
¢
¢ ¨ §
B
G "" !
, is the
¢ §
¨ §
B
G § §
£
¦ # § §
F §
G
¢ % $
, and
¢ ¨ §
B
G
& "" !
¢ % $
. The number
$
£
¨ is Hermitian¨£
Hermitian¨
Hermitian¨£
£
G . In
Our algorithm
F ,
G and §
.
¡
:
¤
G
¡
G ! ¨
¡ © ¥
© ¥
¥ (33) ¡ ¢
7
¦
¦ ©
¢
G
F
G !
¥
¡ ¡ §
©
4
©
4
parameters
G !
EXPERIMENTAL RESULTS
Training and test sets
¥¢
0
¤ 0 B
¦ ¤
¡ ©
© ¥¢
¡B
¥¢
¤ ¢ ¡ ¤ ¤
¤ ¤
©
B
¥
¡
©
B
¤
¥
Results
CMY¨
¡ labeled
£ and
£
CIELAB¨
CMY¨
CONCLUSION AND FUTURE WORK
Alexander Wilkie
TABLES
CMY¨
CMY¨
Training2 Test Average Maximum Average Maximum
0.797
1.893
1.831
6.763
CMY¨
Month Training2 Test Average Maximum Average Maximum
May
0.927
1.980
2.024
6.833
June
0.744
1.537
2.043
5.780
July
0.784
1.737
2.210
5.699
CMY¨
Method Training2 Test Average Maximum Average Maximum
0.797
1.893
1.831
6.763
2.495
7.674
3.228
9.798
2.458
7.639
10.111
1.721
5.453
2.654
8.277
1.475
4.337
2.571
7.676
CMY¨
Method Training2 Test Average Maximum Average Maximum
Proposed RBFn
2.876
5.774
3.691
9.800
19.141
18.794
19.344
18.995
11.187
13.077
10.714
13.072
Method Training2 Test Average Maximum Average Maximum
1.752
4.084
2.537
6.660
10.268
2.236
9.739
10.400
2.266
9.864
1.514
9.100
1.994
8.664
1.305
9.100
1.936
8.664
CIELAB¨
Method Average Maximum
2.244
9.894
2.290
8.890";"4,18";"88,89";"7,98"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138544-xstream.xml"")";"INTRODUCTION
BACKGROUND
MPEG-7 aggregation and localisation structures
Semantic feature enrichment
THE VIZIR PROJECT
Overview
General framework design
Visual feature modelling
FEATURE DERIVATION MODELLING
Overview
Feature aggregation and localisation
Semantic feature enrichment
Implementation details
CONCLUSION";"INTRODUCTION
Semantic feature enrichment
BACKGROUND
MPEG-7 aggregation and localisation structures
THE VIZIR PROJECT
Overview
Visual feature modelling
General framework design
FEATURE DERIVATION MODELLING
Overview
DescriptorInfo create DescriptorLogic
DescriptorModel use
parameterise
DescriptorLogicA
Semantic feature enrichment
Algorithm Data
Aggregation / localisation
DescriptorInfo DescriptorLogic
create
Feature aggregation and localisation
Semantic feature enrichment";"57,14";"85,71";"68,57"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-138547-xstream.xml"")";"Introduction
Related work
Applications and problems of Parallel Video Processing
Basic use cases
Application use cases
Problem areas
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network
Conclusions and future work";"Introduction
Related work
Applications and problems of Parallel Video Processing
Basic use cases
Compositing
Foreground Mask
Output Signal
Manipulation
Compositing Adapted Background
Background Geometry Information
Analysis
1.
A Data
Manipulation
2.
A A' Compositing
A
B AuB
Problem areas
Application use cases
Processor #1 Media In IN
Control
... Processor #n Media Out OUT
Processor pool
Network Application interface
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network
Format
References
NTSC";"35,29";"92,31";"51,06"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139299-xstream.xml"")";"Introduction
The Plan Representation Language Asbru
Related Work
Design and Implementation
User Involvement
Conclusion";"Introduction
1
The Plan Representation Language Asbru
Related Work
User Involvement
Conclusion";"83,33";"83,33";"83,33"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139761-xstream.xml"")";"Abstract
Zusammenfassung
Contents
Introduction
Option pricing
Basic approaches in option pricing
Some definitions and basic models
The Black-Scholes formula
Discrete-time stochastic processes and the GARCH model
Discrete-time stochastic processes
The GARCH model
Monte Carlo simulation of a GARCH process
Overview of Genetic Programming
Genetic algorithms
Basic terminology
Flowchart of a simple genetic algorithm
Additional settings
Genetic Programming
Terminal set and function set
Creation of the initial population
Genetic operations
Automatic defined functions
Bloat control
Control parameters
A survey of existing approaches in option pricing
Neural networks
Markov chain approximation
Genetic Programming
Strategic decisions of the new approach
GARCH process
Genetic Programming
Functions and terminals
Fitness function and bloat control
Population size, number of generations and mutation
Automatic defined functions and hybrid approaches
Implementation details
Libraries
The Genetic Programming kernel
A random number generator library
GNU Scientific Library
New classes and functions
Additional functions
GPOPdata
MyGPVariables
MyGene
MyGP
MyPopulation
Executables
Overview UML diagram
Results and statistics
Statistics of the identification of the best configuration
Setting of the test environment
Test results
Utilization of the ADFs and the hybrid approaches
Comparison of the best equation found with the original process
Setting of the Genetic Algorithm
The result
The original process
Comparison of the results with other approaches
Comparison of the result with [Han98]
Comparison of the result with [DS01]
Comparison of the result with [Keb99]
Conclusion
New approaches
Summary of the result
Future issues
List of Figures
List of Tables";"Abstract
Contents
Introduction 6
Overview of Genetic
Introduction
Chapter 2 Option pricing
Some definitions and basic models
• indexes
• Options
• Swaps
The Black-Scholes formula
2
2
2
The GARCH model
2
Monte Carlo simulation of a GARCH process
i=1
gsim
)
bsana
Chapter 3 Overview of Genetic Programming
Genetic algorithms
Basic terminology
Gen:=0
Create initial random population
Designate result
Yes
End
No
i:=0
i=M? Gen:=Gen+1 Yes
No
Pr Pm
Pc
i:=i+1 Perform
redproduction
Perform
Crossover
i:=i+1
Additional settings
Genetic Programming
+ IF
ln
< X /
Y
Y
X Y
Creation of the initial population
Genetic operations
+ - IF
ln
X Y
< X /
Y
Y
X Y
+ - IF
Y ln
X
< X /
Y
Y
X Y
Automatic defined functions
1
Bloat control
Control parameters
Parameter
Probability of mutation
% Probability of permutation
% Frequency of editing
Probability of encapsulation
Neural networks
J
n=1
Markov chain approximation
?
S
Genetic Programming
4.3.
Chapter 5
GARCH process
?
Genetic Programming
Functions and terminals
Fitness function and bloat control
Symbol description
type
zero
constant
1
Population
Automatic defined functions and hybrid approaches
Chapter 6 Implementation details
Libraries
The Genetic Programming kernel
1
% &
¨
Parameter
A random number generator library
Newran02B
2
Uniform Normal
Constant
SymGen
Cauchy
PosGen
Exponential
SymGenX
ChiSq
PosGenX
AsymGen
AsymGenX
Random
Gamma
NegativBinomial
Pareto
DiscreteGen
Poisson
Binomial
Description
normal cdf
GNU Scientific Library
3
4
.
Name
Description
stable cdf
New classes and functions
Additional functions
GPOPdata
GPOPdata
Parameter
Penalty
Normal
Student
Stable
Infofilename
MyGPVariables
MyGene
Methods
Description
printOn
Methods
Description
printOn
MyGP
MyPopulation
Executables
Methods
Table 6.7: Methods of MyPopulation
Executable
Description
gpop
gpop2
adf2
Overview UML diagram
GNU Scientific Library
GPOPgarch
1
1
Random
PosGen
GPOPdata
1
Uniform
1..*
MyGene
1..*
0..*
MyGP
GPGene
1
1
1..* 1..*
GP GPPopulation
0..*
MyPopulation
1
1
1
1
1
* «utility»
1
1
1
1..*
GPNode GPNodeSet GPAdfNodeSet
1..*
1
1
GPVariable
1
MyGPVariable
1
8
9
10
11
12
Test results
2
2
2
x
Utilization of the ADFs and the hybrid approaches
);Lambda+
S X
)+a
r+
Average
0.01086
0.03787
0.05000
0.04000
0.03000
RMSE
0.02000
30
60
Maturity
0.00000
0.95
90
1.00
1.05
0.04000
0.03000
RMSE
0.02000
30
60
Maturity
0.00000
0.95
90
1.00
1.05
Comparison of the results with other approaches
30
5.00% 60
Maturity
0.00%
0.95
90
1.00
1.05
60
Maturity
0.00%
0.95
90
1.00
1.05
?4
?4
?4
Comparison
?3
Comparison
Chapter 8 Conclusion
New approaches
Summary of the result
Future issues";"16,04";"63,24";"25,60"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139769-xstream.xml"")";"Introduction
Thesis Overview
Branch and Cut
Integer Programming Problems
Convex Hull of an Integer Program
Relaxations
Branch and Bound
Cutting Plane Algorithms
Branch and Cut
Local Branching
Soft vs. Hard Variable Fixing
A Basic Local Branching Framework
Local Branching Extensions
An Advanced Local Branching Framework
Basic Functionality
Limitations
Extending the Basic Algorithm
Using Multiple Local Trees
Aborting Local Trees
Tightening the Search Tree by Variable Fixing
Utilizing the Extensions
COIN/BCP
COIN Overview
History
Components
Design of COIN/BCP
Variables and Cuts
COIN/BCP modules
The Tree Manager Module
The Linear Programming Module
The Cut Generator Module
The Variable Generator Module
The Linear Programming Module
The LP Engine
Managing the LP Relaxation
Branching
Parallelizing COIN/BCP
Inter-Process Communication
Fault Tolerance
Developing Applications with COIN/BCP
The BCP_tm_user Class
The candidate queue
The BCP_lp_user Class
Implementation of the Framework
Integrating Local Branching into COIN/BCP
Identifying Local Tree Nodes
The LB tm Module
The LB lp Module
Creating the Hamming distance cut
Managing Local Trees
The LocalTreeIndex
The LocalTree class
The LocalTreeIndex class
The LocalTreeManager
Controlling Local Branching
Implementing a Basic Local Branching Algorithm
Multidimensional Knapsack Problems
Introduction
Algorithms for Knapsack Problems
Multidimensional Knapsack Problems
Heuristic Algorithms
Greedy Heuristics
Relaxation-Based Heuristics
Hybrid Algorithms
Evolutionary Algorithms
A Sample Application: MD-KP
KS tm implementation
Test File Format
Setting up the Core Matrix
Packing and Unpacking of Cuts
Sending the Problem Description to the LP Module
Creating a KS MetaHeuristic Object
KS lp Implementation
Generating Feasible Solutions
Generating Cuts
KS init Implementation
KS MetaHeuristic Implementation
Configuring Local Branching
Setting up Local Branching
Creating the Initial Solution
Imposing Node Limits on Local Trees
Handling Terminated Local Trees
Finishing Touches
Test Results
Test Environment
Test Results Overview
Final Objective Comparison
Online Performance
Local Branching Configurations
Short-Time Tests
Local Branching and Node Limits
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
MK-gk11: 2500 variables, 100 constraints
Cut Generation
Mknapcb7: 100 variables, 30 constraints
Multiple Initial Solutions
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
Long Runs
Summary and Outlook
COIN/BCP patches
Adding User-Defined Messages
Extending the Candidate List
include/BCP_tm_node.hpp
include/BCP_tm_node.cpp
TM/BCP_tm_functions.cpp
Counting Pruned Nodes
TM/BCP tm msg node rec.cpp
TM/BCP tm msgproc.cpp
Aborting Local Trees
include/BCP tm node.hpp
TM/BCP tm functions
Test Scripts
Generating Log Files
Analyzing Log Files";"Introduction
Thesis Overview
Integer Programming Problems
Convex Hull of an Integer Program
Relaxations
Branch and Bound
1.
Repeat
Cutting Plane Algorithms
1.
3.
1.
4.
Initialize
Returnˆs
Branch and Cut
Chapter 3 Local Branching
Soft vs. Hard Variable Fixing
j=1
j=1
A Basic Local Branching Framework
1
Local Branching Extensions
An Advanced Local Branching Framework
Basic Functionality
4.
Return optimal solution.
Limitations
1.
2.
Extending the Basic Algorithm
Using Multiple Local Trees
1
Aborting Local Trees
Tightening the Search Tree by Variable Fixing
Utilizing the Extensions
COIN/BCP
COIN Overview
History
Components
Design of COIN/BCP
Variables and Cuts
COIN/BCP modules
The Tree Manager Module
The Linear Programming Module
The Cut Generator Module
The Variable Generator Module
The Linear Programming Module
The LP Engine
Managing the LP Relaxation
Branching
Parallelizing COIN/BCP
Inter-Process Communication
Fault Tolerance
Developing Applications with COIN/BCP
The BCP tm user Class
Chapter 6 Implementation of the Framework
Integrating Local Branching into COIN/BCP
Identifying Local Tree Nodes
The LB tm Module
The LB lp Module
Managing Local Trees
The LocalTreeIndex
The LocalTreeIndex class
The LocalTreeManager
Controlling Local Branching
Implementing a Basic Local Branching Algorithm
Chapter 7 Multidimensional Knapsack Problems
Introduction
maximize
Algorithms for Knapsack Problems
1
Multidimensional Knapsack Problems
maximize
d×n
Heuristic Algorithms
Greedy Heuristics
.
Relaxation-Based Heuristics
Hybrid Algorithms
Evolutionary Algorithms
Chapter 8 A Sample Application: MD-KP
maximize
};
KS tm implementation
Test File Format
Setting up the Core Matrix
Packing and Unpacking of Cuts
Sending the Problem Description to the LP Module
Creating a KS MetaHeuristic Object
KS lp Implementation
Generating Feasible Solutions
Generating Cuts
} }
KS init Implementation
KS MetaHeuristic Implementation
Configuring Local Branching
Setting up Local Branching
Creating the Initial Solution
1
Imposing Node Limits on Local Trees
Handling Terminated Local Trees
Finishing Touches
Test Results
Test Environment
Test Results Overview
Final Objective Comparison
Online Performance
nodesmax
?x
1
mknapcb9.txt/18 mknapcb9.txt/18
217400
1
0.95
217000
216800
0.85
216600
0.75
w(x) 216400
216200
0.65
216000
215800
0.55
10050
Local Branching Configurations
Short-Time Tests
Local Branching and Node Limits
107300
147480
107100
147440
107000
147420
147400
106900
147380
106800
147360
106700
147340
106600
147320
25425
Cut Generation
Mknapcb7: 100 variables, 30 constraints
2 29
1
1 27
1 24
Multiple Initial Solutions
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Long Runs
Chapter 10
Summary and Outlook
A.2 Extending the Candidate List
A.2.1 include/BCP tm node.hpp
/** Insert
void
void
A.2.3 TM/BCP tm functions.cpp
B.2 Analyzing Log Files";"53,94";"75,42";"62,90"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139781-xstream.xml"")";"Introduction
The Multidimensional Knapsack Problem
The Memetic Algorithm Part
The Branch-and-Cut Part
Parallel Execution and Communication
Computational Experiments
Conclusions";"Introduction
The Multidimensional Knapsack Problem
n
The Memetic Algorithm Part
The Branch-and-Cut Part
x
=
LP
Parallel Execution and Communication
Computational Experiments
Conclusions";"63,64";"100,00";"77,78"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit\MethodDemos\output\extracted\grobid\grobid-TUW-139785-xstream.xml"")";"Introduction
Motivation
Combinatorial Optimization and Metaheuristics
Guide to the thesis
Quadratic Assignment Problem
Problem Description
Formulations
Permutation Formulation
Integer Linear Programming
Trace Formulation
Lower Bounds
Solution Methods
Exact Algorithms
Heuristics
Metaheuristics
Research Trends
Applications
Steinberg Wiring Problem
Antenna Assembly Sequence Problem
Metaheuristics
Basic Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Requirements
Functionality
Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Example Problem
Parameter Handling
Design
Usability
Implementation
Overview
Class reference
Class chromosome
Class ea_advbase
Class lsbase
Class localSearch
Class simulatedAnnealing
Class tabuSearch
Class guidedLS
Class GRASP
Class feature
Class tabuAttribute
Class tabulist
Class move and childs
Class qapChrom
Class qapInstance
Class qapFeature
Class qapTabuAttribute
Parameter handling
Usage
Interface aObjProvider
Interface tabulistProvider
Interface gcProvider
Interface tabuProvider
Parameters
Experimental Results
Test Cases
Test Setup and Procedure
Results
Conclusions
List of Algorithms
List of Figures
List of Tables";"Kurzfassung
Table of Contents
Introduction
5
Conclusions 66
List of Figures 68
Aristotle
Chapter 1 Introduction
Motivation
Combinatorial Optimization and Metaheuris- tics
Guide to the thesis
Imanuel Kant
Chapter 2 Quadratic Assignment Problem
Problem Description
i=1
Formulations
Permutation Formulation
n
n
n
min
???
i=1 j=1
i=1
n n
min
???
i=1 j=1
Integer Linear Programming
n
n
n
min
n n
min
k,p=1
Trace Formulation
T X??
min
T X??
Lower Bounds
Solution Methods
Exact Algorithms
Heuristics
Metaheuristics
Research Trends
Applications
Steinberg Wiring Problem
Antenna Assembly Sequence Problem
d
n n
min
e?E
j=1
i=1
Richard Feynman
Chapter 3 Metaheuristics
Basic Local Search
Algorithm 1: Basic Local Search
Simulated Annealing
else
Tabu Search
Algorithm 4: Tabu Search
Guided Local Search
objective function
Solution space
i=1
n
Greedy Randomized Adaptive Search Proce- dure
Simonides
Chapter 4 Requirements
Functionality
• Local Search
• Tabu Search
• Greedy Randomized Adaptive Search Procedure
Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Example Problem
Parameter Handling
Design
• features
• tabulists
Usability
gen
Voltaire
Chapter 5 Implementation
Overview
<<interface>>
Class reference
Class
Class ea advbase
ea_advbase
lsbase
Class lsbase
Class localSearch
localSearch
Class simulatedAnnealing
simulatedAnnealing
Class tabuSearch
tabuSearch
Figure 5.7: Class tabuSearch
Class guidedLS
guidedLS
Class GRASP
GRASP
Class feature
Class tabuAttribute
tabuAttribute
Figure 5.11: Class tabuAttribute
Class tabulist
tabulist
Class qapChrom
Class qapInstance
Class qapFeature
qapInstance
Class qapTabuAttribute
Parameter handling
Usage
Interface aObjProvider
<<interface>>
aObjprovider
Interface tabulistProvider
<<interface>>
tabulistProvider
Figure 5.20: Interface featureProvider
Interface gcProvider
<<interface>>
gcProvider
Figure 5.21: Interface gcProvider
Interface tabuProvider
<<interface>>
tabuProvider
Parameters
Default: 100000
Default: 10
Sir Francis Bacon
Chapter 6 Experimental Results
Test Cases
Test Setup and Procedure
Parameter Value
maxi
ttime
300
tgen
tcgen 5000
Parameter Value
maxi
Parameter Value
glsri 5000
maxi
ttime
300
tgen
sub.eamod
sub.ttime
sub.tcgen 500
Results
Algorithm
9.2Simulated Annealing 133.47 Tabu Search 186 0.91 Guided Local
Optimum
%-gap
Steven Wright
Chapter 7 Conclusions";"36,75";"87,14";"51,69"
