"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"INTRODUCTION
EVALUATION METHODS
RESULTS
CONCLUSION";"-
RESULTS
CONCLUSION";"66,67";"50,00";"57,14"
"TUW-138011";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"Introduction
The case study
Linking: the relation between a formal and informal guideline
Where does the complexity come from?
Conclusions";"Introduction
The case study
Linking: the relation between a formal and informal guideline
Where does the complexity come from?
Conclusions";"100,00";"100,00";"100,00"
"TUW-138447";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-138447.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-138447-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-138447-xstream.xml"")";"INTRODUCTION
STATE OF THE ART
BACKGROUND
Neural networks
Basis functions
Radial basis function networks
Linear network models
Forward selection
Non–linear network models
PROPOSED MODEL
Modified estimator for RBFN weights
Our algorithm
EXPERIMENTAL RESULTS
Training and test sets
Results
CONCLUSION AND FUTURE WORK
Alessandro Artusi
Alexander Wilkie";"INTRODUCTION
STATE OF THE ART
BACKGROUND
Neural networks
Radial basis function networks
Linear network models
Forward selection
Non–linear network models
PROPOSED MODEL
Modified estimator for RBFN weights
Our algorithm
EXPERIMENTAL RESULTS
Training and test sets
Results
CONCLUSION AND FUTURE WORK
Alexander Wilkie";"100,00";"88,89";"94,12"
"TUW-138544";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-138544.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-138544-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-138544-xstream.xml"")";"INTRODUCTION
BACKGROUND
MPEG-7 aggregation and localisation structures
Semantic feature enrichment
THE VIZIR PROJECT
Overview
General framework design
Visual feature modelling
FEATURE DERIVATION MODELLING
Overview
Feature aggregation and localisation
Semantic feature enrichment
Implementation details
CONCLUSION";"INTRODUCTION
BACKGROUND 2.1
MPEG-7 aggregation and localisation structures
Semantic feature enrichment
THE VIZIR PROJECT
Overview
General framework design
Visual feature modelling
FEATURE DERIVATION MODELLING
Overview
Feature aggregation and localisation
Semantic feature enrichment
Implementation details
CONCLUSION";"100,00";"100,00";"100,00"
"TUW-138547";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-138547.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-138547-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-138547-xstream.xml"")";"Introduction
Related work
Applications and problems of Parallel Video Processing
Basic use cases
Application use cases
Problem areas
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network
Conclusions and future work";"-
Related work
Applications and problems of Parallel
Video Processing
Basic use cases
Application use cases
Problem areas
Prototype design
Architecture
Differences of VP to PSVP
Implementation
Software
Gigabit Ethernet network";"76,92";"76,92";"76,92"
"TUW-139299";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-139299.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-139299-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-139299-xstream.xml"")";"Introduction
The Plan Representation Language Asbru
Related Work
Design and Implementation
User Involvement
Conclusion";"Introduction
The Plan Representation Language Asbru
Related
Work
Design and Implementation
User Involvement";"66,67";"66,67";"66,67"
"TUW-139761";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-139761.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-139761-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-139761-xstream.xml"")";"Abstract
Zusammenfassung
Contents
Introduction
Option pricing
Basic approaches in option pricing
Some definitions and basic models
The Black-Scholes formula
Discrete-time stochastic processes and the GARCH model
Discrete-time stochastic processes
The GARCH model
Monte Carlo simulation of a GARCH process
Overview of Genetic Programming
Genetic algorithms
Basic terminology
Flowchart of a simple genetic algorithm
Additional settings
Genetic Programming
Terminal set and function set
Creation of the initial population
Genetic operations
Automatic defined functions
Bloat control
Control parameters
A survey of existing approaches in option pricing
Neural networks
Markov chain approximation
Genetic Programming
Strategic decisions of the new approach
GARCH process
Genetic Programming
Functions and terminals
Fitness function and bloat control
Population size, number of generations and mutation
Automatic defined functions and hybrid approaches
Implementation details
Libraries
The Genetic Programming kernel
A random number generator library
GNU Scientific Library
New classes and functions
Additional functions
GPOPdata
MyGPVariables
MyGene
MyGP
MyPopulation
Executables
Overview UML diagram
Results and statistics
Statistics of the identification of the best configuration
Setting of the test environment
Test results
Utilization of the ADFs and the hybrid approaches
Comparison of the best equation found with the original process
Setting of the Genetic Algorithm
The result
The original process
Comparison of the results with other approaches
Comparison of the result with [Han98]
Comparison of the result with [DS01]
Comparison of the result with [Keb99]
Conclusion
New approaches
Summary of the result
Future issues
List of Figures
List of Tables";"Markt 115 5611 GROSSARL
Datum
Unterschrift
Futures and forwards
We get the yield with
Description
RMSE of best equation 0.010656375 0.010115501
RMSE of Black- Improvement Scholes 0.014230704 25.12 % 0.013133606 22.98 %";"0,00";"0,00";"0,00"
"TUW-139769";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-139769.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-139769-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-139769-xstream.xml"")";"Introduction
Thesis Overview
Branch and Cut
Integer Programming Problems
Convex Hull of an Integer Program
Relaxations
Branch and Bound
Cutting Plane Algorithms
Branch and Cut
Local Branching
Soft vs. Hard Variable Fixing
A Basic Local Branching Framework
Local Branching Extensions
An Advanced Local Branching Framework
Basic Functionality
Limitations
Extending the Basic Algorithm
Using Multiple Local Trees
Aborting Local Trees
Tightening the Search Tree by Variable Fixing
Utilizing the Extensions
COIN/BCP
COIN Overview
History
Components
Design of COIN/BCP
Variables and Cuts
COIN/BCP modules
The Tree Manager Module
The Linear Programming Module
The Cut Generator Module
The Variable Generator Module
The Linear Programming Module
The LP Engine
Managing the LP Relaxation
Branching
Parallelizing COIN/BCP
Inter-Process Communication
Fault Tolerance
Developing Applications with COIN/BCP
The BCP_tm_user Class
The candidate queue
The BCP_lp_user Class
Implementation of the Framework
Integrating Local Branching into COIN/BCP
Identifying Local Tree Nodes
The LB tm Module
The LB lp Module
Creating the Hamming distance cut
Managing Local Trees
The LocalTreeIndex
The LocalTree class
The LocalTreeIndex class
The LocalTreeManager
Controlling Local Branching
Implementing a Basic Local Branching Algorithm
Multidimensional Knapsack Problems
Introduction
Algorithms for Knapsack Problems
Multidimensional Knapsack Problems
Heuristic Algorithms
Greedy Heuristics
Relaxation-Based Heuristics
Hybrid Algorithms
Evolutionary Algorithms
A Sample Application: MD-KP
KS tm implementation
Test File Format
Setting up the Core Matrix
Packing and Unpacking of Cuts
Sending the Problem Description to the LP Module
Creating a KS MetaHeuristic Object
KS lp Implementation
Generating Feasible Solutions
Generating Cuts
KS init Implementation
KS MetaHeuristic Implementation
Configuring Local Branching
Setting up Local Branching
Creating the Initial Solution
Imposing Node Limits on Local Trees
Handling Terminated Local Trees
Finishing Touches
Test Results
Test Environment
Test Results Overview
Final Objective Comparison
Online Performance
Local Branching Configurations
Short-Time Tests
Local Branching and Node Limits
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
MK-gk11: 2500 variables, 100 constraints
Cut Generation
Mknapcb7: 100 variables, 30 constraints
Multiple Initial Solutions
Mknapcb7: 100 variables, 30 constraints
Mknapcb8: 250 variables, 30 constraints
Mknapcb9: 500 variables, 30 constraints
Long Runs
Summary and Outlook
COIN/BCP patches
Adding User-Defined Messages
Extending the Candidate List
include/BCP_tm_node.hpp
include/BCP_tm_node.cpp
TM/BCP_tm_functions.cpp
Counting Pruned Nodes
TM/BCP tm msg node rec.cpp
TM/BCP tm msgproc.cpp
Aborting Local Trees
include/BCP tm node.hpp
TM/BCP tm functions
Test Scripts
Generating Log Files
Analyzing Log Files";"Datum
Unterschrift
The following parameter configurations have been tested:
The following configurations have been tested:
Wilcoxon
The following configurations were tested:
Then we add a new public member to BCP node queue:";"0,00";"0,00";"0,00"
"TUW-139781";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-139781.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-139781-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-139781-xstream.xml"")";"Introduction
The Multidimensional Knapsack Problem
The Memetic Algorithm Part
The Branch-and-Cut Part
Parallel Execution and Communication
Computational Experiments
Conclusions";"Introduction
The Multidimensional Knapsack Problem
The Memetic Algorithm Part
The Branch-and-Cut Part
Parallel Execution and Communication
Computational Experiments
Conclusions";"100,00";"100,00";"100,00"
"TUW-139785";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-139785.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-139785-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-139785-xstream.xml"")";"Introduction
Motivation
Combinatorial Optimization and Metaheuristics
Guide to the thesis
Quadratic Assignment Problem
Problem Description
Formulations
Permutation Formulation
Integer Linear Programming
Trace Formulation
Lower Bounds
Solution Methods
Exact Algorithms
Heuristics
Metaheuristics
Research Trends
Applications
Steinberg Wiring Problem
Antenna Assembly Sequence Problem
Metaheuristics
Basic Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Requirements
Functionality
Local Search
Simulated Annealing
Tabu Search
Guided Local Search
Greedy Randomized Adaptive Search Procedure
Example Problem
Parameter Handling
Design
Usability
Implementation
Overview
Class reference
Class chromosome
Class ea_advbase
Class lsbase
Class localSearch
Class simulatedAnnealing
Class tabuSearch
Class guidedLS
Class GRASP
Class feature
Class tabuAttribute
Class tabulist
Class move and childs
Class qapChrom
Class qapInstance
Class qapFeature
Class qapTabuAttribute
Parameter handling
Usage
Interface aObjProvider
Interface tabulistProvider
Interface gcProvider
Interface tabuProvider
Parameters
Experimental Results
Test Cases
Test Setup and Procedure
Results
Conclusions
List of Algorithms
List of Figures
List of Tables";"Datum
Unterschrift
Algorithm 1: Basic Local Search
Compiler
Intel Pentium 4 2.8 GHz";"0,00";"0,00";"0,00"
"TUW-140047";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140047.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140047-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140047-xstream.xml"")";"Introduction
MIREX 2006 Tasks
Audio Music Similarity and Retrieval
Human Evaluation
Statistics
Audio Cover Song Identification
Implementation
Audio Feature Extraction
Distance Matrix Calculation
MIREX 2006 Results
Audio Music Similarity and Retrieval
Human Evaluation
Statistics
Runtimes
Audio Cover Song Identification
Conclusions";"Introduction
Audio Music Similarity and Retrieval 1
Audio Cover Song Identification 3
Implementation
MIREX 2006 Results
Conclusions";"100,00";"37,50";"54,55"
"TUW-140048";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140048.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140048-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140048-xstream.xml"")";"Motivation
The transformation process: An overview
The GILDAnet UMM example
Processing the XMI representation (Stage 1)
Extracting the relevant XMI objects
Obstacles regarding the XMI processing
Transforming UML elements to UMM objects (Stage 2)
Processing collaborations between partners
Processing information exchanges between partners
Finishing the UMM object model
Transforming UMM to BPSS (Stage 3)
Processing collaborations between partners
Processing information exchanges between partners
Related work
Conclusion";"Motivation
The transformation process: An overview
Processing the XMI representation (Stage 1)
Transforming UML elements to UMM objects (Stage 2)
Related work
Conclusion";"100,00";"40,00";"57,14"
"TUW-140229";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140229.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140229-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140229-xstream.xml"")";"Introduction
Patterns of behavior
Tool architecture
Data extraction
Calculation of learning styles
Conclusion and future work";"-
Patterns of behavior
Tool architecture
Conclusion and future work
References";"60,00";"50,00";"54,55"
"TUW-140253";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140253.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140253-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140253-xstream.xml"")";"INTRODUCTION
STATIC PROCESS TYPES
DYNAMIC TOKENS
DYNAMIC TYPING
RACE-FREE PROGRAMS
DISCUSSION, RELATED WORK
CONCLUSION";"INTRODUCTION
STATIC PROCESS TYPES
DYNAMIC TOKENS
DYNAMIC TYPING
CONCLUSION";"100,00";"71,43";"83,33"
"TUW-140308";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140308.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140308-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140308-xstream.xml"")";"Introduction
What Is Algorithmic Thinking?
How to Teach Algorithmic Thinking?
Example: Paths in Mazes
Problem Analysis
A First Solution Strategy
A Model of a Maze
Basic Actions of a Maze-Algorithm
A First Algorithm
Random Paths
Using Ariadne's Thread
Example: Parallel Sorting
Summary";"Introduction
What Is Algorithmic Thinking?
How to Teach Algorithmic Thinking?
Example: Paths in Mazes
Example: Parallel Sorting
Summary";"100,00";"46,15";"63,16"
"TUW-140533";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140533.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140533-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140533-xstream.xml"")";"Introduction
Historical perspective
Theoretical Foundations
Propositional Logic
Syntax
Semantics
Natural Deduction
Sequent Calculus
Hoare Calculus
Weakest Preconditions
Selected Tools
Overview
Related work
Frege Program Prover
KeY System
Perfect Developer
PVS Specification and Verification System
Examples
Criteria
Methodology
Frege Program Prover
Cubic sum
Program code
Prover output
Analysis
Division
Program code
Prover output
Analysis
Factorial
Program code
Prover output
Analysis
Fibonacci numbers
Program code
Prover output
Analysis
Inconsistency test
Program code
Prover output
Analysis
Multiplication
Program code
Prover output
Analysis
Degree of coverage Total coverage after slight modifications.
False theorem test
Program code
Prover output
Analysis
Correct theorem test
Program code
Prover output
Analysis
Conditional weakest precondition
Program code
Prover output
Analysis
KeY System
Cubic sum
Program code
Analysis
Conditional
Program code
Analysis
Division
Program code
Analysis
Factorial
Program code
Analysis
List maximum
Program code
Analysis
Multiplication
Program code
Analysis
Prime
Program code
Analysis
Perfect Developer
Cubic sum
Program code
Analysis
Factorial
Program code
Analysis
Intersection
Program code
Analysis
Inversions
Program code
Prover output
Analysis
List maximum
Program code
Analysis
Multiplication
Program code
Analysis
Prime
Program code
Analysis
Quicksort
Program code
Analysis
PVS Specification and Verification System
Cubic sum
Program code
Proof procedure
Factorial
Program code
Proof procedure
Analysis
Inversions
Program code
Proof procedure
Analysis
Multiplication
Program code
Proof procedure
Analysis
Analysis
Quicksort
Program code
Analysis
Summary
Resources";"Zusammenfassung
Introduction
Theoretical Foundations
Selected Tools
Summary
Resources";"83,33";"3,91";"7,46"
"TUW-140867";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140867.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140867-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140867-xstream.xml"")";"INTRODUCTION
FORMAL VERIFICATION OF SOFTWARE
OBSERVATIONS
CONCLUSION
APPENDIX: PROBLEMS TO BE VERIFIED WITH PERFECT DEVELOPER
Easy Problems
Slightly harder problems";"INTRODUCTION
FORMAL VERIFICATION OF SOFTWARE
OBSERVATIONS
CONCLUSION
APPENDIX: PROBLEMS TO BE VERIFIED WITH PERFECT DEVELOPER
Easy Problems
Slightly harder problems";"100,00";"100,00";"100,00"
"TUW-140895";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140895.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140895-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140895-xstream.xml"")";"INTRODUCTION
PREVIOUS WORK
METAHEURISTICS
Variable Neighbourhood Search
Ant Colony Optimisation
NEIGHBOURHOOD STRUCTURES
Tree Based Neighbourhoods
Edge Exchange Neighbourhood
Node Swap Neighbourhood
Level Based Neighbourhoods
Centre Exchange Neighbourhood
Level Change Neighbourhood
ANT COLONY OPTIMISATION FOR THE BDMST PROBLEM
Variable Neighbourhood Descent
Ant Colony Optimisation
IMPLEMENTATION
User Manual
COMPUTATIONAL RESULTS
CONCLUSIONS";"-
LIST OF TABLES
INTRODUCTION
PREVIOUS WORK
METAHEURISTICS
IMPLEMENTATION
COMPUTATIONAL RESULTS
CONCLUSIONS";"75,00";"31,58";"44,44"
"TUW-140983";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-140983.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-140983-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-140983-xstream.xml"")";"Introduction
The Add-A-Tag algorithm
Evaluation of profile adaptivity
Conclusion";"Introduction
The Add-A-Tag algorithm
Evaluation of profile adaptivity
Conclusion";"100,00";"100,00";"100,00"
"TUW-141024";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141024.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141024-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-141024-xstream.xml"")";"Introduction
Motivation
The way to the meta schema
Extension of Asbru and PROforma
Extending Asbru
Extending PROforma
Evaluation
Conclusion and future work";"Introduction
Motivation
The way to the meta schema
Extension of Asbru and PROforma
Evaluation
Conclusion and future work
References";"85,71";"75,00";"80,00"
"TUW-141065";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141065.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141065-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-141065-xstream.xml"")";"Introduction
Background
Materials
Method for statistical data analysis
Results
Measures of Web-OSPAN
Active/reflective dimension
Sensing/intuitive dimension
Visual/verbal dimension
Sequential/global dimension
Conclusion and future work
References";"Introduction
Background
Materials
Method for statistical data analysis
Results
Conclusion and future work
References";"100,00";"58,33";"73,68"
"TUW-141121";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141121.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141121-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-141121-xstream.xml"")";"Introduction
Related Work
Experiments
Audio Features
Lyrics Features
Classification Results
Conclusions and Future Work";"-
Related Work
Experiments
Conclusions and Future Work";"75,00";"42,86";"54,55"
"TUW-141140";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\groundtruth\TUW-141140.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\result\result-TUW-141140-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.4.4\MethodDemos\output\extracted\cermine\cermine-TUW-141140-xstream.xml"")";"Introduction
Background and Motivation
Work in Progress
SWOT Analysis
Scope and objectives of MDWEnet
Activities
Possibilities
Decisions
Plan of actions
Results so far
Future plans";"-
Background and Motivation
Scope and objectives of MDWEnet
Activities
Future plans";"80,00";"36,36";"50,00"
