"path";"PDF";"original";"extracted";"original value";"extracted value";"Precision";"Recall";"F1"
"TUW-137078-ref1";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"R J Spiro
P J Feltovich
M J Jacobson
R L Coulson";"R.J. Spiro
P.J. Feltovich
M.J. Jacobson
R.L. Coulson
Flexibility Cognitive
D.H. Duffy
Jonassen";"57,14";"100,00";"72,73"
"TUW-137078-ref2";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"J E McEneaney";"J.E. McEneaney
Visualizing";"50,00";"100,00";"66,67"
"TUW-137078-ref3";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"J Preece";"J Preece
Addison-Wesley 1994";"50,00";"100,00";"66,67"
"TUW-137078-ref4";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"S P Tosca";"S.P. Tosca";"100,00";"100,00";"100,00"
"TUW-137078-ref5";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"M Barrit
D J Scott";"M. Barrit
D.J., Scott";"100,00";"100,00";"100,00"
"TUW-137078-ref6";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-137078.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-137078-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-137078-xstream.xml"")";"D Dee-Lucas";"D. Dee-Lucas";"100,00";"100,00";"100,00"
"TUW-138011-ref1";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"";"";"none extracted value";"none expected";"NA"
"TUW-138011-ref2";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"M Field
K Lohr";"M. Field
K. Lohr";"100,00";"100,00";"100,00"
"TUW-138011-ref3";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"J Fox
N Johns
C Lyons
A Rahmanzadeh
R Thomson
P Wilson";"J. Fox
N. Johns
C. Lyons
A. Rahmanzadeh
R. Thomson
P. Wilson. PROforma:";"83,33";"83,33";"83,33"
"TUW-138011-ref4";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"P Friedland
Y Iwasaki";"P. Friedland
Y. Iwasaki";"100,00";"100,00";"100,00"
"TUW-138011-ref5";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"M Geldof";"M. Geldof";"100,00";"100,00";"100,00"
"TUW-138011-ref6";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\groundtruth\TUW-138011.pdf"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\result\result-TUW-138011-xstream.xml"")";"=HYPERLINK(""D:\Java\git\MethodDemosGit-0.5.6\MethodDemos\output\extracted\cermine\cermine-TUW-138011-xstream.xml"")";"M Marcos
H Roomans
A Ten Teije
F Van Harmelen";"M. Marcos
H. Roomans
F. van Harmelen Teije";"66,67";"50,00";"57,14"
